1513.TW O, RSI(talib): 73.26658288521874, RSI(def): 63.22552294046328
3533.TW O, RSI(talib): 52.05795569478837, RSI(def): 44.394853560815335
1605.TW O, RSI(talib): 62.82601729495144, RSI(def): 54.66270191353394
2634.TW O, RSI(talib): 71.14574126521437, RSI(def): 64.50087523778078
1701.TW O, RSI(talib): 49.24037619500823, RSI(def): 45.75484026702994
1795.TW O, RSI(talib): 67.60133385088878, RSI(def): 69.97887556813049
6176.TW O, RSI(talib): 50.70978542859766, RSI(def): 61.21275833034791
2834.TW O, RSI(talib): 68.7609992085052, RSI(def): 72.11284246733295
4934.TW O, RSI(talib): 44.965969632582265, RSI(def): 39.50124652130302
3017.TW O, RSI(talib): 61.14170713497653, RSI(def): 54.097738679821575
1760.TW O, RSI(talib): 45.22743136201355, RSI(def): 48.825894315862776
9904.TW O, RSI(talib): 51.24319107527743, RSI(def): 57.45868424663914
2838.TW O, RSI(talib): 51.334618699158206, RSI(def): 43.964885773134526
3023.TW O, RSI(talib): 59.30875110012259, RSI(def): 54.419682164716605
6269.TW O, RSI(talib): 40.43114500732472, RSI(def): 45.13931985359311
2442.TW O, RSI(talib): 44.70429345029977, RSI(def): 32.997345367542806
1477.TW O, RSI(talib): 39.881810460737796, RSI(def): 43.94290335216935
6285.TW O, RSI(talib): 58.07943173606701, RSI(def): 56.67624312774871
3231.TW O, RSI(talib): 61.66192567564843, RSI(def): 69.97762452121191
2702.TW O, RSI(talib): 45.98468976395731, RSI(def): 45.07316031954418
2201.TW O, RSI(talib): 60.88406068056007, RSI(def): 62.466466064094746
2498.TW O, RSI(talib): 59.478229650142076, RSI(def): 57.05654223373564
5258.TW O, RSI(talib): 57.729635496257394, RSI(def): 54.96922806335728
1514.TW O, RSI(talib): 59.25955323781519, RSI(def): 55.475032652340715
2474.TW O, RSI(talib): 70.01548786327632, RSI(def): 60.25430384190319
1762.TW O, RSI(talib): 65.02653172283847, RSI(def): 56.02965054995363
2308.TW O, RSI(talib): 53.83709514457837, RSI(def): 53.98119920592426
6282.TW O, RSI(talib): 67.43050494989966, RSI(def): 69.26740886468508
2457.TW O, RSI(talib): 50.626092858061334, RSI(def): 64.11600421694354
3653.TW O, RSI(talib): 56.702292196556655, RSI(def): 56.42503947924859
8478.TW O, RSI(talib): 49.37822079217754, RSI(def): 56.87865323367903
1808.TW O, RSI(talib): 67.45879698180396, RSI(def): 63.962919401954046
4104.TW O, RSI(talib): 75.25297650580353, RSI(def): 79.90133928058356
3443.TW O, RSI(talib): 62.67453542425013, RSI(def): 69.21110244970822
6515.TW O, RSI(talib): 71.24005177113786, RSI(def): 70.9958180300924
2482.TW O, RSI(talib): 80.43863494486915, RSI(def): 77.56679975287322
6533.TW O, RSI(talib): 55.19227212487562, RSI(def): 60.16229209866175
2360.TW O, RSI(talib): 52.02608622112999, RSI(def): 45.610105645714505
8996.TW O, RSI(talib): 77.61598655976682, RSI(def): 80.15121714332828
