2301.TW, RSI(talib): 69.34360724809812, RSI(def): 59.38149697503012
2027.TW, RSI(talib): 54.10058669242825, RSI(def): 47.586084069620206
3533.TW, RSI(talib): 50.659882753873184, RSI(def): 42.433320637171214
1605.TW, RSI(talib): 63.46228937452326, RSI(def): 56.66216957542717
2634.TW, RSI(talib): 72.10134110933336, RSI(def): 56.24428944197767
1795.TW, RSI(talib): 58.753517483697934, RSI(def): 49.195536907390284
6176.TW, RSI(talib): 47.93840645593676, RSI(def): 40.48177471537
2834.TW, RSI(talib): 69.37371177707197, RSI(def): 64.62081034613198
4934.TW, RSI(talib): 48.570590834493984, RSI(def): 35.26148955365608
3017.TW, RSI(talib): 57.533654742805105, RSI(def): 57.17836345591141
1760.TW, RSI(talib): 45.15679024235052, RSI(def): 31.76367529648276
9904.TW, RSI(talib): 58.705600073820605, RSI(def): 52.35159866836259
2838.TW, RSI(talib): 58.93296494420116, RSI(def): 53.50121908892159
3023.TW, RSI(talib): 65.68657845722606, RSI(def): 55.22811786791296
6269.TW, RSI(talib): 38.46975618702954, RSI(def): 32.87991442589269
2442.TW, RSI(talib): 51.75067557863665, RSI(def): 41.900294208289495
1477.TW, RSI(talib): 43.983898525271215, RSI(def): 35.52050373874765
6285.TW, RSI(talib): 60.2322853189558, RSI(def): 51.22278257450553
3231.TW, RSI(talib): 60.270220242913894, RSI(def): 54.13321607100465
2702.TW, RSI(talib): 57.495488594828046, RSI(def): 46.38087212388393
2201.TW, RSI(talib): 59.93557747405006, RSI(def): 51.65064348683456
2498.TW, RSI(talib): 60.80200793648538, RSI(def): 53.092006839791644
5258.TW, RSI(talib): 57.90010242332942, RSI(def): 51.13700247860987
1514.TW, RSI(talib): 64.31588375881199, RSI(def): 51.3403747326793
2474.TW, RSI(talib): 74.10304632056885, RSI(def): 73.28894577482366
1762.TW, RSI(talib): 63.51743933149152, RSI(def): 50.51183340734475
2308.TW, RSI(talib): 53.65852545790867, RSI(def): 44.18749152233174
6282.TW, RSI(talib): 63.14908257367379, RSI(def): 58.82628361027525
2457.TW, RSI(talib): 45.81113855333782, RSI(def): 40.90037005415487
3653.TW, RSI(talib): 60.03721290961407, RSI(def): 50.739624565598234
8478.TW, RSI(talib): 50.534288798631955, RSI(def): 39.094656073613805
