2356.TW, RSI(talib): 64.74542469998325
2891.TW, RSI(talib): 72.12278124134214
2353.TW, RSI(talib): 65.31799170109662
2885.TW, RSI(talib): 77.60534108187493
9958.TW, RSI(talib): 62.641800631448966
2301.TW, RSI(talib): 76.09043558646663
2330.TW, RSI(talib): 65.83009174642788
2881.TW, RSI(talib): 66.1650741287981
3481.TW, RSI(talib): 64.67564798504989
2027.TW, RSI(talib): 69.8397705175385
2455.TW, RSI(talib): 75.84014498771417
3042.TW, RSI(talib): 77.96438251189637
6116.TW, RSI(talib): 68.14930943547351
2377.TW, RSI(talib): 80.6295407869567
3711.TW, RSI(talib): 83.234979475631
2357.TW, RSI(talib): 68.94604252793857
2887.TW, RSI(talib): 72.9497371871092
2886.TW, RSI(talib): 74.05092568598023
1734.TW, RSI(talib): 74.02761161106326
2634.TW, RSI(talib): 61.88721097334279
3714.TW, RSI(talib): 67.20335257796192
2323.TW, RSI(talib): 92.14972602787157
6176.TW, RSI(talib): 68.19249896485852
6531.TW, RSI(talib): 61.44273215927443
2834.TW, RSI(talib): 61.90706400393856
2376.TW, RSI(talib): 87.28033052118664
2329.TW, RSI(talib): 73.04403218522768
4938.TW, RSI(talib): 82.49237129766585
2368.TW, RSI(talib): 75.58746525681043
3017.TW, RSI(talib): 67.01328512856361
3596.TW, RSI(talib): 61.11635177038009
6806.TW, RSI(talib): 61.90869746450378
2545.TW, RSI(talib): 69.88071492738975
8163.TW, RSI(talib): 63.61138006391294
1710.TW, RSI(talib): 70.64154032310309
3209.TW, RSI(talib): 62.41378030394026
2838.TW, RSI(talib): 60.87320369644584
2371.TW, RSI(talib): 67.97034622846701
2344.TW, RSI(talib): 69.85829432269603
3044.TW, RSI(talib): 61.34165101144996
2515.TW, RSI(talib): 63.55985535917791
1609.TW, RSI(talib): 81.15824303633067
2442.TW, RSI(talib): 63.30975596660093
5243.TW, RSI(talib): 68.84766206314575
3231.TW, RSI(talib): 73.43896998713073
2702.TW, RSI(talib): 63.941845102993355
2201.TW, RSI(talib): 67.84724044342718
8150.TW, RSI(talib): 71.48085608506375
2504.TW, RSI(talib): 62.768309137827984
6239.TW, RSI(talib): 70.44642152990954
1731.TW, RSI(talib): 67.7335624231502
1514.TW, RSI(talib): 66.80029536031547
1904.TW, RSI(talib): 65.13226547895464
4927.TW, RSI(talib): 69.42232420646016
5706.TW, RSI(talib): 86.18649909492542
2388.TW, RSI(talib): 67.24240886185947
3661.TW, RSI(talib): 63.54198360558483
2345.TW, RSI(talib): 69.15751258819083
2308.TW, RSI(talib): 71.03272725405596
6005.TW, RSI(talib): 72.58157067454503
1711.TW, RSI(talib): 60.80646840090994
2436.TW, RSI(talib): 63.643500502267
6235.TW, RSI(talib): 71.39260696648584
6282.TW, RSI(talib): 62.91881290551938
2457.TW, RSI(talib): 61.6554281918331
3653.TW, RSI(talib): 73.75301198585453
2379.TW, RSI(talib): 67.02946706242201
3034.TW, RSI(talib): 70.57177405306835
2449.TW, RSI(talib): 70.50766355804424
6191.TW, RSI(talib): 75.73375827665446
3703.TW, RSI(talib): 62.40913728943778
4104.TW, RSI(talib): 65.25867785144813
2612.TW, RSI(talib): 64.05203158030314
6257.TW, RSI(talib): 64.21818731494116
2352.TW, RSI(talib): 81.4699053792644
3443.TW, RSI(talib): 65.4996713078345
8215.TW, RSI(talib): 70.07522936747735
9919.TW, RSI(talib): 64.13512722790163
2731.TW, RSI(talib): 61.352658053189494
1733.TW, RSI(talib): 67.99656487951754
6591.TW, RSI(talib): 63.74885233254945
2489.TW, RSI(talib): 65.42345234504927
1104.TW, RSI(talib): 63.080353749391904
8213.TW, RSI(talib): 64.22754039320718
2425.TW, RSI(talib): 85.64471101761883
6515.TW, RSI(talib): 67.47287136272907
8081.TW, RSI(talib): 66.59898566071999
1907.TW, RSI(talib): 74.83631755038152
2206.TW, RSI(talib): 89.47767611652392
8464.TW, RSI(talib): 64.51551803602233
8112.TW, RSI(talib): 83.1689375533698
1773.TW, RSI(talib): 71.92804482964165
9941.TW, RSI(talib): 70.35820399276666
3015.TW, RSI(talib): 63.98850587809385
2360.TW, RSI(talib): 68.79829739687034
2204.TW, RSI(talib): 79.18001636567531
8996.TW, RSI(talib): 68.60881659515631
3701.TW, RSI(talib): 60.64422682027766
3013.TW, RSI(talib): 76.8986355085564
2328.TW, RSI(talib): 66.80388496188094
6196.TW, RSI(talib): 63.333386675691706
2707.TW, RSI(talib): 73.50078798756562
6164.TW, RSI(talib): 62.96905112752997
2385.TW, RSI(talib): 67.87510031714325
1432.TW, RSI(talib): 60.73827496300829
1528.TW, RSI(talib): 64.20383950596188
3038.TW, RSI(talib): 81.03985127883013
1471.TW, RSI(talib): 62.457082388538346
2486.TW, RSI(talib): 89.25774715832483
2421.TW, RSI(talib): 81.53524219138869
3005.TW, RSI(talib): 63.98127330806989
8105.TW, RSI(talib): 61.54551756801768
4989.TW, RSI(talib): 62.78454920654344
3027.TW, RSI(talib): 66.1750322033937
2439.TW, RSI(talib): 69.17461856796156
2420.TW, RSI(talib): 62.90584768178089
8222.TW, RSI(talib): 60.366508275627325
3380.TW, RSI(talib): 61.00764933751401
3515.TW, RSI(talib): 81.69086994269293
3346.TW, RSI(talib): 69.23197642752078
3046.TW, RSI(talib): 65.2299181424789
5225.TW, RSI(talib): 60.21205634038992
3025.TW, RSI(talib): 68.41353472502185
1519.TW, RSI(talib): 74.90104881653514
2727.TW, RSI(talib): 70.66826653014644
1504.TW, RSI(talib): 76.96823053637328
2748.TW, RSI(talib): 63.96894413338564
1532.TW, RSI(talib): 72.59919565253566
2530.TW, RSI(talib): 65.04773467378612
1529.TW, RSI(talib): 60.87418553317625
6592.TW, RSI(talib): 68.24382545928601
1905.TW, RSI(talib): 66.95488417220751
1612.TW, RSI(talib): 82.27256729130008
3033.TW, RSI(talib): 82.18694389706572
3312.TW, RSI(talib): 77.21553181208243
8210.TW, RSI(talib): 74.2474698563927
6409.TW, RSI(talib): 66.46682991318956
2451.TW, RSI(talib): 66.53103154502503
6139.TW, RSI(talib): 70.92446539226732
1720.TW, RSI(talib): 75.03372035216573
1618.TW, RSI(talib): 69.50449632669226
2539.TW, RSI(talib): 84.16119319507519
1503.TW, RSI(talib): 76.15302166364368
6691.TW, RSI(talib): 65.22109899879153
2393.TW, RSI(talib): 82.02720823621605
2739.TW, RSI(talib): 61.80259411779514
8110.TW, RSI(talib): 64.96779979183815
2427.TW, RSI(talib): 67.01207204681687
6243.TW, RSI(talib): 85.08371239974194
2399.TW, RSI(talib): 66.82683281423503
2207.TW, RSI(talib): 71.82488370419885
3338.TW, RSI(talib): 67.21866135311171
3715.TW, RSI(talib): 62.94307522073679
