2324.TW, RSI(talib): 62.70481836113567  !
2356.TW, RSI(talib): 80.5163041180191   !
2891.TW, RSI(talib): 60.98280849696729  !
9958.TW, RSI(talib): 71.65398063845544  !
2301.TW, RSI(talib): 80.83956566181497
2330.TW, RSI(talib): 64.58811072133501
2382.TW, RSI(talib): 80.82973280493123
2881.TW, RSI(talib): 61.0397703813637   !
1513.TW, RSI(talib): 66.82078257696428  !
3481.TW, RSI(talib): 61.67981507917194
2377.TW, RSI(talib): 63.480935469383624
2886.TW, RSI(talib): 64.04101890881905
3035.TW, RSI(talib): 86.61294850452596  !
1789.TW, RSI(talib): 63.13699578145647  !
2340.TW, RSI(talib): 72.41514140354681  !
2481.TW, RSI(talib): 68.05088658383227  !
2376.TW, RSI(talib): 72.55250546463536
2329.TW, RSI(talib): 83.93178533347361
4934.TW, RSI(talib): 65.29725698141809
2359.TW, RSI(talib): 63.16439411799571
2368.TW, RSI(talib): 82.85042896795403
3017.TW, RSI(talib): 71.72501110291411
3645.TW, RSI(talib): 79.58950444026685
1722.TW, RSI(talib): 70.89774834152078
2812.TW, RSI(talib): 70.39319740571021  !
2371.TW, RSI(talib): 66.11848205565745
5388.TW, RSI(talib): 69.85809750354849
1477.TW, RSI(talib): 68.69527256442355
3231.TW, RSI(talib): 88.38340977735088
2383.TW, RSI(talib): 82.92419391426445
3704.TW, RSI(talib): 80.81819514298277  !
5258.TW, RSI(talib): 74.96614651928597  !
6239.TW, RSI(talib): 71.67557812711406
1514.TW, RSI(talib): 61.39048771405431  !
2388.TW, RSI(talib): 89.03879370125951  !
3661.TW, RSI(talib): 65.75165919358761
2345.TW, RSI(talib): 68.99469370739025
2308.TW, RSI(talib): 62.052888732379586
2436.TW, RSI(talib): 77.67409256686784
6235.TW, RSI(talib): 60.563619406401074
3653.TW, RSI(talib): 64.15012650839643
2379.TW, RSI(talib): 64.07877401060269
2449.TW, RSI(talib): 63.448391895791744 !
1808.TW, RSI(talib): 66.7112848943021
6191.TW, RSI(talib): 74.49996208843676  !
3665.TW, RSI(talib): 66.40938036526475
6257.TW, RSI(talib): 69.13770146876274  !
2352.TW, RSI(talib): 80.21039475412894
3443.TW, RSI(talib): 72.94978276718206
8215.TW, RSI(talib): 61.45865970214972
3706.TW, RSI(talib): 80.85605764087303  !
3702.TW, RSI(talib): 74.68740940972577  !
2059.TW, RSI(talib): 86.49795703085454
4583.TW, RSI(talib): 64.40193368607451
2425.TW, RSI(talib): 69.61896827165721  !
2458.TW, RSI(talib): 65.86405215094662
6515.TW, RSI(talib): 62.809051213708244
6669.TW, RSI(talib): 85.50727396146668
9941.TW, RSI(talib): 71.97158551504886  !
9914.TW, RSI(talib): 64.84756893586425
2360.TW, RSI(talib): 69.32046206826014
3013.TW, RSI(talib): 73.61917039684373
3356.TW, RSI(talib): 62.13118736341537
2428.TW, RSI(talib): 61.345902783159275
2328.TW, RSI(talib): 77.54474510226753
1459.TW, RSI(talib): 68.00537614199263
6414.TW, RSI(talib): 70.04239330828712
3607.TW, RSI(talib): 65.27586355102063  !
5285.TW, RSI(talib): 64.09105132358347
6120.TW, RSI(talib): 80.55868818240266
1471.TW, RSI(talib): 64.12007096571242
2395.TW, RSI(talib): 65.60925154980784
2486.TW, RSI(talib): 68.60289993097989
2421.TW, RSI(talib): 62.695141792266476
4746.TW, RSI(talib): 62.79191807046456
6117.TW, RSI(talib): 77.60515286816899
2420.TW, RSI(talib): 60.40568554004139  !
6197.TW, RSI(talib): 60.644226033712634 !
3380.TW, RSI(talib): 73.92758278968405
3515.TW, RSI(talib): 70.66100602942059  !
3024.TW, RSI(talib): 63.665854973048475
3025.TW, RSI(talib): 63.038512807740624
1519.TW, RSI(talib): 80.83917162328711  !
2441.TW, RSI(talib): 67.77576335644069  !
4763.TW, RSI(talib): 77.3000204896817   !
6442.TW, RSI(talib): 79.44858143762794
3305.TW, RSI(talib): 82.35545288237249  !
6592.TW, RSI(talib): 79.51451848841992
3033.TW, RSI(talib): 76.68224812330085  !
2402.TW, RSI(talib): 60.928138803504176
5607.TW, RSI(talib): 83.14974990904119
2355.TW, RSI(talib): 68.11360835011698  !
8210.TW, RSI(talib): 71.24133391522278
6139.TW, RSI(talib): 80.10913351639465
1618.TW, RSI(talib): 68.26865143720228  !
2851.TW, RSI(talib): 69.36577988440371
2539.TW, RSI(talib): 84.02259098117632
3051.TW, RSI(talib): 68.96064312763922  !
1503.TW, RSI(talib): 63.19584845186317
6691.TW, RSI(talib): 76.77760774697569
2393.TW, RSI(talib): 64.40258558138888
1229.TW, RSI(talib): 79.42267617834118
2399.TW, RSI(talib): 72.01761357677401
6756.TW, RSI(talib): 60.82262550090174
3338.TW, RSI(talib): 71.57761871353581  !
3715.TW, RSI(talib): 67.88942309628793
5469.TW, RSI(talib): 72.44809321644547  !
1535.TW, RSI(talib): 74.26387965125113
3617.TW, RSI(talib): 67.68532601967058
5234.TW, RSI(talib): 81.52397955304103  !
1515.TW, RSI(talib): 60.61349194868101
3014.TW, RSI(talib): 65.1081254827679   !
8011.TW, RSI(talib): 62.032781746243494
4526.TW, RSI(talib): 60.89915235837703
1603.TW, RSI(talib): 60.85360256193525
4532.TW, RSI(talib): 63.444636612603155
6451.TW, RSI(talib): 74.38552803700732
2369.TW, RSI(talib): 72.08944970700492
2855.TW, RSI(talib): 70.14158093819819  !
3518.TW, RSI(talib): 76.21705742821916
--------------
3583.TW failed ('NoneType' object has no attribute 'text'). !
