--------------
Wed Jan 24 23:37:40 2024 TW Stock List
--------------
9958.TW, Close: 216.50, RSI(talib): 73.12
2347.TW, Close: 72.60, RSI(talib): 63.02
2330.TW, Close: 627.00, RSI(talib): 76.90
3711.TW, Close: 134.00, RSI(talib): 66.26
3035.TW, Close: 429.00, RSI(talib): 67.64
2465.TW, Close: 69.20, RSI(talib): 65.28
6531.TW, Close: 498.00, RSI(talib): 61.77
2329.TW, Close: 62.70, RSI(talib): 67.18
2359.TW, Close: 40.80, RSI(talib): 63.81
2476.TW, Close: 73.00, RSI(talib): 69.08
3017.TW, Close: 387.50, RSI(talib): 70.68
3596.TW, Close: 174.00, RSI(talib): 65.36
2383.TW, Close: 424.50, RSI(talib): 73.92
3036.TW, Close: 152.50, RSI(talib): 76.33
1319.TW, Close: 81.00, RSI(talib): 63.11
6239.TW, Close: 141.00, RSI(talib): 67.64
1560.TW, Close: 189.00, RSI(talib): 60.36
1514.TW, Close: 84.20, RSI(talib): 65.31
2906.TW, Close: 20.10, RSI(talib): 70.24
3661.TW, Close: 3680.00, RSI(talib): 62.58
3653.TW, Close: 725.00, RSI(talib): 64.30
4906.TW, Close: 35.80, RSI(talib): 60.02
6257.TW, Close: 68.00, RSI(talib): 65.00
3706.TW, Close: 46.10, RSI(talib): 70.25
3702.TW, Close: 89.90, RSI(talib): 74.37
2059.TW, Close: 1040.00, RSI(talib): 74.50
5269.TW, Close: 1825.00, RSI(talib): 60.49
6669.TW, Close: 2125.00, RSI(talib): 77.57
3607.TW, Close: 17.75, RSI(talib): 63.36
4746.TW, Close: 116.50, RSI(talib): 65.21
9939.TW, Close: 131.00, RSI(talib): 69.42
3029.TW, Close: 69.20, RSI(talib): 62.25
5225.TW, Close: 71.60, RSI(talib): 71.30
3025.TW, Close: 66.50, RSI(talib): 70.27
1519.TW, Close: 392.00, RSI(talib): 65.34
6442.TW, Close: 74.10, RSI(talib): 64.06
8210.TW, Close: 303.00, RSI(talib): 65.69
2461.TW, Close: 24.70, RSI(talib): 63.43
2211.TW, Close: 105.00, RSI(talib): 63.27
3055.TW, Close: 53.50, RSI(talib): 79.36
6451.TW, Close: 180.00, RSI(talib): 62.80
2369.TW, Close: 23.90, RSI(talib): 65.01
2460.TW, Close: 33.00, RSI(talib): 69.82
3622.TW, Close: 57.00, RSI(talib): 72.57
2365.TW, Close: 14.95, RSI(talib): 64.00
6695.TW, Close: 88.60, RSI(talib): 65.01
6805.TW, Close: 492.00, RSI(talib): 63.39
2467.TW, Close: 80.00, RSI(talib): 65.41
2362.TW, Close: 43.55, RSI(talib): 61.26
--------------
6770.TW failed (index 0 is out of bounds for axis 0 with size 0).
6005.TW failed (inputs are all NaN).
