--------------
Mon Feb  5 22:25:28 2024 TW Stock List
--------------
9958.TW, Close: 219.00, RSI(talib): 61.71
2347.TW, Close: 71.50, RSI(talib): 62.88
2330.TW, Close: 646.00, RSI(talib): 66.99
2465.TW, Close: 94.40, RSI(talib): 74.33
2329.TW, Close: 64.00, RSI(talib): 63.48
2368.TW, Close: 248.50, RSI(talib): 63.67
3017.TW, Close: 485.50, RSI(talib): 83.39
3044.TW, Close: 203.00, RSI(talib): 62.07
2442.TW, Close: 26.35, RSI(talib): 60.48
3036.TW, Close: 171.00, RSI(talib): 77.31
6239.TW, Close: 147.50, RSI(talib): 65.24
1560.TW, Close: 220.50, RSI(talib): 72.09
3661.TW, Close: 4105.00, RSI(talib): 65.55
2031.TW, Close: 57.50, RSI(talib): 60.29
2345.TW, Close: 548.00, RSI(talib): 65.39
3653.TW, Close: 828.00, RSI(talib): 71.24
2105.TW, Close: 45.45, RSI(talib): 60.28
3702.TW, Close: 87.60, RSI(talib): 61.81
2059.TW, Close: 1010.00, RSI(talib): 67.34
3011.TW, Close: 35.30, RSI(talib): 60.62
5269.TW, Close: 1875.00, RSI(talib): 62.14
6669.TW, Close: 2265.00, RSI(talib): 71.10
3167.TW, Close: 57.80, RSI(talib): 62.45
9939.TW, Close: 137.50, RSI(talib): 61.31
3029.TW, Close: 71.20, RSI(talib): 65.27
1519.TW, Close: 492.00, RSI(talib): 78.59
6442.TW, Close: 92.90, RSI(talib): 86.34
6789.TW, Close: 301.50, RSI(talib): 60.27
2539.TW, Close: 49.15, RSI(talib): 60.35
1809.TW, Close: 17.50, RSI(talib): 64.58
6243.TW, Close: 77.70, RSI(talib): 64.18
3338.TW, Close: 64.60, RSI(talib): 63.65
3376.TW, Close: 177.50, RSI(talib): 81.65
2211.TW, Close: 111.50, RSI(talib): 62.45
3055.TW, Close: 65.30, RSI(talib): 88.13
6451.TW, Close: 187.00, RSI(talib): 61.00
6189.TW, Close: 62.20, RSI(talib): 64.05
2537.TW, Close: 9.87, RSI(talib): 65.76
3622.TW, Close: 66.70, RSI(talib): 83.68
6165.TW, Close: 39.60, RSI(talib): 60.76
2025.TW, Close: 8.68, RSI(talib): 73.90
3694.TW, Close: 55.30, RSI(talib): 65.19
6585.TW, Close: 148.50, RSI(talib): 66.16
3530.TW, Close: 123.50, RSI(talib): 76.69
2365.TW, Close: 19.85, RSI(talib): 76.46
6695.TW, Close: 85.50, RSI(talib): 70.06
1463.TW, Close: 18.10, RSI(talib): 73.09
6526.TW, Close: 572.00, RSI(talib): 61.22
2467.TW, Close: 90.30, RSI(talib): 72.23
2528.TW, Close: 39.50, RSI(talib): 71.81
3605.TW, Close: 37.25, RSI(talib): 77.56
--------------
3059.TW failed (index 0 is out of bounds for axis 0 with size 0).
