--------------
Wed Feb 21 21:56:02 2024 TW Stock List
--------------
2890.TW, Close: 19.90, RSI(talib): 65.52
2356.TW, Close: 56.60, RSI(talib): 60.27
2891.TW, Close: 28.95, RSI(talib): 64.30
2885.TW, Close: 27.35, RSI(talib): 68.62
9958.TW, Close: 236.50, RSI(talib): 69.27
2347.TW, Close: 75.90, RSI(talib): 72.21
2881.TW, Close: 66.30, RSI(talib): 71.60
4960.TW, Close: 14.25, RSI(talib): 62.19
2465.TW, Close: 120.00, RSI(talib): 85.11
6176.TW, Close: 143.00, RSI(talib): 61.59
6213.TW, Close: 90.30, RSI(talib): 61.53
2376.TW, Close: 347.50, RSI(talib): 69.97
3041.TW, Close: 31.45, RSI(talib): 65.65
2329.TW, Close: 81.60, RSI(talib): 72.16
2368.TW, Close: 259.50, RSI(talib): 65.98
2476.TW, Close: 82.60, RSI(talib): 69.56
3017.TW, Close: 495.00, RSI(talib): 68.27
3708.TW, Close: 112.00, RSI(talib): 77.68
2605.TW, Close: 27.50, RSI(talib): 65.46
3044.TW, Close: 219.00, RSI(talib): 76.46
1477.TW, Close: 374.50, RSI(talib): 68.23
2383.TW, Close: 492.50, RSI(talib): 66.90
3592.TW, Close: 441.00, RSI(talib): 76.99
3036.TW, Close: 166.50, RSI(talib): 64.66
1319.TW, Close: 93.00, RSI(talib): 71.69
5258.TW, Close: 134.50, RSI(talib): 63.97
1560.TW, Close: 250.50, RSI(talib): 75.99
3050.TW, Close: 18.70, RSI(talib): 61.75
2906.TW, Close: 20.90, RSI(talib): 72.02
3661.TW, Close: 3990.00, RSI(talib): 62.15
2031.TW, Close: 59.30, RSI(talib): 65.46
2345.TW, Close: 547.00, RSI(talib): 65.12
6005.TW, Close: 16.35, RSI(talib): 63.58
3653.TW, Close: 805.00, RSI(talib): 63.50
2379.TW, Close: 501.00, RSI(talib): 62.97
3034.TW, Close: 569.00, RSI(talib): 77.02
2367.TW, Close: 20.65, RSI(talib): 65.95
2449.TW, Close: 87.50, RSI(talib): 60.59
6191.TW, Close: 68.90, RSI(talib): 66.32
1524.TW, Close: 34.15, RSI(talib): 64.21
3702.TW, Close: 90.30, RSI(talib): 70.01
2059.TW, Close: 1285.00, RSI(talib): 71.68
1522.TW, Close: 43.90, RSI(talib): 75.31
2458.TW, Close: 167.50, RSI(talib): 60.08
8081.TW, Close: 265.00, RSI(talib): 64.05
5269.TW, Close: 2065.00, RSI(talib): 66.13
8112.TW, Close: 63.20, RSI(talib): 61.89
1773.TW, Close: 153.50, RSI(talib): 69.89
3015.TW, Close: 54.90, RSI(talib): 79.45
2204.TW, Close: 123.00, RSI(talib): 61.87
2405.TW, Close: 19.15, RSI(talib): 62.06
1568.TW, Close: 32.40, RSI(talib): 62.92
6412.TW, Close: 156.00, RSI(talib): 61.58
6196.TW, Close: 155.00, RSI(talib): 62.29
2233.TW, Close: 138.50, RSI(talib): 63.35
4961.TW, Close: 254.50, RSI(talib): 66.90
3167.TW, Close: 66.40, RSI(talib): 77.22
6120.TW, Close: 16.50, RSI(talib): 62.46
3005.TW, Close: 118.50, RSI(talib): 66.02
9939.TW, Close: 141.00, RSI(talib): 66.26
6197.TW, Close: 89.60, RSI(talib): 71.92
9105.TW, Close: 4.06, RSI(talib): 77.15
5225.TW, Close: 88.10, RSI(talib): 84.71
1519.TW, Close: 507.00, RSI(talib): 80.41
2387.TW, Close: 62.00, RSI(talib): 65.46
6442.TW, Close: 137.50, RSI(talib): 95.45
3305.TW, Close: 75.30, RSI(talib): 69.43
1449.TW, Close: 22.30, RSI(talib): 67.68
8016.TW, Close: 290.50, RSI(talib): 68.02
6789.TW, Close: 299.00, RSI(talib): 60.48
3413.TW, Close: 230.00, RSI(talib): 71.20
2355.TW, Close: 50.80, RSI(talib): 67.04
3010.TW, Close: 107.50, RSI(talib): 76.20
2539.TW, Close: 59.60, RSI(talib): 89.04
6715.TW, Close: 181.50, RSI(talib): 66.65
3051.TW, Close: 37.60, RSI(talib): 62.97
6691.TW, Close: 346.00, RSI(talib): 60.06
6168.TW, Close: 27.50, RSI(talib): 61.06
6799.TW, Close: 193.50, RSI(talib): 64.95
8110.TW, Close: 17.50, RSI(talib): 70.51
3032.TW, Close: 81.20, RSI(talib): 61.02
5469.TW, Close: 62.10, RSI(talib): 80.57
1616.TW, Close: 14.80, RSI(talib): 63.26
3149.TW, Close: 30.40, RSI(talib): 61.46
9934.TW, Close: 15.95, RSI(talib): 68.70
3583.TW, Close: 239.50, RSI(talib): 68.11
3055.TW, Close: 84.20, RSI(talib): 96.14
4532.TW, Close: 23.35, RSI(talib): 68.06
6451.TW, Close: 216.50, RSI(talib): 65.93
2480.TW, Close: 124.50, RSI(talib): 71.80
2369.TW, Close: 27.60, RSI(talib): 71.71
2855.TW, Close: 19.75, RSI(talib): 66.79
9927.TW, Close: 71.50, RSI(talib): 63.85
2460.TW, Close: 37.00, RSI(talib): 79.90
6189.TW, Close: 78.00, RSI(talib): 91.51
2537.TW, Close: 10.35, RSI(talib): 75.49
1307.TW, Close: 26.85, RSI(talib): 63.07
6165.TW, Close: 45.25, RSI(talib): 66.49
2025.TW, Close: 9.65, RSI(talib): 91.54
3450.TW, Close: 68.90, RSI(talib): 65.65
3588.TW, Close: 105.00, RSI(talib): 66.96
2543.TW, Close: 38.35, RSI(talib): 77.97
6585.TW, Close: 158.00, RSI(talib): 61.96
6108.TW, Close: 23.45, RSI(talib): 65.66
2365.TW, Close: 23.90, RSI(talib): 81.90
1339.TW, Close: 65.00, RSI(talib): 66.56
1463.TW, Close: 18.80, RSI(talib): 68.63
6216.TW, Close: 33.15, RSI(talib): 79.24
2488.TW, Close: 41.40, RSI(talib): 61.22
6805.TW, Close: 714.00, RSI(talib): 69.58
2467.TW, Close: 113.00, RSI(talib): 87.53
6024.TW, Close: 52.00, RSI(talib): 65.84
2528.TW, Close: 40.00, RSI(talib): 69.25
3437.TW, Close: 36.30, RSI(talib): 69.25
2062.TW, Close: 28.50, RSI(talib): 79.75
--------------
