--------------
Mon Feb 26 20:24:17 2024 TW Stock List
--------------
2890.TW, Close: 19.80, RSI(talib): 60.34
9958.TW, Close: 254.00, RSI(talib): 74.27
2606.TW, Close: 54.80, RSI(talib): 63.59
2347.TW, Close: 76.00, RSI(talib): 71.69
2881.TW, Close: 66.90, RSI(talib): 67.12
2313.TW, Close: 77.20, RSI(talib): 67.89
3711.TW, Close: 141.50, RSI(talib): 64.31
2417.TW, Close: 36.75, RSI(talib): 60.17
2465.TW, Close: 126.00, RSI(talib): 82.62
6176.TW, Close: 147.00, RSI(talib): 70.91
2376.TW, Close: 335.00, RSI(talib): 61.61
2329.TW, Close: 74.20, RSI(talib): 66.60
2368.TW, Close: 261.50, RSI(talib): 64.05
2476.TW, Close: 81.30, RSI(talib): 62.98
3017.TW, Close: 500.00, RSI(talib): 66.20
3708.TW, Close: 113.50, RSI(talib): 66.60
2605.TW, Close: 27.40, RSI(talib): 66.21
3596.TW, Close: 180.00, RSI(talib): 65.88
2617.TW, Close: 35.20, RSI(talib): 67.43
2006.TW, Close: 75.00, RSI(talib): 66.26
3044.TW, Close: 216.50, RSI(talib): 61.97
2454.TW, Close: 1115.00, RSI(talib): 73.44
5388.TW, Close: 136.00, RSI(talib): 68.22
2404.TW, Close: 290.50, RSI(talib): 63.62
1477.TW, Close: 373.00, RSI(talib): 60.71
6285.TW, Close: 156.00, RSI(talib): 60.98
2383.TW, Close: 524.00, RSI(talib): 64.41
3592.TW, Close: 445.00, RSI(talib): 77.71
3036.TW, Close: 175.50, RSI(talib): 66.73
2504.TW, Close: 31.90, RSI(talib): 76.61
1319.TW, Close: 95.00, RSI(talib): 68.79
5258.TW, Close: 135.50, RSI(talib): 60.03
1560.TW, Close: 273.00, RSI(talib): 85.43
1514.TW, Close: 94.40, RSI(talib): 62.30
3669.TW, Close: 49.50, RSI(talib): 68.72
2906.TW, Close: 21.10, RSI(talib): 68.48
2031.TW, Close: 65.60, RSI(talib): 68.36
3653.TW, Close: 915.00, RSI(talib): 63.39
2379.TW, Close: 551.00, RSI(talib): 78.99
3034.TW, Close: 584.00, RSI(talib): 68.06
2449.TW, Close: 89.50, RSI(talib): 71.60
6257.TW, Close: 72.30, RSI(talib): 67.39
3702.TW, Close: 91.60, RSI(talib): 66.71
2059.TW, Close: 1315.00, RSI(talib): 78.45
1522.TW, Close: 45.95, RSI(talib): 70.96
2458.TW, Close: 170.00, RSI(talib): 60.61
5269.TW, Close: 2250.00, RSI(talib): 68.48
3015.TW, Close: 54.50, RSI(talib): 61.56
2204.TW, Close: 124.00, RSI(talib): 61.75
2405.TW, Close: 21.10, RSI(talib): 74.15
4770.TW, Close: 411.00, RSI(talib): 74.37
1568.TW, Close: 33.70, RSI(talib): 63.15
6412.TW, Close: 167.00, RSI(talib): 66.90
6196.TW, Close: 161.00, RSI(talib): 66.86
2385.TW, Close: 193.50, RSI(talib): 64.12
3167.TW, Close: 68.40, RSI(talib): 72.51
9939.TW, Close: 145.00, RSI(talib): 62.43
3029.TW, Close: 72.30, RSI(talib): 64.26
6197.TW, Close: 89.90, RSI(talib): 66.96
9105.TW, Close: 3.90, RSI(talib): 67.35
5225.TW, Close: 89.50, RSI(talib): 86.73
1519.TW, Close: 538.00, RSI(talib): 87.20
2387.TW, Close: 64.80, RSI(talib): 62.43
4720.TW, Close: 17.90, RSI(talib): 71.95
6442.TW, Close: 146.50, RSI(talib): 88.62
2530.TW, Close: 38.35, RSI(talib): 62.51
1449.TW, Close: 21.55, RSI(talib): 63.99
1455.TW, Close: 12.40, RSI(talib): 73.21
8016.TW, Close: 291.00, RSI(talib): 63.04
6789.TW, Close: 315.50, RSI(talib): 66.89
3413.TW, Close: 248.50, RSI(talib): 78.86
2355.TW, Close: 52.30, RSI(talib): 60.01
3010.TW, Close: 113.00, RSI(talib): 78.53
2539.TW, Close: 62.80, RSI(talib): 91.47
6715.TW, Close: 179.50, RSI(talib): 62.02
1809.TW, Close: 31.05, RSI(talib): 92.61
6691.TW, Close: 367.00, RSI(talib): 67.37
6168.TW, Close: 27.10, RSI(talib): 74.57
8110.TW, Close: 16.90, RSI(talib): 61.04
9934.TW, Close: 16.05, RSI(talib): 65.75
3583.TW, Close: 293.50, RSI(talib): 79.54
3055.TW, Close: 78.50, RSI(talib): 87.66
4532.TW, Close: 23.15, RSI(talib): 65.20
6451.TW, Close: 220.00, RSI(talib): 73.58
2480.TW, Close: 124.00, RSI(talib): 66.48
2369.TW, Close: 27.10, RSI(talib): 60.70
2855.TW, Close: 20.15, RSI(talib): 66.33
4766.TW, Close: 302.50, RSI(talib): 63.54
2460.TW, Close: 39.35, RSI(talib): 72.22
6189.TW, Close: 79.50, RSI(talib): 76.50
6165.TW, Close: 47.70, RSI(talib): 79.69
2025.TW, Close: 9.66, RSI(talib): 77.06
3450.TW, Close: 77.40, RSI(talib): 65.72
3588.TW, Close: 111.00, RSI(talib): 64.97
2543.TW, Close: 39.05, RSI(talib): 68.30
6585.TW, Close: 163.50, RSI(talib): 63.24
2365.TW, Close: 24.00, RSI(talib): 73.37
1339.TW, Close: 69.10, RSI(talib): 72.25
1463.TW, Close: 18.60, RSI(talib): 60.79
6216.TW, Close: 32.80, RSI(talib): 68.77
2488.TW, Close: 42.25, RSI(talib): 71.67
2467.TW, Close: 134.50, RSI(talib): 90.41
6024.TW, Close: 51.60, RSI(talib): 60.02
3437.TW, Close: 37.00, RSI(talib): 68.54
3605.TW, Close: 38.10, RSI(talib): 61.66
2062.TW, Close: 29.30, RSI(talib): 70.09
--------------
