--------------
Tue Feb 27 19:40:40 2024 TW Stock List
--------------
9958.TW, Close: 249.50, RSI(talib): 74.54
2606.TW, Close: 53.60, RSI(talib): 66.41
2347.TW, Close: 76.30, RSI(talib): 70.97
2881.TW, Close: 66.90, RSI(talib): 68.90
2313.TW, Close: 75.40, RSI(talib): 63.40
3711.TW, Close: 138.00, RSI(talib): 64.14
2465.TW, Close: 133.00, RSI(talib): 84.67
6176.TW, Close: 146.50, RSI(talib): 73.65
3041.TW, Close: 31.40, RSI(talib): 61.95
2329.TW, Close: 71.90, RSI(talib): 60.87
2368.TW, Close: 252.50, RSI(talib): 62.95
2476.TW, Close: 82.20, RSI(talib): 65.78
3017.TW, Close: 508.00, RSI(talib): 65.59
3708.TW, Close: 112.00, RSI(talib): 70.99
2605.TW, Close: 27.05, RSI(talib): 66.27
2617.TW, Close: 34.60, RSI(talib): 67.68
2809.TW, Close: 44.60, RSI(talib): 63.35
2006.TW, Close: 76.30, RSI(talib): 70.70
2812.TW, Close: 16.40, RSI(talib): 66.99
3044.TW, Close: 210.50, RSI(talib): 62.48
2454.TW, Close: 1115.00, RSI(talib): 74.91
2404.TW, Close: 295.00, RSI(talib): 64.44
4915.TW, Close: 72.00, RSI(talib): 73.35
6285.TW, Close: 153.00, RSI(talib): 62.05
2383.TW, Close: 504.00, RSI(talib): 66.60
3592.TW, Close: 449.00, RSI(talib): 65.84
6205.TW, Close: 81.90, RSI(talib): 62.29
3036.TW, Close: 170.00, RSI(talib): 70.66
1319.TW, Close: 99.10, RSI(talib): 71.21
5258.TW, Close: 136.00, RSI(talib): 63.72
1560.TW, Close: 268.00, RSI(talib): 81.42
2611.TW, Close: 17.30, RSI(talib): 60.53
1514.TW, Close: 91.00, RSI(talib): 71.98
3669.TW, Close: 48.70, RSI(talib): 67.91
2906.TW, Close: 21.10, RSI(talib): 68.29
2031.TW, Close: 64.80, RSI(talib): 74.31
3653.TW, Close: 901.00, RSI(talib): 71.46
2379.TW, Close: 567.00, RSI(talib): 78.91
3034.TW, Close: 605.00, RSI(talib): 68.38
2367.TW, Close: 20.75, RSI(talib): 62.03
1524.TW, Close: 35.80, RSI(talib): 63.20
6257.TW, Close: 70.00, RSI(talib): 67.17
2059.TW, Close: 1290.00, RSI(talib): 72.00
1522.TW, Close: 50.50, RSI(talib): 75.50
2458.TW, Close: 169.00, RSI(talib): 65.90
5269.TW, Close: 2250.00, RSI(talib): 65.97
3015.TW, Close: 54.20, RSI(talib): 62.62
2204.TW, Close: 121.50, RSI(talib): 65.83
2405.TW, Close: 20.50, RSI(talib): 76.98
4770.TW, Close: 408.50, RSI(talib): 80.73
6605.TW, Close: 158.50, RSI(talib): 62.46
1568.TW, Close: 34.30, RSI(talib): 68.39
6412.TW, Close: 170.50, RSI(talib): 71.09
6196.TW, Close: 160.00, RSI(talib): 68.11
2233.TW, Close: 140.50, RSI(talib): 62.75
2385.TW, Close: 188.50, RSI(talib): 69.99
3167.TW, Close: 64.40, RSI(talib): 73.43
3005.TW, Close: 122.00, RSI(talib): 64.68
9939.TW, Close: 146.00, RSI(talib): 67.14
2439.TW, Close: 114.00, RSI(talib): 65.17
3029.TW, Close: 71.10, RSI(talib): 62.90
6197.TW, Close: 90.70, RSI(talib): 63.59
