--------------
Mon Mar  4 20:04:53 2024 TW Stock List
--------------
2890.TW, Close: 20.00, RSI(talib): 60.72
9958.TW, Close: 252.50, RSI(talib): 73.72
2347.TW, Close: 76.50, RSI(talib): 66.78
2881.TW, Close: 67.40, RSI(talib): 69.60
3533.TW, Close: 1115.00, RSI(talib): 70.21
2417.TW, Close: 43.20, RSI(talib): 68.02    !
2465.TW, Close: 160.00, RSI(talib): 89.45   !
2376.TW, Close: 354.50, RSI(talib): 68.44
3006.TW, Close: 97.80, RSI(talib): 62.92
2368.TW, Close: 259.00, RSI(talib): 61.30
2476.TW, Close: 83.30, RSI(talib): 65.58
3017.TW, Close: 554.00, RSI(talib): 72.69
3708.TW, Close: 117.00, RSI(talib): 72.39   !
2617.TW, Close: 35.50, RSI(talib): 62.24
2809.TW, Close: 45.80, RSI(talib): 82.77    !
8163.TW, Close: 55.90, RSI(talib): 63.15    !
2006.TW, Close: 77.00, RSI(talib): 81.03
2812.TW, Close: 16.75, RSI(talib): 72.66
2454.TW, Close: 1150.00, RSI(talib): 71.28  !
5388.TW, Close: 141.50, RSI(talib): 60.01
2404.TW, Close: 303.50, RSI(talib): 66.63
4915.TW, Close: 75.70, RSI(talib): 76.04    !
3592.TW, Close: 480.00, RSI(talib): 74.51
1319.TW, Close: 99.60, RSI(talib): 77.36
5258.TW, Close: 140.00, RSI(talib): 64.99
6239.TW, Close: 166.00, RSI(talib): 69.93   !
1560.TW, Close: 255.00, RSI(talib): 67.19
1514.TW, Close: 107.50, RSI(talib): 76.32
3669.TW, Close: 50.30, RSI(talib): 64.38
2906.TW, Close: 20.45, RSI(talib): 65.82
3661.TW, Close: 4200.00, RSI(talib): 66.08
2031.TW, Close: 66.20, RSI(talib): 74.27
3712.TW, Close: 47.80, RSI(talib): 64.19
6005.TW, Close: 17.30, RSI(talib): 72.53
3653.TW, Close: 980.00, RSI(talib): 77.47
2379.TW, Close: 573.00, RSI(talib): 80.51   !
3034.TW, Close: 592.00, RSI(talib): 71.87
