--------------
Tue Mar  5 20:13:28 2024 TW Stock List
--------------
2324.TW, Close: 37.80, RSI(talib): 61.23
2890.TW, Close: 20.00, RSI(talib): 60.89
9958.TW, Close: 249.00, RSI(talib): 66.28
2606.TW, Close: 55.00, RSI(talib): 60.94
2347.TW, Close: 75.50, RSI(talib): 65.89
2881.TW, Close: 67.30, RSI(talib): 70.45
2313.TW, Close: 76.40, RSI(talib): 60.08
3533.TW, Close: 1115.00, RSI(talib): 68.13
3711.TW, Close: 144.50, RSI(talib): 65.49
2417.TW, Close: 47.50, RSI(talib): 76.42
2465.TW, Close: 157.00, RSI(talib): 91.35
6176.TW, Close: 149.00, RSI(talib): 65.53
2376.TW, Close: 361.50, RSI(talib): 65.42
3006.TW, Close: 96.00, RSI(talib): 62.68
2359.TW, Close: 39.45, RSI(talib): 62.22
2368.TW, Close: 265.50, RSI(talib): 60.64
2476.TW, Close: 83.40, RSI(talib): 66.46
3017.TW, Close: 585.00, RSI(talib): 74.46
3708.TW, Close: 118.50, RSI(talib): 72.22
2617.TW, Close: 35.55, RSI(talib): 61.99
2809.TW, Close: 47.40, RSI(talib): 85.58
8163.TW, Close: 61.40, RSI(talib): 68.06
2006.TW, Close: 78.70, RSI(talib): 70.74
2812.TW, Close: 16.75, RSI(talib): 70.49
2454.TW, Close: 1155.00, RSI(talib): 76.04
5388.TW, Close: 145.50, RSI(talib): 68.58
2404.TW, Close: 309.50, RSI(talib): 71.47
4915.TW, Close: 76.80, RSI(talib): 83.14
6285.TW, Close: 157.00, RSI(talib): 60.82
3592.TW, Close: 475.00, RSI(talib): 75.78
2024.TW, Close: 22.00, RSI(talib): 74.09
3036.TW, Close: 169.50, RSI(talib): 62.85
8150.TW, Close: 45.10, RSI(talib): 67.02
1319.TW, Close: 100.00, RSI(talib): 74.47
5258.TW, Close: 139.00, RSI(talib): 69.43
6239.TW, Close: 170.00, RSI(talib): 79.23
1560.TW, Close: 251.50, RSI(talib): 66.53
1514.TW, Close: 117.00, RSI(talib): 77.60
3669.TW, Close: 55.30, RSI(talib): 69.10
3050.TW, Close: 20.25, RSI(talib): 62.57
2031.TW, Close: 66.00, RSI(talib): 70.39
3712.TW, Close: 47.05, RSI(talib): 61.47
6005.TW, Close: 17.60, RSI(talib): 75.70
3653.TW, Close: 953.00, RSI(talib): 78.80
