--------------
Wed Mar  6 20:42:32 2024 TW Stock List
--------------
2890.TW, Close: 20.05, RSI(talib): 61.36
9958.TW, Close: 248.00, RSI(talib): 63.35
2881.TW, Close: 67.30, RSI(talib): 67.19
3533.TW, Close: 1210.00, RSI(talib): 68.77
3711.TW, Close: 149.00, RSI(talib): 70.37
2417.TW, Close: 52.20, RSI(talib): 83.17
2465.TW, Close: 157.00, RSI(talib): 87.39
6176.TW, Close: 151.00, RSI(talib): 66.13
2376.TW, Close: 362.50, RSI(talib): 67.75
2368.TW, Close: 274.50, RSI(talib): 63.92
2476.TW, Close: 83.10, RSI(talib): 66.57
3017.TW, Close: 630.00, RSI(talib): 79.72
3708.TW, Close: 118.00, RSI(talib): 74.18
3596.TW, Close: 180.00, RSI(talib): 61.95
2617.TW, Close: 35.25, RSI(talib): 63.36
2809.TW, Close: 47.85, RSI(talib): 88.53
8163.TW, Close: 61.70, RSI(talib): 84.58
2006.TW, Close: 78.20, RSI(talib): 76.85
2845.TW, Close: 13.90, RSI(talib): 81.27
2812.TW, Close: 17.10, RSI(talib): 70.70
2454.TW, Close: 1190.00, RSI(talib): 76.36
5388.TW, Close: 138.50, RSI(talib): 74.68
2404.TW, Close: 326.00, RSI(talib): 74.84
4915.TW, Close: 76.90, RSI(talib): 86.24
6285.TW, Close: 154.50, RSI(talib): 61.57
3592.TW, Close: 472.00, RSI(talib): 71.80
2024.TW, Close: 21.85, RSI(talib): 73.93
3036.TW, Close: 172.00, RSI(talib): 61.53
8150.TW, Close: 46.65, RSI(talib): 67.56
1319.TW, Close: 103.00, RSI(talib): 74.97
5258.TW, Close: 135.50, RSI(talib): 68.01
6239.TW, Close: 172.00, RSI(talib): 82.61
1560.TW, Close: 254.50, RSI(talib): 63.78
2611.TW, Close: 17.65, RSI(talib): 60.53
1514.TW, Close: 118.00, RSI(talib): 82.01
3669.TW, Close: 58.50, RSI(talib): 81.67
3050.TW, Close: 20.30, RSI(talib): 67.00
2031.TW, Close: 65.40, RSI(talib): 70.16
6005.TW, Close: 17.75, RSI(talib): 78.49
3653.TW, Close: 996.00, RSI(talib): 71.49
2379.TW, Close: 600.00, RSI(talib): 83.63
3034.TW, Close: 594.00, RSI(talib): 68.31
2367.TW, Close: 26.65, RSI(talib): 77.12
2449.TW, Close: 106.00, RSI(talib): 69.04
4906.TW, Close: 38.35, RSI(talib): 73.13
6191.TW, Close: 68.60, RSI(talib): 60.03
2305.TW, Close: 27.15, RSI(talib): 69.74
2059.TW, Close: 1470.00, RSI(talib): 74.77
