--------------
Thu Mar  7 21:15:56 2024 TW Stock List
--------------
2890.TW, Close: 20.10, RSI(talib): 62.65
2891.TW, Close: 29.80, RSI(talib): 61.19
9958.TW, Close: 241.00, RSI(talib): 62.47
2347.TW, Close: 76.00, RSI(talib): 61.70
2881.TW, Close: 68.10, RSI(talib): 67.19
2313.TW, Close: 76.20, RSI(talib): 60.81
3533.TW, Close: 1220.00, RSI(talib): 77.40
2637.TW, Close: 59.80, RSI(talib): 62.27
3711.TW, Close: 163.50, RSI(talib): 75.38
2886.TW, Close: 39.30, RSI(talib): 61.30
2417.TW, Close: 52.80, RSI(talib): 86.95
2465.TW, Close: 148.00, RSI(talib): 87.39
6176.TW, Close: 166.00, RSI(talib): 69.29
2376.TW, Close: 359.00, RSI(talib): 68.04
2368.TW, Close: 252.50, RSI(talib): 67.72
2476.TW, Close: 80.90, RSI(talib): 65.52
3017.TW, Close: 599.00, RSI(talib): 83.32
3708.TW, Close: 116.50, RSI(talib): 72.59
2809.TW, Close: 48.15, RSI(talib): 89.26
8163.TW, Close: 61.00, RSI(talib): 84.97
2006.TW, Close: 77.90, RSI(talib): 72.58
2845.TW, Close: 14.00, RSI(talib): 84.34
2812.TW, Close: 17.15, RSI(talib): 75.79
3044.TW, Close: 219.50, RSI(talib): 62.15
2454.TW, Close: 1230.00, RSI(talib): 79.22
2404.TW, Close: 358.50, RSI(talib): 81.28
4915.TW, Close: 75.80, RSI(talib): 86.38
2442.TW, Close: 27.75, RSI(talib): 60.24
2383.TW, Close: 522.00, RSI(talib): 63.09
3592.TW, Close: 470.50, RSI(talib): 69.79
2024.TW, Close: 21.55, RSI(talib): 69.22
3036.TW, Close: 165.50, RSI(talib): 63.06
8150.TW, Close: 47.15, RSI(talib): 74.42
1319.TW, Close: 99.90, RSI(talib): 78.18
5258.TW, Close: 129.50, RSI(talib): 60.90
6239.TW, Close: 171.00, RSI(talib): 83.57
1560.TW, Close: 246.00, RSI(talib): 65.26
1514.TW, Close: 113.50, RSI(talib): 82.43
3669.TW, Close: 55.10, RSI(talib): 85.72
3050.TW, Close: 20.80, RSI(talib): 67.30
2031.TW, Close: 64.50, RSI(talib): 66.91
6005.TW, Close: 18.00, RSI(talib): 80.11
3653.TW, Close: 982.00, RSI(talib): 75.30
2379.TW, Close: 601.00, RSI(talib): 85.66
3034.TW, Close: 598.00, RSI(talib): 68.59
2367.TW, Close: 25.80, RSI(talib): 83.06
2449.TW, Close: 116.50, RSI(talib): 76.89
4906.TW, Close: 36.80, RSI(talib): 64.11
2305.TW, Close: 26.40, RSI(talib): 65.04
2059.TW, Close: 1365.00, RSI(talib): 75.89
1522.TW, Close: 46.05, RSI(talib): 66.86
2458.TW, Close: 165.50, RSI(talib): 60.63
5269.TW, Close: 2255.00, RSI(talib): 67.97
6669.TW, Close: 2510.00, RSI(talib): 69.82
8112.TW, Close: 67.50, RSI(talib): 70.37
3015.TW, Close: 59.00, RSI(talib): 80.29
2204.TW, Close: 132.00, RSI(talib): 68.06
2405.TW, Close: 19.05, RSI(talib): 60.10
3013.TW, Close: 64.20, RSI(talib): 82.43
4770.TW, Close: 401.00, RSI(talib): 68.50
1568.TW, Close: 33.10, RSI(talib): 64.07
6412.TW, Close: 170.00, RSI(talib): 73.14
6491.TW, Close: 410.50, RSI(talib): 61.10
2233.TW, Close: 143.50, RSI(talib): 61.15
2385.TW, Close: 228.00, RSI(talib): 77.21
2486.TW, Close: 50.10, RSI(talib): 63.20
2421.TW, Close: 125.00, RSI(talib): 63.37
3005.TW, Close: 124.50, RSI(talib): 64.90
6117.TW, Close: 78.50, RSI(talib): 67.61
9939.TW, Close: 149.00, RSI(talib): 72.90
2439.TW, Close: 112.00, RSI(talib): 60.86
3029.TW, Close: 76.30, RSI(talib): 66.78
6197.TW, Close: 113.00, RSI(talib): 86.21
5225.TW, Close: 106.50, RSI(talib): 84.02
1519.TW, Close: 541.00, RSI(talib): 74.88
2387.TW, Close: 64.90, RSI(talib): 67.85
6442.TW, Close: 146.50, RSI(talib): 83.74
2530.TW, Close: 38.95, RSI(talib): 60.14
1455.TW, Close: 13.20, RSI(talib): 77.83
1442.TW, Close: 38.90, RSI(talib): 64.48
3030.TW, Close: 77.20, RSI(talib): 77.71
3413.TW, Close: 253.50, RSI(talib): 70.48
3010.TW, Close: 112.50, RSI(talib): 79.43
6139.TW, Close: 175.50, RSI(talib): 62.32
1618.TW, Close: 33.65, RSI(talib): 65.86
2539.TW, Close: 63.40, RSI(talib): 78.24
6715.TW, Close: 206.00, RSI(talib): 76.80
3051.TW, Close: 38.60, RSI(talib): 66.14
1809.TW, Close: 34.00, RSI(talib): 90.29
6691.TW, Close: 394.50, RSI(talib): 81.83
8110.TW, Close: 16.95, RSI(talib): 67.47
1229.TW, Close: 67.00, RSI(talib): 65.36
3338.TW, Close: 76.10, RSI(talib): 70.88
5521.TW, Close: 13.45, RSI(talib): 63.69
3376.TW, Close: 220.00, RSI(talib): 75.48
4306.TW, Close: 18.80, RSI(talib): 68.06
3583.TW, Close: 285.00, RSI(talib): 72.81
8011.TW, Close: 27.00, RSI(talib): 77.19
8271.TW, Close: 72.10, RSI(talib): 81.08
2211.TW, Close: 121.00, RSI(talib): 69.86
3055.TW, Close: 72.70, RSI(talib): 64.00
2369.TW, Close: 25.60, RSI(talib): 63.23
2855.TW, Close: 22.95, RSI(talib): 74.50
9927.TW, Close: 75.00, RSI(talib): 71.45
2516.TW, Close: 13.25, RSI(talib): 61.13
6189.TW, Close: 76.60, RSI(talib): 68.21
6165.TW, Close: 52.50, RSI(talib): 83.89
2025.TW, Close: 13.00, RSI(talib): 83.76
3450.TW, Close: 75.60, RSI(talib): 67.12
3588.TW, Close: 108.50, RSI(talib): 65.28
2543.TW, Close: 47.10, RSI(talib): 75.20
3694.TW, Close: 52.60, RSI(talib): 60.72
6585.TW, Close: 184.50, RSI(talib): 71.24
2365.TW, Close: 23.05, RSI(talib): 76.67
1339.TW, Close: 72.10, RSI(talib): 72.74
6526.TW, Close: 671.00, RSI(talib): 71.57
6216.TW, Close: 33.65, RSI(talib): 66.92
2488.TW, Close: 43.30, RSI(talib): 70.02
6805.TW, Close: 881.00, RSI(talib): 77.41
2467.TW, Close: 134.50, RSI(talib): 79.98
1582.TW, Close: 84.80, RSI(talib): 66.34
5515.TW, Close: 18.95, RSI(talib): 63.31
6024.TW, Close: 56.00, RSI(talib): 80.13
2423.TW, Close: 42.80, RSI(talib): 64.91
3605.TW, Close: 40.50, RSI(talib): 69.89
2062.TW, Close: 29.45, RSI(talib): 67.44
--------------
