--------------
Mon Mar 25 21:02:16 2024 TW Stock List
--------------
2324.TW, Close: 38.55, RSI(talib): 63.75
2890.TW, Close: 21.15, RSI(talib): 69.61
2891.TW, Close: 31.70, RSI(talib): 70.43
2885.TW, Close: 29.85, RSI(talib): 62.11
2330.TW, Close: 780.00, RSI(talib): 68.59
2881.TW, Close: 69.00, RSI(talib): 61.96
3042.TW, Close: 115.00, RSI(talib): 66.31
3533.TW, Close: 1390.00, RSI(talib): 78.90
2637.TW, Close: 61.90, RSI(talib): 62.23
3711.TW, Close: 157.50, RSI(talib): 61.61
2417.TW, Close: 51.10, RSI(talib): 66.04
6176.TW, Close: 172.00, RSI(talib): 60.89
2359.TW, Close: 65.50, RSI(talib): 86.55
4938.TW, Close: 101.50, RSI(talib): 76.35
3708.TW, Close: 124.50, RSI(talib): 74.14
3596.TW, Close: 193.50, RSI(talib): 68.43
6806.TW, Close: 151.00, RSI(talib): 62.13
2809.TW, Close: 50.90, RSI(talib): 87.21
8163.TW, Close: 62.80, RSI(talib): 80.41
2845.TW, Close: 14.20, RSI(talib): 71.45
3044.TW, Close: 215.50, RSI(talib): 62.79
2515.TW, Close: 13.25, RSI(talib): 64.87
5388.TW, Close: 147.00, RSI(talib): 68.87
4915.TW, Close: 82.80, RSI(talib): 73.72
1477.TW, Close: 400.00, RSI(talib): 67.61
3592.TW, Close: 477.50, RSI(talib): 63.02
8150.TW, Close: 49.95, RSI(talib): 79.07
2504.TW, Close: 37.00, RSI(talib): 72.06
1319.TW, Close: 118.50, RSI(talib): 66.49
6239.TW, Close: 188.50, RSI(talib): 77.48
2611.TW, Close: 23.80, RSI(talib): 82.35
1731.TW, Close: 25.90, RSI(talib): 60.18
1514.TW, Close: 114.50, RSI(talib): 64.90
2474.TW, Close: 211.50, RSI(talib): 62.15
6005.TW, Close: 19.00, RSI(talib): 75.53
2327.TW, Close: 582.00, RSI(talib): 64.80
2379.TW, Close: 584.00, RSI(talib): 66.23
2367.TW, Close: 27.55, RSI(talib): 68.19
2449.TW, Close: 108.50, RSI(talib): 63.92
1808.TW, Close: 129.50, RSI(talib): 75.09
6191.TW, Close: 71.20, RSI(talib): 60.30
2049.TW, Close: 272.50, RSI(talib): 62.59
1522.TW, Close: 51.00, RSI(talib): 64.09
8070.TW, Close: 40.70, RSI(talib): 69.59
2458.TW, Close: 169.00, RSI(talib): 62.55
8112.TW, Close: 75.40, RSI(talib): 75.12
1773.TW, Close: 183.00, RSI(talib): 67.87
4770.TW, Close: 421.50, RSI(talib): 62.42
6605.TW, Close: 199.50, RSI(talib): 72.96
3406.TW, Close: 493.00, RSI(talib): 75.66
6412.TW, Close: 178.50, RSI(talib): 69.51
6491.TW, Close: 462.50, RSI(talib): 74.59
2486.TW, Close: 64.20, RSI(talib): 71.11
3005.TW, Close: 144.00, RSI(talib): 63.32
2439.TW, Close: 121.50, RSI(talib): 72.97
2420.TW, Close: 54.30, RSI(talib): 67.94
5225.TW, Close: 112.50, RSI(talib): 63.31
1519.TW, Close: 785.00, RSI(talib): 78.15
2387.TW, Close: 66.10, RSI(talib): 68.56
1455.TW, Close: 14.65, RSI(talib): 69.39
1612.TW, Close: 30.80, RSI(talib): 68.36
1442.TW, Close: 43.95, RSI(talib): 88.05
3030.TW, Close: 82.60, RSI(talib): 69.63
3413.TW, Close: 297.50, RSI(talib): 79.48
2451.TW, Close: 88.70, RSI(talib): 67.38
6139.TW, Close: 206.00, RSI(talib): 71.55
1618.TW, Close: 37.20, RSI(talib): 63.39
2903.TW, Close: 29.20, RSI(talib): 80.66
2539.TW, Close: 71.00, RSI(talib): 73.19
6691.TW, Close: 387.50, RSI(talib): 62.89
1215.TW, Close: 105.00, RSI(talib): 73.24
5434.TW, Close: 217.50, RSI(talib): 71.95
6177.TW, Close: 40.10, RSI(talib): 86.08
5469.TW, Close: 62.50, RSI(talib): 61.00
1535.TW, Close: 72.70, RSI(talib): 63.21
3376.TW, Close: 218.50, RSI(talib): 61.60
4306.TW, Close: 18.25, RSI(talib): 63.38
1616.TW, Close: 20.70, RSI(talib): 76.80
2535.TW, Close: 54.40, RSI(talib): 73.08
2548.TW, Close: 119.50, RSI(talib): 85.14
3583.TW, Close: 298.50, RSI(talib): 60.31
3014.TW, Close: 175.50, RSI(talib): 61.77
2480.TW, Close: 131.00, RSI(talib): 68.13
2855.TW, Close: 23.35, RSI(talib): 70.75
9927.TW, Close: 74.60, RSI(talib): 68.63
6189.TW, Close: 90.40, RSI(talib): 70.20
1307.TW, Close: 28.25, RSI(talib): 60.73
3622.TW, Close: 62.50, RSI(talib): 63.68
2852.TW, Close: 19.40, RSI(talib): 60.04
3450.TW, Close: 75.00, RSI(talib): 60.65
6585.TW, Close: 193.50, RSI(talib): 63.33
6216.TW, Close: 36.70, RSI(talib): 77.81
2488.TW, Close: 45.95, RSI(talib): 66.37
6805.TW, Close: 850.00, RSI(talib): 62.58
1582.TW, Close: 89.40, RSI(talib): 61.36
2501.TW, Close: 21.25, RSI(talib): 73.72
6024.TW, Close: 54.00, RSI(talib): 60.89
6668.TW, Close: 65.20, RSI(talib): 62.35
2528.TW, Close: 44.50, RSI(talib): 68.13
6869.TW, Close: 140.50, RSI(talib): 61.45
2020.TW, Close: 37.90, RSI(talib): 65.03
--------------
3308.TW failed (index 0 is out of bounds for axis 0 with size 0).
