--------------
Tue Mar 26 21:33:20 2024 TW Stock List
--------------
2324.TW, Close: 37.90, RSI(talib): 67.45
2890.TW, Close: 21.65, RSI(talib): 69.01
2891.TW, Close: 31.80, RSI(talib): 66.40
2885.TW, Close: 30.10, RSI(talib): 64.80
2330.TW, Close: 782.00, RSI(talib): 66.26
3042.TW, Close: 112.50, RSI(talib): 61.62
3533.TW, Close: 1370.00, RSI(talib): 76.38
2637.TW, Close: 59.50, RSI(talib): 63.53
2417.TW, Close: 46.20, RSI(talib): 66.20
2374.TW, Close: 26.25, RSI(talib): 63.38
2359.TW, Close: 69.70, RSI(talib): 89.55
4938.TW, Close: 97.80, RSI(talib): 75.26
3708.TW, Close: 129.00, RSI(talib): 69.29
3596.TW, Close: 189.00, RSI(talib): 61.59
6806.TW, Close: 149.50, RSI(talib): 65.78
2809.TW, Close: 50.50, RSI(talib): 71.74
8163.TW, Close: 61.90, RSI(talib): 69.50
2845.TW, Close: 14.20, RSI(talib): 70.95
3044.TW, Close: 205.50, RSI(talib): 60.28
2515.TW, Close: 13.25, RSI(talib): 66.31
5388.TW, Close: 145.00, RSI(talib): 64.61
4915.TW, Close: 82.10, RSI(talib): 67.25
1477.TW, Close: 400.00, RSI(talib): 69.72
8150.TW, Close: 48.40, RSI(talib): 69.99
2504.TW, Close: 37.05, RSI(talib): 72.70
1319.TW, Close: 118.50, RSI(talib): 67.04
5258.TW, Close: 142.00, RSI(talib): 68.17
6239.TW, Close: 186.50, RSI(talib): 66.56
1560.TW, Close: 253.50, RSI(talib): 62.52
2611.TW, Close: 23.20, RSI(talib): 77.14
1731.TW, Close: 25.50, RSI(talib): 61.58
1514.TW, Close: 114.00, RSI(talib): 66.68
3050.TW, Close: 22.95, RSI(talib): 62.10
6005.TW, Close: 18.90, RSI(talib): 72.48
2379.TW, Close: 565.00, RSI(talib): 63.21
2367.TW, Close: 26.75, RSI(talib): 69.41
2449.TW, Close: 105.50, RSI(talib): 62.05
1808.TW, Close: 127.50, RSI(talib): 77.42
1590.TW, Close: 1110.00, RSI(talib): 61.34
2049.TW, Close: 258.50, RSI(talib): 75.58
1522.TW, Close: 50.20, RSI(talib): 67.25
8070.TW, Close: 39.80, RSI(talib): 75.91
2458.TW, Close: 166.50, RSI(talib): 63.52
5269.TW, Close: 2295.00, RSI(talib): 61.24
8112.TW, Close: 73.70, RSI(talib): 74.14
1773.TW, Close: 184.00, RSI(talib): 69.90
4770.TW, Close: 420.00, RSI(talib): 64.58
6605.TW, Close: 196.50, RSI(talib): 72.23
3406.TW, Close: 499.00, RSI(talib): 77.49
6196.TW, Close: 160.00, RSI(talib): 60.91
6491.TW, Close: 449.00, RSI(talib): 76.39
3167.TW, Close: 59.00, RSI(talib): 60.26
2486.TW, Close: 60.10, RSI(talib): 78.50
3005.TW, Close: 146.00, RSI(talib): 63.66
9939.TW, Close: 147.50, RSI(talib): 60.13
2439.TW, Close: 118.50, RSI(talib): 74.91
6197.TW, Close: 111.50, RSI(talib): 68.51
5225.TW, Close: 107.00, RSI(talib): 61.97
1519.TW, Close: 788.00, RSI(talib): 82.80
2387.TW, Close: 63.00, RSI(talib): 69.70
6442.TW, Close: 132.00, RSI(talib): 62.85
2530.TW, Close: 41.55, RSI(talib): 60.46
1455.TW, Close: 14.40, RSI(talib): 70.99
1612.TW, Close: 31.55, RSI(talib): 75.34
1442.TW, Close: 43.90, RSI(talib): 88.95
6789.TW, Close: 310.00, RSI(talib): 63.54
