--------------
Wed Mar 27 19:55:07 2024 TW Stock List
--------------
2890.TW, Close: 21.50, RSI(talib): 74.50
2891.TW, Close: 32.60, RSI(talib): 67.14
2885.TW, Close: 30.30, RSI(talib): 66.24
2330.TW, Close: 779.00, RSI(talib): 66.54
2881.TW, Close: 69.80, RSI(talib): 60.32
1513.TW, Close: 176.00, RSI(talib): 71.97
2455.TW, Close: 174.50, RSI(talib): 60.11
3533.TW, Close: 1400.00, RSI(talib): 72.50
2886.TW, Close: 40.50, RSI(talib): 61.76
2359.TW, Close: 72.80, RSI(talib): 91.00
4938.TW, Close: 98.40, RSI(talib): 63.53
3708.TW, Close: 126.50, RSI(talib): 72.13
6806.TW, Close: 144.50, RSI(talib): 63.74
2809.TW, Close: 51.00, RSI(talib): 69.28
8163.TW, Close: 63.00, RSI(talib): 63.99
2845.TW, Close: 14.30, RSI(talib): 70.83
2515.TW, Close: 14.10, RSI(talib): 65.16
5388.TW, Close: 148.50, RSI(talib): 60.68
4915.TW, Close: 85.20, RSI(talib): 64.44
1477.TW, Close: 397.00, RSI(talib): 68.78
2024.TW, Close: 23.15, RSI(talib): 71.18
2504.TW, Close: 38.10, RSI(talib): 72.99
1319.TW, Close: 125.00, RSI(talib): 66.96
5258.TW, Close: 141.50, RSI(talib): 60.37
6239.TW, Close: 188.00, RSI(talib): 62.64
1560.TW, Close: 264.00, RSI(talib): 61.98
2611.TW, Close: 23.35, RSI(talib): 69.87
1514.TW, Close: 111.00, RSI(talib): 65.25
3050.TW, Close: 22.95, RSI(talib): 61.29
6005.TW, Close: 19.05, RSI(talib): 69.53
2367.TW, Close: 26.65, RSI(talib): 63.87
1808.TW, Close: 124.50, RSI(talib): 72.47
2105.TW, Close: 49.85, RSI(talib): 61.73
2049.TW, Close: 284.00, RSI(talib): 62.16
1522.TW, Close: 52.10, RSI(talib): 63.47
8070.TW, Close: 39.70, RSI(talib): 65.30
8112.TW, Close: 74.00, RSI(talib): 66.64
1773.TW, Close: 193.00, RSI(talib): 70.55
4770.TW, Close: 451.00, RSI(talib): 64.49
6605.TW, Close: 216.00, RSI(talib): 68.53
3406.TW, Close: 505.00, RSI(talib): 78.69
6491.TW, Close: 454.00, RSI(talib): 65.50
2486.TW, Close: 59.00, RSI(talib): 64.16
3005.TW, Close: 149.50, RSI(talib): 64.60
9939.TW, Close: 147.00, RSI(talib): 60.50
2439.TW, Close: 121.00, RSI(talib): 64.24
6197.TW, Close: 115.00, RSI(talib): 65.06
1519.TW, Close: 710.00, RSI(talib): 82.83
1455.TW, Close: 14.95, RSI(talib): 66.66
1612.TW, Close: 31.45, RSI(talib): 77.57
1442.TW, Close: 45.20, RSI(talib): 88.21
3030.TW, Close: 86.10, RSI(talib): 70.75
3413.TW, Close: 307.50, RSI(talib): 81.12
2451.TW, Close: 89.50, RSI(talib): 64.77
6139.TW, Close: 205.50, RSI(talib): 71.36
1618.TW, Close: 39.25, RSI(talib): 68.42
2903.TW, Close: 29.40, RSI(talib): 77.86
2851.TW, Close: 24.90, RSI(talib): 66.66
2539.TW, Close: 72.10, RSI(talib): 74.44
1215.TW, Close: 109.00, RSI(talib): 75.34
5434.TW, Close: 218.50, RSI(talib): 71.27
6177.TW, Close: 41.30, RSI(talib): 87.46
1535.TW, Close: 74.20, RSI(talib): 60.64
1616.TW, Close: 23.25, RSI(talib): 85.55
2535.TW, Close: 55.00, RSI(talib): 70.21
2548.TW, Close: 126.00, RSI(talib): 87.50
3583.TW, Close: 317.50, RSI(talib): 61.04
2855.TW, Close: 23.90, RSI(talib): 64.31
2316.TW, Close: 42.55, RSI(talib): 61.43
6189.TW, Close: 88.50, RSI(talib): 67.80
2537.TW, Close: 11.30, RSI(talib): 71.62
1307.TW, Close: 29.05, RSI(talib): 62.40
3622.TW, Close: 63.00, RSI(talib): 65.60
6585.TW, Close: 184.50, RSI(talib): 62.59
6216.TW, Close: 36.30, RSI(talib): 62.29
2488.TW, Close: 45.75, RSI(talib): 65.36
2501.TW, Close: 21.65, RSI(talib): 72.87
6668.TW, Close: 60.80, RSI(talib): 65.72
2528.TW, Close: 46.55, RSI(talib): 74.69
6869.TW, Close: 134.00, RSI(talib): 67.33
--------------
3308.TW failed (index 0 is out of bounds for axis 0 with size 0).
4532.TW failed (could not convert string to float: 'N/A').
