--------------
Thu Mar 28 20:56:32 2024 TW Stock List
--------------
2890.TW, Close: 21.50, RSI(talib): 70.26
2891.TW, Close: 32.40, RSI(talib): 72.86
2885.TW, Close: 30.10, RSI(talib): 67.69
2330.TW, Close: 769.00, RSI(talib): 65.10
2881.TW, Close: 69.30, RSI(talib): 61.50
3533.TW, Close: 1385.00, RSI(talib): 74.56
2359.TW, Close: 73.10, RSI(talib): 91.89
4938.TW, Close: 99.70, RSI(talib): 64.47
3708.TW, Close: 125.50, RSI(talib): 68.07
2809.TW, Close: 51.60, RSI(talib): 71.04
8163.TW, Close: 62.30, RSI(talib): 67.35
2845.TW, Close: 14.25, RSI(talib): 72.67
2454.TW, Close: 1160.00, RSI(talib): 60.45
2515.TW, Close: 14.10, RSI(talib): 76.93
5388.TW, Close: 144.00, RSI(talib): 64.71
2404.TW, Close: 388.50, RSI(talib): 61.75
4915.TW, Close: 85.80, RSI(talib): 69.90
1477.TW, Close: nan, RSI(talib): 64.85
2024.TW, Close: 21.60, RSI(talib): 66.06
8150.TW, Close: 51.00, RSI(talib): 67.44
2504.TW, Close: 37.70, RSI(talib): 77.52
1319.TW, Close: 125.00, RSI(talib): 72.33
6239.TW, Close: 201.00, RSI(talib): 63.96
1560.TW, Close: 259.00, RSI(talib): 67.03
2611.TW, Close: 23.70, RSI(talib): 70.59
1731.TW, Close: 27.70, RSI(talib): 62.19
3050.TW, Close: 23.50, RSI(talib): 61.29
6005.TW, Close: 18.95, RSI(talib): 71.28
2367.TW, Close: 26.65, RSI(talib): 63.20
1808.TW, Close: 127.00, RSI(talib): 66.33
6191.TW, Close: 73.70, RSI(talib): 61.32
2105.TW, Close: 49.70, RSI(talib): 66.28
1590.TW, Close: 1110.00, RSI(talib): 61.05
2049.TW, Close: 279.00, RSI(talib): 71.83
1522.TW, Close: 54.00, RSI(talib): 68.14
8070.TW, Close: 39.75, RSI(talib): 64.23
8112.TW, Close: 74.00, RSI(talib): 67.24
1773.TW, Close: 192.00, RSI(talib): 75.75
2520.TW, Close: 41.05, RSI(talib): 64.72
6605.TW, Close: 228.00, RSI(talib): 76.35
3406.TW, Close: 509.00, RSI(talib): 79.74
6196.TW, Close: 163.00, RSI(talib): 63.09
6491.TW, Close: 454.00, RSI(talib): 67.31
6206.TW, Close: 78.40, RSI(talib): 64.25
2486.TW, Close: 58.60, RSI(talib): 61.02
3005.TW, Close: nan, RSI(talib): 66.69
4746.TW, Close: 109.00, RSI(talib): 61.54
2439.TW, Close: 118.50, RSI(talib): 68.60
6197.TW, Close: 126.50, RSI(talib): 67.91
1519.TW, Close: 670.00, RSI(talib): 65.86
2530.TW, Close: 44.85, RSI(talib): 65.41
1455.TW, Close: 14.80, RSI(talib): 71.21
1612.TW, Close: 31.35, RSI(talib): 76.37
1442.TW, Close: 45.15, RSI(talib): 90.53
3030.TW, Close: 85.70, RSI(talib): 77.57
5284.TW, Close: 218.00, RSI(talib): 67.15
3413.TW, Close: 299.50, RSI(talib): 83.25
2451.TW, Close: 88.90, RSI(talib): 67.99
6139.TW, Close: 226.00, RSI(talib): 68.42
1618.TW, Close: 38.45, RSI(talib): 70.19
2903.TW, Close: 29.70, RSI(talib): 80.20
2851.TW, Close: 24.90, RSI(talib): 70.14
2539.TW, Close: 71.90, RSI(talib): 76.91
5471.TW, Close: 53.70, RSI(talib): 62.89
1215.TW, Close: 110.00, RSI(talib): 81.09
5434.TW, Close: 218.50, RSI(talib): 72.78
6177.TW, Close: 42.05, RSI(talib): 89.57
5469.TW, Close: 63.20, RSI(talib): 60.56
1535.TW, Close: 75.10, RSI(talib): 64.77
4306.TW, Close: 18.75, RSI(talib): 63.13
1616.TW, Close: 21.90, RSI(talib): 86.28
2535.TW, Close: 55.80, RSI(talib): 73.71
2548.TW, Close: 125.50, RSI(talib): 90.52
3583.TW, Close: 309.00, RSI(talib): 68.42
3014.TW, Close: 176.50, RSI(talib): 62.76
1702.TW, Close: 58.20, RSI(talib): 66.68
6214.TW, Close: 118.50, RSI(talib): 60.38
8271.TW, Close: 70.10, RSI(talib): 60.22
2855.TW, Close: 24.20, RSI(talib): 70.15
6189.TW, Close: 88.80, RSI(talib): 68.87
2537.TW, Close: 11.40, RSI(talib): 72.59
1307.TW, Close: 29.45, RSI(talib): 68.98
2852.TW, Close: 19.60, RSI(talib): 65.05
6216.TW, Close: 36.05, RSI(talib): 67.07
2488.TW, Close: 46.35, RSI(talib): 66.70
2467.TW, Close: 127.50, RSI(talib): 61.55
5515.TW, Close: 22.90, RSI(talib): 68.87
2501.TW, Close: 21.25, RSI(talib): 76.61
2528.TW, Close: 47.00, RSI(talib): 80.46
2020.TW, Close: 37.85, RSI(talib): 61.00
--------------
2880.TW failed (('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))).
3308.TW failed (index 0 is out of bounds for axis 0 with size 0).
