--------------
Sat Mar 30 00:32:46 2024 TW Stock List
--------------
2890.TW, Close: 21.65, RSI(talib): 73.30
2891.TW, Close: 33.05, RSI(talib): 73.89
2885.TW, Close: 30.40, RSI(talib): 67.69
2347.TW, Close: 78.90, RSI(talib): 62.55
2330.TW, Close: 779.00, RSI(talib): 63.90
2382.TW, Close: 293.50, RSI(talib): 71.46
2881.TW, Close: 69.70, RSI(talib): 60.63
1513.TW, Close: 179.50, RSI(talib): 62.92
3533.TW, Close: 1400.00, RSI(talib): 72.64
3711.TW, Close: 161.00, RSI(talib): 62.16
2886.TW, Close: 40.55, RSI(talib): 61.67
6213.TW, Close: 98.30, RSI(talib): 72.76
2359.TW, Close: 72.50, RSI(talib): 89.79
4938.TW, Close: 102.00, RSI(talib): 69.90
3708.TW, Close: 128.50, RSI(talib): 68.68
2809.TW, Close: 51.60, RSI(talib): 73.35
8163.TW, Close: 62.30, RSI(talib): 64.18
2845.TW, Close: 14.40, RSI(talib): 73.53
9904.TW, Close: 36.15, RSI(talib): 77.81
4958.TW, Close: 125.00, RSI(talib): 79.19
2454.TW, Close: 1195.00, RSI(talib): 63.98
2515.TW, Close: 14.15, RSI(talib): 77.69
4915.TW, Close: 83.70, RSI(talib): 64.13
3592.TW, Close: 478.50, RSI(talib): 60.31
8150.TW, Close: 50.00, RSI(talib): 61.58
2504.TW, Close: 37.90, RSI(talib): 73.27
1319.TW, Close: 125.00, RSI(talib): 72.65
6239.TW, Close: 200.50, RSI(talib): 72.34
1560.TW, Close: 261.50, RSI(talib): 62.99
2611.TW, Close: 23.45, RSI(talib): 70.01
3050.TW, Close: 23.55, RSI(talib): 64.15
2474.TW, Close: 219.00, RSI(talib): 65.57
6005.TW, Close: 19.15, RSI(talib): 71.47
2327.TW, Close: 591.00, RSI(talib): 62.76
3034.TW, Close: 604.00, RSI(talib): 63.25
2367.TW, Close: 26.65, RSI(talib): 63.67
1808.TW, Close: 124.00, RSI(talib): 63.12
6278.TW, Close: 108.50, RSI(talib): 63.16
2105.TW, Close: 50.00, RSI(talib): 66.51
1590.TW, Close: 1120.00, RSI(talib): 61.44
2049.TW, Close: 275.50, RSI(talib): 66.19
1522.TW, Close: 54.00, RSI(talib): 72.30
8070.TW, Close: 40.10, RSI(talib): 66.76
5269.TW, Close: 2395.00, RSI(talib): 62.29
8112.TW, Close: 72.80, RSI(talib): 62.66
6719.TW, Close: 297.00, RSI(talib): 62.54
1773.TW, Close: 185.50, RSI(talib): 65.20
3015.TW, Close: 59.40, RSI(talib): 66.77
2520.TW, Close: 41.80, RSI(talib): 66.68
3013.TW, Close: 61.30, RSI(talib): 64.87
6605.TW, Close: 219.50, RSI(talib): 71.80
3406.TW, Close: 496.00, RSI(talib): 72.09
6196.TW, Close: 163.50, RSI(talib): 61.28
6491.TW, Close: 454.00, RSI(talib): 65.82
6206.TW, Close: 78.00, RSI(talib): 63.74
2486.TW, Close: 60.00, RSI(talib): 62.32
6197.TW, Close: 139.00, RSI(talib): 80.51
5225.TW, Close: 120.00, RSI(talib): 65.98
1519.TW, Close: 683.00, RSI(talib): 60.21
6442.TW, Close: 140.50, RSI(talib): 62.74
2530.TW, Close: 44.20, RSI(talib): 66.27
1455.TW, Close: 14.40, RSI(talib): 62.25
1612.TW, Close: 30.95, RSI(talib): 70.75
1442.TW, Close: 45.00, RSI(talib): 87.57
3030.TW, Close: 87.50, RSI(talib): 78.49
3312.TW, Close: 43.75, RSI(talib): 65.39
5284.TW, Close: 212.50, RSI(talib): 61.87
3413.TW, Close: 297.00, RSI(talib): 71.40
6416.TW, Close: 131.50, RSI(talib): 65.01
3010.TW, Close: 113.00, RSI(talib): 61.52
2451.TW, Close: 89.10, RSI(talib): 65.40
6139.TW, Close: 240.50, RSI(talib): 78.80
2464.TW, Close: 46.55, RSI(talib): 67.98
1618.TW, Close: 37.30, RSI(talib): 60.10
2903.TW, Close: 29.60, RSI(talib): 79.59
2851.TW, Close: 24.75, RSI(talib): 66.72
2539.TW, Close: 71.70, RSI(talib): 75.08
1215.TW, Close: 112.00, RSI(talib): 86.08
8110.TW, Close: 17.90, RSI(talib): 60.84
5434.TW, Close: 219.00, RSI(talib): 72.96
6177.TW, Close: 41.60, RSI(talib): 84.82
1535.TW, Close: 76.80, RSI(talib): 68.89
4306.TW, Close: 18.65, RSI(talib): 65.62
1608.TW, Close: 29.85, RSI(talib): 78.95
1616.TW, Close: 20.70, RSI(talib): 67.00
2535.TW, Close: 57.10, RSI(talib): 79.35
2548.TW, Close: 124.00, RSI(talib): 83.11
9934.TW, Close: 17.55, RSI(talib): 70.28
3583.TW, Close: 302.00, RSI(talib): 60.79
2855.TW, Close: 24.60, RSI(talib): 74.96
2316.TW, Close: 43.30, RSI(talib): 60.97
6189.TW, Close: 87.70, RSI(talib): 66.81
2537.TW, Close: 11.80, RSI(talib): 77.26
1307.TW, Close: 29.45, RSI(talib): 71.35
2852.TW, Close: 19.75, RSI(talib): 65.86
6216.TW, Close: 35.95, RSI(talib): 64.04
2488.TW, Close: 45.70, RSI(talib): 63.91
1582.TW, Close: 91.50, RSI(talib): 64.51
2501.TW, Close: 21.45, RSI(talib): 70.61
6668.TW, Close: 63.70, RSI(talib): 64.30
2528.TW, Close: 46.30, RSI(talib): 74.86
6869.TW, Close: 136.00, RSI(talib): 61.90
2062.TW, Close: 29.20, RSI(talib): 64.53
2020.TW, Close: 38.25, RSI(talib): 64.13
--------------
1312.TW failed (inputs are all NaN).
6781.TW failed (('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))).
3308.TW failed (index 0 is out of bounds for axis 0 with size 0).
