--------------
Fri Apr  5 23:28:51 2024 TW Stock List
--------------
2330.TW, Close: 780.00, RSI(talib): 62.08
2382.TW, Close: 293.50, RSI(talib): 67.20
1513.TW, Close: 178.50, RSI(talib): 64.12
3533.TW, Close: 1520.00, RSI(talib): 80.22
2834.TW, Close: 15.90, RSI(talib): 68.02
6213.TW, Close: 116.50, RSI(talib): 81.70
3532.TW, Close: 170.00, RSI(talib): 60.84
2374.TW, Close: 32.25, RSI(talib): 81.76
2359.TW, Close: 96.30, RSI(talib): 94.30
3708.TW, Close: 125.00, RSI(talib): 62.29
6806.TW, Close: 151.00, RSI(talib): 65.76
2809.TW, Close: 55.30, RSI(talib): 82.74
8163.TW, Close: 63.60, RSI(talib): 69.61
2845.TW, Close: 14.25, RSI(talib): 67.10
2812.TW, Close: 17.00, RSI(talib): 60.37
4958.TW, Close: 129.50, RSI(talib): 78.12
2515.TW, Close: 15.85, RSI(talib): 84.54
4915.TW, Close: 83.00, RSI(talib): 62.30
3592.TW, Close: 480.00, RSI(talib): 61.18
2504.TW, Close: 39.75, RSI(talib): 81.82
1319.TW, Close: 120.50, RSI(talib): 64.20
6239.TW, Close: 191.00, RSI(talib): 60.62
1560.TW, Close: 266.50, RSI(talib): 62.37
2611.TW, Close: 23.60, RSI(talib): 72.97
3050.TW, Close: 23.55, RSI(talib): 63.12
6005.TW, Close: 19.75, RSI(talib): 78.04
2327.TW, Close: 614.00, RSI(talib): 68.53
3034.TW, Close: 596.00, RSI(talib): 60.99
3703.TW, Close: 31.60, RSI(talib): 85.59
6278.TW, Close: 110.00, RSI(talib): 65.36
1524.TW, Close: 37.85, RSI(talib): 66.23
2059.TW, Close: 1325.00, RSI(talib): 61.00
1590.TW, Close: 1130.00, RSI(talib): 60.39
3535.TW, Close: 23.95, RSI(talib): 65.18
2049.TW, Close: 269.50, RSI(talib): 61.00
1522.TW, Close: 58.50, RSI(talib): 75.02
8070.TW, Close: 42.20, RSI(talib): 78.01
6288.TW, Close: 36.70, RSI(talib): 68.53
5269.TW, Close: 2550.00, RSI(talib): 70.41
6669.TW, Close: 2460.00, RSI(talib): 61.15
8112.TW, Close: 74.80, RSI(talib): 66.93
1773.TW, Close: 184.00, RSI(talib): 63.50
2520.TW, Close: 41.85, RSI(talib): 63.47
2204.TW, Close: 134.00, RSI(talib): 63.99
3013.TW, Close: 63.90, RSI(talib): 66.94
4770.TW, Close: 421.00, RSI(talib): 60.89
6605.TW, Close: 223.00, RSI(talib): 70.83
3406.TW, Close: 474.00, RSI(talib): 60.39
6196.TW, Close: 169.00, RSI(talib): 62.34
6491.TW, Close: 482.00, RSI(talib): 74.91
6670.TW, Close: 249.00, RSI(talib): 78.74
6206.TW, Close: 79.80, RSI(talib): 69.13
2486.TW, Close: 70.90, RSI(talib): 72.95
4746.TW, Close: 116.50, RSI(talib): 64.04
6117.TW, Close: 89.40, RSI(talib): 66.45
2439.TW, Close: 123.00, RSI(talib): 65.04
6197.TW, Close: 171.00, RSI(talib): 87.99
5225.TW, Close: 121.50, RSI(talib): 64.47
1519.TW, Close: 816.00, RSI(talib): 70.68
2530.TW, Close: 47.40, RSI(talib): 74.11
1455.TW, Close: 14.55, RSI(talib): 62.29
1612.TW, Close: 31.10, RSI(talib): 70.65
1442.TW, Close: 44.80, RSI(talib): 78.26
3030.TW, Close: 88.50, RSI(talib): 78.34
5284.TW, Close: 211.00, RSI(talib): 60.61
3413.TW, Close: 308.00, RSI(talib): 72.15
2009.TW, Close: 41.15, RSI(talib): 70.93
3010.TW, Close: 128.00, RSI(talib): 74.57
2451.TW, Close: 89.20, RSI(talib): 65.97
6139.TW, Close: 283.50, RSI(talib): 86.21
2903.TW, Close: 30.00, RSI(talib): 77.34
2539.TW, Close: 72.20, RSI(talib): 75.14
6715.TW, Close: 195.50, RSI(talib): 60.45
5471.TW, Close: 54.60, RSI(talib): 63.22
2472.TW, Close: 74.50, RSI(talib): 65.62
6691.TW, Close: 390.00, RSI(talib): 63.17
1215.TW, Close: 112.00, RSI(talib): 76.34
5434.TW, Close: 239.00, RSI(talib): 85.89
6177.TW, Close: 43.80, RSI(talib): 80.13
3032.TW, Close: 82.80, RSI(talib): 61.25
1535.TW, Close: 73.50, RSI(talib): 60.25
4306.TW, Close: 18.80, RSI(talib): 65.82
1608.TW, Close: 30.00, RSI(talib): 80.89
1616.TW, Close: 20.60, RSI(talib): 62.48
2535.TW, Close: 58.40, RSI(talib): 82.06
2548.TW, Close: 126.00, RSI(talib): 83.74
9934.TW, Close: 16.95, RSI(talib): 60.06
3583.TW, Close: 380.50, RSI(talib): 76.86
1702.TW, Close: 58.80, RSI(talib): 68.23
6215.TW, Close: 36.20, RSI(talib): 71.99
2211.TW, Close: 130.00, RSI(talib): 62.43
3055.TW, Close: 76.00, RSI(talib): 62.97
2855.TW, Close: 25.50, RSI(talib): 79.85
2316.TW, Close: 44.55, RSI(talib): 64.66
6189.TW, Close: 94.00, RSI(talib): 68.88
2537.TW, Close: 13.00, RSI(talib): 76.64
1307.TW, Close: 29.95, RSI(talib): 72.40
