--------------
Mon Apr  8 22:57:31 2024 TW Stock List
--------------
2382.TW, Close: 291.50, RSI(talib): 65.83
1513.TW, Close: 182.00, RSI(talib): 65.32
3533.TW, Close: 1550.00, RSI(talib): 80.00
2834.TW, Close: 16.05, RSI(talib): 68.21
6213.TW, Close: 111.50, RSI(talib): 81.32
3532.TW, Close: 170.50, RSI(talib): 63.01
2374.TW, Close: 31.95, RSI(talib): 81.64
2359.TW, Close: 105.50, RSI(talib): 95.71
3708.TW, Close: 125.00, RSI(talib): 61.78
6806.TW, Close: 151.00, RSI(talib): 66.81
2809.TW, Close: 55.00, RSI(talib): 83.36
8163.TW, Close: 63.50, RSI(talib): 70.25
2845.TW, Close: 14.30, RSI(talib): 67.20
2812.TW, Close: 17.10, RSI(talib): 60.17
4958.TW, Close: 125.50, RSI(talib): 77.92
2515.TW, Close: 16.05, RSI(talib): 83.83
4915.TW, Close: 82.50, RSI(talib): 61.66
2504.TW, Close: 41.30, RSI(talib): 81.97
1319.TW, Close: 122.00, RSI(talib): 63.30
6239.TW, Close: 190.00, RSI(talib): 60.23
1560.TW, Close: 264.00, RSI(talib): 60.34
2611.TW, Close: 24.10, RSI(talib): 72.84
3050.TW, Close: 23.90, RSI(talib): 63.09
6005.TW, Close: 21.45, RSI(talib): 77.99
2327.TW, Close: 617.00, RSI(talib): 68.17
3034.TW, Close: 591.00, RSI(talib): 61.40
3703.TW, Close: 31.80, RSI(talib): 87.09
6278.TW, Close: 110.50, RSI(talib): 64.67
1524.TW, Close: 37.60, RSI(talib): 64.97
1590.TW, Close: 1125.00, RSI(talib): 61.48
3535.TW, Close: 24.00, RSI(talib): 66.67
2049.TW, Close: 263.50, RSI(talib): 60.96
1522.TW, Close: 59.50, RSI(talib): 74.24
8070.TW, Close: 43.65, RSI(talib): 76.11
6288.TW, Close: 36.70, RSI(talib): 67.37
5269.TW, Close: 2515.00, RSI(talib): 69.52
6669.TW, Close: 2475.00, RSI(talib): 60.33
8112.TW, Close: 78.50, RSI(talib): 66.49
1773.TW, Close: 191.00, RSI(talib): 63.13
2520.TW, Close: 42.50, RSI(talib): 62.71
2204.TW, Close: 135.50, RSI(talib): 63.55
3013.TW, Close: 70.20, RSI(talib): 66.46
4770.TW, Close: 420.00, RSI(talib): 60.99
6605.TW, Close: 223.00, RSI(talib): 70.57
6491.TW, Close: 486.00, RSI(talib): 75.29
6670.TW, Close: 251.50, RSI(talib): 78.73
6206.TW, Close: 79.80, RSI(talib): 68.93
2486.TW, Close: 75.00, RSI(talib): 72.60
4746.TW, Close: 106.00, RSI(talib): 65.31
6117.TW, Close: 98.30, RSI(talib): 66.37
2439.TW, Close: 120.50, RSI(talib): 64.79
2420.TW, Close: 54.00, RSI(talib): 61.41
6197.TW, Close: 163.00, RSI(talib): 87.70
5225.TW, Close: 119.00, RSI(talib): 63.95
1519.TW, Close: 776.00, RSI(talib): 70.61
2530.TW, Close: 49.85, RSI(talib): 74.54
