--------------
Thu Apr 25 22:16:20 2024 TW Stock List
--------------
2347.TW, Close: 77.10, RSI(talib): 61.65
2603.TW, Close: 181.00, RSI(talib): 60.63
2317.TW, Close: 151.50, RSI(talib): 65.20
2637.TW, Close: 67.10, RSI(talib): 62.25
--------------
2887.TW failed ('NoneType' object has no attribute 'text').
5880.TW failed ('NoneType' object has no attribute 'text').
2880.TW failed ('NoneType' object has no attribute 'text').
2303.TW failed ('NoneType' object has no attribute 'text').
1708.TW failed ('NoneType' object has no attribute 'text').
3576.TW failed ('NoneType' object has no attribute 'text').
2886.TW failed ('NoneType' object has no attribute 'text').
2312.TW failed ('NoneType' object has no attribute 'text').
2884.TW failed ('NoneType' object has no attribute 'text').
4960.TW failed ('NoneType' object has no attribute 'text').
1734.TW failed ('NoneType' object has no attribute 'text').
2801.TW failed ('NoneType' object has no attribute 'text').
1605.TW failed ('NoneType' object has no attribute 'text').
1709.TW failed ('NoneType' object has no attribute 'text').
3035.TW failed ('NoneType' object has no attribute 'text').
1789.TW failed ('NoneType' object has no attribute 'text').
2634.TW failed ('NoneType' object has no attribute 'text').
3189.TW failed ('NoneType' object has no attribute 'text').
5608.TW failed ('NoneType' object has no attribute 'text').
3545.TW failed ('NoneType' object has no attribute 'text').
6477.TW failed ('NoneType' object has no attribute 'text').
1316.TW failed ('NoneType' object has no attribute 'text').
2417.TW failed ('NoneType' object has no attribute 'text').
2465.TW failed ('NoneType' object has no attribute 'text').
1506.TW failed ('NoneType' object has no attribute 'text').
4106.TW failed ('NoneType' object has no attribute 'text').
1444.TW failed ('NoneType' object has no attribute 'text').
3714.TW failed ('NoneType' object has no attribute 'text').
1701.TW failed ('NoneType' object has no attribute 'text').
1795.TW failed ('NoneType' object has no attribute 'text').
2323.TW failed ('NoneType' object has no attribute 'text').
2030.TW failed ('NoneType' object has no attribute 'text').
4919.TW failed ('NoneType' object has no attribute 'text').
6176.TW failed ('NoneType' object has no attribute 'text').
2340.TW failed ('NoneType' object has no attribute 'text').
6770.TW failed ('NoneType' object has no attribute 'text').
6531.TW failed ('NoneType' object has no attribute 'text').
2481.TW failed ('NoneType' object has no attribute 'text').
2834.TW failed ('NoneType' object has no attribute 'text').
2867.TW failed ('NoneType' object has no attribute 'text').
2897.TW failed ('NoneType' object has no attribute 'text').
