--------------
Wed May 15 21:59:43 2024 TW Stock List
--------------
2891.TW, Close: 36.90, RSI(talib): 64.38
2353.TW, Close: 48.05, RSI(talib): 64.48
9958.TW, Close: 240.50, RSI(talib): 63.65
2606.TW, Close: 58.50, RSI(talib): 67.85
2347.TW, Close: 86.50, RSI(talib): 65.78
2330.TW, Close: 839.00, RSI(talib): 62.28
2882.TW, Close: 56.60, RSI(talib): 70.49
2603.TW, Close: 203.50, RSI(talib): 74.58
2881.TW, Close: 73.80, RSI(talib): 63.53
2317.TW, Close: 170.50, RSI(talib): 70.52
3533.TW, Close: 1515.00, RSI(talib): 62.36
2637.TW, Close: 71.40, RSI(talib): 69.94
2357.TW, Close: 498.00, RSI(talib): 78.50
2880.TW, Close: 26.05, RSI(talib): 73.64
2374.TW, Close: 51.20, RSI(talib): 70.93
2359.TW, Close: 125.50, RSI(talib): 67.96
4938.TW, Close: 100.50, RSI(talib): 61.66
2476.TW, Close: 90.70, RSI(talib): 78.95
3708.TW, Close: 152.50, RSI(talib): 63.24
2605.TW, Close: 28.45, RSI(talib): 73.11
2609.TW, Close: 71.40, RSI(talib): 89.87
2607.TW, Close: 33.80, RSI(talib): 64.20
2617.TW, Close: 37.15, RSI(talib): 68.24
2809.TW, Close: 58.40, RSI(talib): 60.08
8163.TW, Close: 66.80, RSI(talib): 63.55
2845.TW, Close: 15.60, RSI(talib): 63.30
9904.TW, Close: 38.40, RSI(talib): 68.88
4958.TW, Close: 118.50, RSI(talib): 60.79
2454.TW, Close: 1155.00, RSI(talib): 63.77
4915.TW, Close: 93.60, RSI(talib): 62.83
2406.TW, Close: 21.60, RSI(talib): 69.12
2611.TW, Close: 29.75, RSI(talib): 64.50
2474.TW, Close: 233.50, RSI(talib): 68.74
2367.TW, Close: 35.00, RSI(talib): 72.83
6257.TW, Close: 77.40, RSI(talib): 60.01
2105.TW, Close: 52.20, RSI(talib): 64.27
1590.TW, Close: 1180.00, RSI(talib): 61.11
1522.TW, Close: 63.90, RSI(talib): 76.88
2489.TW, Close: 15.90, RSI(talib): 69.10
8070.TW, Close: 49.30, RSI(talib): 74.30
9914.TW, Close: 241.00, RSI(talib): 63.22
2405.TW, Close: 19.65, RSI(talib): 62.79
3013.TW, Close: 78.40, RSI(talib): 60.52
3356.TW, Close: 64.40, RSI(talib): 68.03
3406.TW, Close: 513.00, RSI(talib): 67.26
2636.TW, Close: 108.50, RSI(talib): 64.23
6491.TW, Close: 506.00, RSI(talib): 61.20
2889.TW, Close: 15.50, RSI(talib): 65.40
6670.TW, Close: 313.00, RSI(talib): 75.89
6206.TW, Close: 90.00, RSI(talib): 68.56
2486.TW, Close: 79.00, RSI(talib): 67.33
2392.TW, Close: 51.60, RSI(talib): 72.60
4536.TW, Close: 210.00, RSI(talib): 68.73
9939.TW, Close: 167.00, RSI(talib): 68.96
6197.TW, Close: 150.50, RSI(talib): 60.79
4967.TW, Close: 107.50, RSI(talib): 64.64
4720.TW, Close: 18.20, RSI(talib): 69.47
6442.TW, Close: 176.00, RSI(talib): 65.86
3030.TW, Close: 139.00, RSI(talib): 82.38
6768.TW, Close: 94.90, RSI(talib): 81.96
2495.TW, Close: 23.50, RSI(talib): 64.47
3010.TW, Close: 125.00, RSI(talib): 62.58
2451.TW, Close: 103.00, RSI(talib): 74.40
9938.TW, Close: 67.00, RSI(talib): 69.61
2903.TW, Close: 35.50, RSI(talib): 62.67
2028.TW, Close: 28.50, RSI(talib): 61.07
2851.TW, Close: 28.45, RSI(talib): 60.17
2472.TW, Close: 77.90, RSI(talib): 61.26
2393.TW, Close: 69.80, RSI(talib): 70.26
5434.TW, Close: 260.00, RSI(talib): 62.78
6863.TW, Close: 211.50, RSI(talib): 90.11
9934.TW, Close: 19.60, RSI(talib): 64.61
1702.TW, Close: 65.80, RSI(talib): 69.94
6215.TW, Close: 50.50, RSI(talib): 65.50
3090.TW, Close: 66.20, RSI(talib): 69.21
1307.TW, Close: 33.80, RSI(talib): 68.80
2852.TW, Close: 25.30, RSI(talib): 79.61
6585.TW, Close: 229.50, RSI(talib): 65.69
1463.TW, Close: 19.70, RSI(talib): 68.76
6216.TW, Close: 38.45, RSI(talib): 63.82
2362.TW, Close: 58.00, RSI(talib): 79.44
6024.TW, Close: 61.60, RSI(talib): 78.96
2062.TW, Close: 31.05, RSI(talib): 61.92
2020.TW, Close: 41.70, RSI(talib): 63.32
3060.TW, Close: 30.45, RSI(talib): 60.21
1725.TW, Close: 44.05, RSI(talib): 62.66
2540.TW, Close: 162.50, RSI(talib): 72.46
--------------
3711.TW failed (inputs are all NaN).
2801.TW failed ('NoneType' object has no attribute 'text').
3015.TW failed (inputs are all NaN).
1432.TW failed (index 0 is out of bounds for axis 0 with size 0).
6691.TW failed ('NoneType' object has no attribute 'text').
6695.TW failed (HTTPSConnectionPool(host='finance.yahoo.com', port=443): Read timed out. (read timeout=None)).
5306.TW failed (('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))).
