--------------
Thu May 16 20:37:51 2024 TW Stock List
--------------
2883.TW, Close: 14.40, RSI(talib): 60.60
2891.TW, Close: 37.50, RSI(talib): 68.01
2885.TW, Close: 32.60, RSI(talib): 61.21
1402.TW, Close: 35.20, RSI(talib): 61.52
2347.TW, Close: 86.60, RSI(talib): 68.42
2330.TW, Close: 841.00, RSI(talib): 65.63
2882.TW, Close: 56.40, RSI(talib): 76.37
2603.TW, Close: 217.00, RSI(talib): 63.80
2881.TW, Close: 73.90, RSI(talib): 72.92
2317.TW, Close: 171.50, RSI(talib): 67.83
2637.TW, Close: 75.00, RSI(talib): 60.21
2357.TW, Close: 516.00, RSI(talib): 70.50
2880.TW, Close: 26.05, RSI(talib): 72.74
2834.TW, Close: 17.15, RSI(talib): 61.34
2374.TW, Close: 56.30, RSI(talib): 76.80
2359.TW, Close: 120.00, RSI(talib): 72.67
2476.TW, Close: 89.80, RSI(talib): 80.92
3708.TW, Close: 148.50, RSI(talib): 60.82
2605.TW, Close: 29.50, RSI(talib): 64.02
2609.TW, Close: 74.10, RSI(talib): 89.91
2809.TW, Close: 60.00, RSI(talib): 60.08
2845.TW, Close: 15.75, RSI(talib): 65.44
9904.TW, Close: 38.95, RSI(talib): 69.36
2454.TW, Close: 1190.00, RSI(talib): 63.77
2611.TW, Close: 30.65, RSI(talib): 69.93
2906.TW, Close: 21.45, RSI(talib): 60.36
2474.TW, Close: 232.50, RSI(talib): 71.79
6005.TW, Close: 26.40, RSI(talib): 62.88
2367.TW, Close: 35.95, RSI(talib): 76.88
6257.TW, Close: 81.30, RSI(talib): 61.15
2105.TW, Close: 53.20, RSI(talib): 66.69
2731.TW, Close: 169.00, RSI(talib): 70.51
1590.TW, Close: 1160.00, RSI(talib): 61.88
3535.TW, Close: 25.60, RSI(talib): 69.54
1522.TW, Close: 63.20, RSI(talib): 76.88
2489.TW, Close: 17.45, RSI(talib): 67.75
8070.TW, Close: 47.15, RSI(talib): 76.42
6669.TW, Close: 2665.00, RSI(talib): 64.42
2101.TW, Close: 57.90, RSI(talib): 60.31
9914.TW, Close: 236.00, RSI(talib): 61.32
2405.TW, Close: 19.05, RSI(talib): 64.32
3356.TW, Close: 63.70, RSI(talib): 69.56
6605.TW, Close: 223.50, RSI(talib): 63.73
8033.TW, Close: 77.40, RSI(talib): 61.83
3406.TW, Close: 524.00, RSI(talib): 72.75
2636.TW, Close: 113.00, RSI(talib): 60.08
2889.TW, Close: 15.65, RSI(talib): 67.39
6670.TW, Close: 301.00, RSI(talib): 74.55
6206.TW, Close: 89.80, RSI(talib): 71.44
2392.TW, Close: 52.00, RSI(talib): 72.89
4536.TW, Close: 208.50, RSI(talib): 69.55
1447.TW, Close: 9.21, RSI(talib): 72.60
3024.TW, Close: 21.00, RSI(talib): 60.90
4967.TW, Close: 106.50, RSI(talib): 65.05
5522.TW, Close: 81.50, RSI(talib): 61.29
4720.TW, Close: 19.20, RSI(talib): 66.53
6442.TW, Close: 180.00, RSI(talib): 69.25
1532.TW, Close: 51.60, RSI(talib): 64.15
1442.TW, Close: 60.10, RSI(talib): 61.16
3030.TW, Close: 141.00, RSI(talib): 87.26
6768.TW, Close: 98.60, RSI(talib): 84.25
2495.TW, Close: 23.90, RSI(talib): 68.83
8210.TW, Close: 293.00, RSI(talib): 61.80
2451.TW, Close: 108.00, RSI(talib): 76.76
2464.TW, Close: 50.90, RSI(talib): 60.72
9938.TW, Close: 67.60, RSI(talib): 67.30
2903.TW, Close: 33.05, RSI(talib): 68.61
2028.TW, Close: 28.50, RSI(talib): 63.91
2851.TW, Close: 28.55, RSI(talib): 62.87
2393.TW, Close: 68.80, RSI(talib): 70.26
5434.TW, Close: 263.50, RSI(talib): 63.19
6863.TW, Close: 217.00, RSI(talib): 91.20
5234.TW, Close: 161.00, RSI(talib): 61.62
9934.TW, Close: 19.40, RSI(talib): 69.09
1702.TW, Close: 65.70, RSI(talib): 73.59
6215.TW, Close: 48.80, RSI(talib): 69.56
3090.TW, Close: 67.40, RSI(talib): 67.18
4766.TW, Close: 376.00, RSI(talib): 60.16
1307.TW, Close: 33.75, RSI(talib): 69.62
2852.TW, Close: 25.60, RSI(talib): 81.15
6585.TW, Close: 230.50, RSI(talib): 69.67
2365.TW, Close: 22.65, RSI(talib): 67.29
1463.TW, Close: 20.05, RSI(talib): 65.83
6216.TW, Close: 38.80, RSI(talib): 63.05
2362.TW, Close: 60.90, RSI(talib): 84.18
6024.TW, Close: 60.70, RSI(talib): 79.51
2062.TW, Close: 31.25, RSI(talib): 62.52
2020.TW, Close: 40.90, RSI(talib): 69.55
1587.TW, Close: 77.10, RSI(talib): 64.73
3060.TW, Close: 33.45, RSI(talib): 64.72
6449.TW, Close: 119.50, RSI(talib): 60.12
2540.TW, Close: 170.00, RSI(talib): 73.27
--------------
2106.TW failed ('NoneType' object has no attribute 'text').
1737.TW failed (("Connection broken: InvalidChunkLength(got length b'', 0 bytes read)", InvalidChunkLength(got length b'', 0 bytes read))).
