--------------
Mon May 20 22:23:15 2024 TW Stock List
--------------
2883.TW, Close: 14.40, RSI(talib): 63.85
2890.TW, Close: 23.85, RSI(talib): 64.24
2618.TW, Close: 36.40, RSI(talib): 62.16
2891.TW, Close: 38.55, RSI(talib): 72.25
2885.TW, Close: 32.35, RSI(talib): 66.96
9958.TW, Close: 250.50, RSI(talib): 63.94
2347.TW, Close: 84.00, RSI(talib): 62.37
2330.TW, Close: 835.00, RSI(talib): 62.86
2882.TW, Close: 56.00, RSI(talib): 74.54
2603.TW, Close: 212.50, RSI(talib): 63.49
2881.TW, Close: 73.80, RSI(talib): 74.02
2317.TW, Close: 167.50, RSI(talib): 65.00
3533.TW, Close: 1570.00, RSI(talib): 65.63
2357.TW, Close: 506.00, RSI(talib): 73.88
2880.TW, Close: 25.90, RSI(talib): 72.13
6176.TW, Close: 198.50, RSI(talib): 60.24
2834.TW, Close: 17.15, RSI(talib): 64.26
2867.TW, Close: 7.23, RSI(talib): 84.68
2374.TW, Close: 59.30, RSI(talib): 81.96
3059.TW, Close: 41.30, RSI(talib): 61.04
2359.TW, Close: 138.00, RSI(talib): 71.95
4938.TW, Close: 104.50, RSI(talib): 61.81
2476.TW, Close: 91.80, RSI(talib): 80.20
2605.TW, Close: 28.85, RSI(talib): 62.15
2609.TW, Close: 72.50, RSI(talib): 80.12
2809.TW, Close: 67.10, RSI(talib): 71.19
2545.TW, Close: 61.30, RSI(talib): 61.59
2845.TW, Close: 15.90, RSI(talib): 65.32
2812.TW, Close: 18.25, RSI(talib): 64.02
3044.TW, Close: 226.00, RSI(talib): 60.98
2454.TW, Close: 1190.00, RSI(talib): 63.34
2442.TW, Close: 34.20, RSI(talib): 64.87
2406.TW, Close: 22.35, RSI(talib): 63.20
2504.TW, Close: 49.80, RSI(talib): 63.93
2611.TW, Close: 30.35, RSI(talib): 75.55
2613.TW, Close: 28.10, RSI(talib): 72.89
2906.TW, Close: 22.00, RSI(talib): 62.45
1453.TW, Close: 26.85, RSI(talib): 61.89
6005.TW, Close: 25.75, RSI(talib): 66.85
2367.TW, Close: 38.00, RSI(talib): 81.96
8114.TW, Close: 126.00, RSI(talib): 63.87
2105.TW, Close: 53.40, RSI(talib): 71.13
2731.TW, Close: 162.00, RSI(talib): 66.33
1590.TW, Close: 1205.00, RSI(talib): 61.67
