--------------
Sat May 25 01:22:03 2024 TW Stock List
--------------
2353.TW, Close: 57.50, RSI(talib): 83.00
9958.TW, Close: 299.50, RSI(talib): 73.66
2330.TW, Close: 867.00, RSI(talib): 68.41
2882.TW, Close: 54.90, RSI(talib): 61.37
2603.TW, Close: 219.50, RSI(talib): 67.01
2881.TW, Close: 73.30, RSI(talib): 61.33
2317.TW, Close: 176.00, RSI(talib): 68.36
3042.TW, Close: 116.00, RSI(talib): 62.06
3533.TW, Close: 1720.00, RSI(talib): 73.43
3711.TW, Close: 159.50, RSI(talib): 61.49
2357.TW, Close: 519.00, RSI(talib): 67.08
2303.TW, Close: 54.60, RSI(talib): 64.10
2867.TW, Close: 7.04, RSI(talib): 73.24
6213.TW, Close: 113.50, RSI(talib): 62.40
2374.TW, Close: 59.60, RSI(talib): 74.27
3059.TW, Close: 42.35, RSI(talib): 60.00
2359.TW, Close: 171.50, RSI(talib): 79.71
4938.TW, Close: 106.00, RSI(talib): 68.03
2476.TW, Close: 91.80, RSI(talib): 71.85
3017.TW, Close: 706.00, RSI(talib): 65.41
2609.TW, Close: 73.50, RSI(talib): 78.66
2615.TW, Close: 74.90, RSI(talib): 80.51
2809.TW, Close: 63.70, RSI(talib): 63.52
2845.TW, Close: 15.75, RSI(talib): 62.44
2812.TW, Close: 18.30, RSI(talib): 62.17
2454.TW, Close: 1195.00, RSI(talib): 64.32
6285.TW, Close: 160.00, RSI(talib): 66.21
1560.TW, Close: 268.50, RSI(talib): 63.03
2611.TW, Close: 30.85, RSI(talib): 67.02
2613.TW, Close: 31.65, RSI(talib): 68.95
3712.TW, Close: 46.95, RSI(talib): 62.94
2327.TW, Close: 651.00, RSI(talib): 61.81
3062.TW, Close: 23.90, RSI(talib): 63.32
3653.TW, Close: 991.00, RSI(talib): 61.66
2367.TW, Close: 37.35, RSI(talib): 70.80
6257.TW, Close: 80.40, RSI(talib): 62.91
2105.TW, Close: 58.70, RSI(talib): 79.06
3535.TW, Close: 29.35, RSI(talib): 80.30
6591.TW, Close: 60.90, RSI(talib): 66.67
2489.TW, Close: 19.35, RSI(talib): 75.07
8070.TW, Close: 51.20, RSI(talib): 63.65
6515.TW, Close: 905.00, RSI(talib): 65.05
8081.TW, Close: 307.00, RSI(talib): 65.09
6669.TW, Close: 2740.00, RSI(talib): 67.45
8996.TW, Close: 495.00, RSI(talib): 75.78
2405.TW, Close: 20.35, RSI(talib): 66.78
3013.TW, Close: 90.30, RSI(talib): 70.32
3356.TW, Close: 64.10, RSI(talib): 62.98
3406.TW, Close: 526.00, RSI(talib): 63.46
6206.TW, Close: 93.10, RSI(talib): 72.66
2486.TW, Close: 91.00, RSI(talib): 69.61
2392.TW, Close: 72.20, RSI(talib): 88.90
6117.TW, Close: 119.00, RSI(talib): 78.41
2420.TW, Close: 68.60, RSI(talib): 83.02
6197.TW, Close: 158.50, RSI(talib): 63.65
9105.TW, Close: 4.07, RSI(talib): 72.64
4967.TW, Close: 112.00, RSI(talib): 67.81
5225.TW, Close: 123.50, RSI(talib): 61.55
5522.TW, Close: 81.70, RSI(talib): 61.57
3033.TW, Close: 39.60, RSI(talib): 66.02
3030.TW, Close: 170.50, RSI(talib): 86.73
6768.TW, Close: 96.40, RSI(talib): 68.25
3312.TW, Close: 50.10, RSI(talib): 62.88
2495.TW, Close: 25.55, RSI(talib): 76.58
6416.TW, Close: 123.00, RSI(talib): 60.31
8210.TW, Close: 310.00, RSI(talib): 63.05
6409.TW, Close: 1755.00, RSI(talib): 63.42
2451.TW, Close: 112.00, RSI(talib): 79.29
2464.TW, Close: 62.00, RSI(talib): 71.93
1809.TW, Close: 28.50, RSI(talib): 67.30
2393.TW, Close: 70.30, RSI(talib): 69.45
4976.TW, Close: 48.50, RSI(talib): 66.20
2453.TW, Close: 67.30, RSI(talib): 72.84
3338.TW, Close: 89.10, RSI(talib): 72.45
5434.TW, Close: 271.00, RSI(talib): 65.72
3376.TW, Close: 199.00, RSI(talib): 60.85
6863.TW, Close: 215.00, RSI(talib): 77.28
5234.TW, Close: 172.00, RSI(talib): 68.97
3149.TW, Close: 25.05, RSI(talib): 60.56
6698.TW, Close: 36.10, RSI(talib): 69.61
6215.TW, Close: 49.70, RSI(talib): 60.38
3055.TW, Close: 92.00, RSI(talib): 70.48
4532.TW, Close: 29.60, RSI(talib): 60.09
3090.TW, Close: 70.00, RSI(talib): 73.25
2460.TW, Close: 35.65, RSI(talib): 61.32
2905.TW, Close: 15.90, RSI(talib): 62.56
2852.TW, Close: 24.55, RSI(talib): 62.74
3450.TW, Close: 87.50, RSI(talib): 81.31
2543.TW, Close: 56.40, RSI(talib): 61.20
3694.TW, Close: 52.60, RSI(talib): 69.39
2365.TW, Close: 29.90, RSI(talib): 82.24
6526.TW, Close: 765.00, RSI(talib): 72.00
2362.TW, Close: 61.60, RSI(talib): 76.58
3605.TW, Close: 52.00, RSI(talib): 77.03
1587.TW, Close: 76.20, RSI(talib): 64.83
3060.TW, Close: 36.20, RSI(talib): 74.37
2514.TW, Close: 21.90, RSI(talib): 67.49
--------------
