--------------
Tue May 28 21:26:40 2024 TW Stock List
--------------
2324.TW, Close: 38.60, RSI(talib): 62.22
2890.TW, Close: 23.35, RSI(talib): 61.00
2891.TW, Close: 36.75, RSI(talib): 61.18
2353.TW, Close: 56.40, RSI(talib): 82.84
9958.TW, Close: 302.00, RSI(talib): 72.45
2347.TW, Close: 88.70, RSI(talib): 63.87
2330.TW, Close: 865.00, RSI(talib): 68.94
2882.TW, Close: 56.80, RSI(talib): 63.73
2603.TW, Close: 218.50, RSI(talib): 68.02
2881.TW, Close: 73.80, RSI(talib): 61.24
2317.TW, Close: 185.50, RSI(talib): 73.70
3533.TW, Close: 1660.00, RSI(talib): 61.67
2637.TW, Close: 75.50, RSI(talib): 60.88
3711.TW, Close: 164.00, RSI(talib): 67.29
2357.TW, Close: 527.00, RSI(talib): 70.95
2880.TW, Close: 25.50, RSI(talib): 60.67
2303.TW, Close: 56.40, RSI(talib): 71.08
2417.TW, Close: 45.40, RSI(talib): 65.82
2867.TW, Close: 7.22, RSI(talib): 69.98
2374.TW, Close: 59.50, RSI(talib): 75.90
3059.TW, Close: 43.15, RSI(talib): 64.89
2359.TW, Close: 175.00, RSI(talib): 80.26
4938.TW, Close: 105.00, RSI(talib): 67.03
2476.TW, Close: 93.10, RSI(talib): 71.26
3017.TW, Close: 783.00, RSI(talib): 70.13
2605.TW, Close: 32.20, RSI(talib): 62.15
2609.TW, Close: 79.50, RSI(talib): 82.26
2615.TW, Close: 87.00, RSI(talib): 84.96
2809.TW, Close: 62.20, RSI(talib): 64.50
2454.TW, Close: 1310.00, RSI(talib): 71.83
6285.TW, Close: 158.00, RSI(talib): 61.97
6205.TW, Close: 77.80, RSI(talib): 61.86
2024.TW, Close: 23.50, RSI(talib): 65.60
1560.TW, Close: 275.50, RSI(talib): 63.99
2611.TW, Close: 32.20, RSI(talib): 69.90
2613.TW, Close: 38.25, RSI(talib): 74.90
3669.TW, Close: 54.10, RSI(talib): 62.70
9955.TW, Close: 34.75, RSI(talib): 60.42
3712.TW, Close: 50.10, RSI(talib): 76.77
2327.TW, Close: 669.00, RSI(talib): 66.03
3062.TW, Close: 24.60, RSI(talib): 66.85
3653.TW, Close: 1040.00, RSI(talib): 62.25
2367.TW, Close: 36.55, RSI(talib): 69.90
8114.TW, Close: 128.50, RSI(talib): 65.10
6257.TW, Close: 81.20, RSI(talib): 62.91
2105.TW, Close: 57.50, RSI(talib): 73.66
2363.TW, Close: 60.80, RSI(talib): 60.83
3535.TW, Close: 32.10, RSI(talib): 85.43
4583.TW, Close: 285.00, RSI(talib): 68.05
1522.TW, Close: 64.90, RSI(talib): 61.76
6591.TW, Close: 63.60, RSI(talib): 73.60
2489.TW, Close: 22.40, RSI(talib): 78.82
8070.TW, Close: 50.50, RSI(talib): 64.15
