--------------
Fri May 31 22:40:48 2024 TW Stock List
--------------
9958.TW, Close: 287.00, RSI(talib): 63.40
2882.TW, Close: 56.20, RSI(talib): 60.01
2603.TW, Close: 210.50, RSI(talib): 64.68
2637.TW, Close: 77.70, RSI(talib): 66.00
2357.TW, Close: 513.00, RSI(talib): 60.07
2303.TW, Close: 55.00, RSI(talib): 64.62
4960.TW, Close: 15.20, RSI(talib): 61.71
2867.TW, Close: 7.60, RSI(talib): 68.68
2374.TW, Close: 58.50, RSI(talib): 70.06
2359.TW, Close: 175.00, RSI(talib): 78.61
2476.TW, Close: 93.10, RSI(talib): 70.32
3017.TW, Close: 769.00, RSI(talib): 69.14
2605.TW, Close: 32.70, RSI(talib): 74.34
2609.TW, Close: 71.50, RSI(talib): 76.88
2615.TW, Close: 79.70, RSI(talib): 84.28
2845.TW, Close: 15.75, RSI(talib): 60.26
4958.TW, Close: 122.00, RSI(talib): 60.38
2454.TW, Close: 1235.00, RSI(talib): 69.75
4915.TW, Close: 101.00, RSI(talib): 65.18
2024.TW, Close: 23.40, RSI(talib): 63.12
8028.TW, Close: 62.60, RSI(talib): 63.76
6239.TW, Close: 178.00, RSI(talib): 64.50
1560.TW, Close: 280.50, RSI(talib): 73.88
2611.TW, Close: 31.55, RSI(talib): 63.65
2613.TW, Close: 40.35, RSI(talib): 78.29
3669.TW, Close: 55.30, RSI(talib): 63.58
1453.TW, Close: 28.50, RSI(talib): 62.84
3712.TW, Close: 48.00, RSI(talib): 60.24
3653.TW, Close: 1035.00, RSI(talib): 63.52
8114.TW, Close: 133.00, RSI(talib): 69.30
2105.TW, Close: 60.80, RSI(talib): 67.26
4952.TW, Close: 69.30, RSI(talib): 72.39
3535.TW, Close: 29.95, RSI(talib): 63.31
1522.TW, Close: 63.80, RSI(talib): 62.73
6591.TW, Close: 62.90, RSI(talib): 68.11
2489.TW, Close: 20.75, RSI(talib): 67.59
8070.TW, Close: 52.90, RSI(talib): 68.99
8081.TW, Close: 305.00, RSI(talib): 61.91
2538.TW, Close: 19.65, RSI(talib): 72.81
2101.TW, Close: 59.60, RSI(talib): 60.08
8996.TW, Close: 500.00, RSI(talib): 72.03
2405.TW, Close: 20.85, RSI(talib): 60.39
3013.TW, Close: 90.70, RSI(talib): 60.62
3356.TW, Close: 67.50, RSI(talib): 64.93
3406.TW, Close: 530.00, RSI(talib): 64.32
3047.TW, Close: 24.35, RSI(talib): 77.96
6206.TW, Close: 95.90, RSI(talib): 71.46
2486.TW, Close: nan, RSI(talib): 69.70
2392.TW, Close: 72.00, RSI(talib): 78.14
6117.TW, Close: 143.50, RSI(talib): 75.77
1447.TW, Close: 9.78, RSI(talib): 70.52
3024.TW, Close: 21.70, RSI(talib): 60.12
9105.TW, Close: 4.10, RSI(talib): 65.13
4967.TW, Close: 119.50, RSI(talib): 71.47
5522.TW, Close: 88.60, RSI(talib): 65.27
1442.TW, Close: 60.00, RSI(talib): 64.50
3033.TW, Close: 39.05, RSI(talib): 61.54
3030.TW, Close: 172.50, RSI(talib): 77.34
3312.TW, Close: 67.40, RSI(talib): 85.42
2495.TW, Close: 28.55, RSI(talib): 73.67
2451.TW, Close: 117.50, RSI(talib): 75.92
2464.TW, Close: 68.50, RSI(talib): 65.67
3705.TW, Close: 55.70, RSI(talib): 73.56
2393.TW, Close: 72.20, RSI(talib): 73.70
2453.TW, Close: 66.90, RSI(talib): 66.70
3338.TW, Close: 91.80, RSI(talib): 73.82
5434.TW, Close: 262.00, RSI(talib): 60.83
6863.TW, Close: 212.50, RSI(talib): 83.61
5234.TW, Close: 169.50, RSI(talib): 69.01
3014.TW, Close: 175.00, RSI(talib): 66.12
6698.TW, Close: 37.05, RSI(talib): 63.61
6215.TW, Close: 57.30, RSI(talib): 68.13
3055.TW, Close: 94.50, RSI(talib): 72.40
6166.TW, Close: 77.60, RSI(talib): 62.20
6757.TW, Close: 47.75, RSI(talib): 70.82
2905.TW, Close: 18.40, RSI(talib): 68.59
2852.TW, Close: 25.20, RSI(talib): 62.73
3450.TW, Close: 88.50, RSI(talib): 75.30
2365.TW, Close: 35.70, RSI(talib): 80.08
1463.TW, Close: 20.20, RSI(talib): 66.07
2362.TW, Close: 61.50, RSI(talib): 62.64
3605.TW, Close: 50.50, RSI(talib): 66.27
1725.TW, Close: 49.45, RSI(talib): 73.68
2348.TW, Close: 242.50, RSI(talib): 67.02
2540.TW, Close: 172.00, RSI(talib): 60.98
1615.TW, Close: 70.70, RSI(talib): 61.26
6446.TW, Close: 417.00, RSI(talib): 69.76
2514.TW, Close: 23.70, RSI(talib): 65.43
--------------
2379.TW failed (('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))).
2929.TW failed ('NoneType' object has no attribute 'text').
