--------------
Mon Jun  3 23:09:06 2024 TW Stock List
--------------
9958.TW, Close: 293.50, RSI(talib): 63.77
2882.TW, Close: 56.70, RSI(talib): 62.79
2354.TW, Close: 72.20, RSI(talib): 69.33
2637.TW, Close: 76.80, RSI(talib): 68.34
4960.TW, Close: 14.80, RSI(talib): 62.47
2867.TW, Close: 7.38, RSI(talib): 75.24
2374.TW, Close: 60.50, RSI(talib): 67.06
2359.TW, Close: 180.00, RSI(talib): 76.00
4938.TW, Close: 111.50, RSI(talib): 60.75
2476.TW, Close: 94.30, RSI(talib): 66.48
3017.TW, Close: 736.00, RSI(talib): 65.89
2605.TW, Close: 31.95, RSI(talib): 71.23
2615.TW, Close: 82.00, RSI(talib): 66.96
2845.TW, Close: 15.70, RSI(talib): 61.29
2812.TW, Close: 18.55, RSI(talib): 66.13
4915.TW, Close: 104.00, RSI(talib): 68.09
1440.TW, Close: 18.40, RSI(talib): 61.84
2024.TW, Close: 23.25, RSI(talib): 65.18
1560.TW, Close: 290.00, RSI(talib): 60.49
2611.TW, Close: 32.25, RSI(talib): 64.82
2613.TW, Close: 40.00, RSI(talib): 76.27
2608.TW, Close: 45.65, RSI(talib): 63.76
3669.TW, Close: 59.20, RSI(talib): 65.95
1453.TW, Close: 29.40, RSI(talib): 64.29
3062.TW, Close: 24.55, RSI(talib): 60.78
3653.TW, Close: 1015.00, RSI(talib): 60.69
2367.TW, Close: 37.00, RSI(talib): 63.59
8114.TW, Close: 133.50, RSI(talib): 70.89
2105.TW, Close: 61.80, RSI(talib): 73.95
4952.TW, Close: 67.80, RSI(talib): 66.89
3535.TW, Close: 29.50, RSI(talib): 64.21
6591.TW, Close: 65.80, RSI(talib): 62.11
2489.TW, Close: 20.75, RSI(talib): 63.76
8070.TW, Close: 51.50, RSI(talib): 61.21
2538.TW, Close: 19.65, RSI(talib): 75.47
2101.TW, Close: 61.30, RSI(talib): 66.96
8996.TW, Close: 491.00, RSI(talib): 70.50
3013.TW, Close: 94.80, RSI(talib): 63.20
3356.TW, Close: 72.80, RSI(talib): 63.70
6605.TW, Close: 211.50, RSI(talib): 61.39
3406.TW, Close: 532.00, RSI(talib): 61.05
3607.TW, Close: 18.55, RSI(talib): 60.04
3047.TW, Close: 25.35, RSI(talib): 78.01
6206.TW, Close: 103.00, RSI(talib): 71.20
2486.TW, Close: 105.00, RSI(talib): 64.88
2392.TW, Close: 72.40, RSI(talib): 76.54
6117.TW, Close: 157.50, RSI(talib): 78.40
1447.TW, Close: 9.64, RSI(talib): 75.99
1736.TW, Close: 92.40, RSI(talib): 60.14
3024.TW, Close: 21.90, RSI(talib): 63.31
9105.TW, Close: 4.14, RSI(talib): 67.48
4967.TW, Close: 131.00, RSI(talib): 66.95
5522.TW, Close: 94.80, RSI(talib): 71.02
4720.TW, Close: 19.05, RSI(talib): 61.42
6442.TW, Close: 189.00, RSI(talib): 61.35
1532.TW, Close: 51.90, RSI(talib): 62.23
2102.TW, Close: 21.50, RSI(talib): 66.33
1442.TW, Close: 61.10, RSI(talib): 61.21
3033.TW, Close: 38.90, RSI(talib): 60.47
3030.TW, Close: 189.50, RSI(talib): 72.91
3312.TW, Close: 74.10, RSI(talib): 74.75
2495.TW, Close: 28.15, RSI(talib): 68.77
6782.TW, Close: 260.50, RSI(talib): 61.20
2451.TW, Close: 113.00, RSI(talib): 78.00
2464.TW, Close: 72.50, RSI(talib): 69.96
2539.TW, Close: 73.80, RSI(talib): 64.40
3705.TW, Close: 55.30, RSI(talib): 78.13
6691.TW, Close: 399.50, RSI(talib): 63.33
2393.TW, Close: 71.80, RSI(talib): 70.72
2453.TW, Close: 66.20, RSI(talib): 60.64
3652.TW, Close: 33.80, RSI(talib): 65.99
3338.TW, Close: 90.80, RSI(talib): 72.80
6863.TW, Close: 209.00, RSI(talib): 60.96
6698.TW, Close: 38.20, RSI(talib): 69.89
6215.TW, Close: 62.50, RSI(talib): 69.22
3055.TW, Close: 93.30, RSI(talib): 69.80
6757.TW, Close: 50.20, RSI(talib): 78.14
2537.TW, Close: 21.35, RSI(talib): 65.03
2905.TW, Close: 18.90, RSI(talib): 74.76
2852.TW, Close: 25.05, RSI(talib): 67.30
3450.TW, Close: 88.40, RSI(talib): 64.01
2365.TW, Close: 37.05, RSI(talib): 72.92
1463.TW, Close: 20.10, RSI(talib): 61.27
1582.TW, Close: 114.50, RSI(talib): 67.76
2362.TW, Close: 61.00, RSI(talib): 64.02
3605.TW, Close: 50.60, RSI(talib): 64.77
2506.TW, Close: 12.90, RSI(talib): 60.49
2348.TW, Close: 234.50, RSI(talib): 72.23
2850.TW, Close: 95.10, RSI(talib): 60.85
2540.TW, Close: 171.00, RSI(talib): 69.66
1615.TW, Close: 70.00, RSI(talib): 63.94
6446.TW, Close: 427.50, RSI(talib): 68.13
2514.TW, Close: 23.55, RSI(talib): 67.91
--------------
2881.TW failed ('NoneType' object has no attribute 'text').
2520.TW failed ('NoneType' object has no attribute 'text').
2204.TW failed ('NoneType' object has no attribute 'text').
