--------------
Tue Jun  4 23:04:16 2024 TW Stock List
--------------
9958.TW, Close: 286.00, RSI(talib): 65.95
2882.TW, Close: 56.40, RSI(talib): 64.70
2603.TW, Close: 211.00, RSI(talib): 60.32
2354.TW, Close: 68.10, RSI(talib): 66.20
2637.TW, Close: 74.80, RSI(talib): 65.22
5608.TW, Close: 22.45, RSI(talib): 64.49
2417.TW, Close: 54.00, RSI(talib): 68.51
2867.TW, Close: 7.39, RSI(talib): 68.62
2374.TW, Close: 59.50, RSI(talib): 69.82
2359.TW, Close: 166.00, RSI(talib): 77.66
4938.TW, Close: 111.00, RSI(talib): 71.61
2476.TW, Close: 93.90, RSI(talib): 68.40
2605.TW, Close: 31.05, RSI(talib): 66.07
2609.TW, Close: 75.70, RSI(talib): 65.18
2615.TW, Close: 80.00, RSI(talib): 68.99
2545.TW, Close: 62.50, RSI(talib): 61.84
8163.TW, Close: 70.60, RSI(talib): 60.70
2812.TW, Close: 18.50, RSI(talib): 61.86
2454.TW, Close: 1240.00, RSI(talib): 61.95
4915.TW, Close: 107.00, RSI(talib): 72.28
2442.TW, Close: 34.25, RSI(talib): 62.02
1440.TW, Close: 18.65, RSI(talib): 62.28
2024.TW, Close: 23.25, RSI(talib): 62.52
8028.TW, Close: 65.20, RSI(talib): 65.99
2331.TW, Close: 36.15, RSI(talib): 70.84
1560.TW, Close: 282.00, RSI(talib): 64.74
2611.TW, Close: 32.00, RSI(talib): 67.98
2613.TW, Close: 37.40, RSI(talib): 74.87
2608.TW, Close: 45.00, RSI(talib): 71.87
3669.TW, Close: 59.50, RSI(talib): 75.44
1453.TW, Close: 29.65, RSI(talib): 66.68
2327.TW, Close: 671.00, RSI(talib): 65.09
3062.TW, Close: 24.15, RSI(talib): 61.56
2367.TW, Close: 36.65, RSI(talib): 64.67
8114.TW, Close: 136.50, RSI(talib): 71.63
2105.TW, Close: 61.50, RSI(talib): 75.63
4952.TW, Close: 66.80, RSI(talib): 63.29
3535.TW, Close: 28.65, RSI(talib): 61.61
6591.TW, Close: 65.00, RSI(talib): 69.24
2489.TW, Close: 20.50, RSI(talib): 63.76
2538.TW, Close: 19.70, RSI(talib): 75.47
2101.TW, Close: 64.50, RSI(talib): 70.55
9914.TW, Close: 242.00, RSI(talib): 60.77
2520.TW, Close: 60.80, RSI(talib): 63.99
8996.TW, Close: 504.00, RSI(talib): 66.00
2405.TW, Close: 21.25, RSI(talib): 60.45
3013.TW, Close: 91.10, RSI(talib): 67.62
3356.TW, Close: 75.40, RSI(talib): 72.44
3406.TW, Close: 535.00, RSI(talib): 61.65
6164.TW, Close: 16.00, RSI(talib): 60.80
3607.TW, Close: 18.60, RSI(talib): 62.32
3047.TW, Close: 24.60, RSI(talib): 80.29
6206.TW, Close: 99.80, RSI(talib): 81.18
2486.TW, Close: 104.00, RSI(talib): 73.06
2392.TW, Close: 71.20, RSI(talib): 76.96
2534.TW, Close: 27.75, RSI(talib): 61.90
6117.TW, Close: 157.50, RSI(talib): 82.31
1447.TW, Close: 9.60, RSI(talib): 70.59
6197.TW, Close: 164.50, RSI(talib): 60.14
3515.TW, Close: 236.00, RSI(talib): 60.46
1736.TW, Close: 93.60, RSI(talib): 61.38
3024.TW, Close: 21.55, RSI(talib): 64.63
9105.TW, Close: 4.24, RSI(talib): 68.99
4967.TW, Close: 131.00, RSI(talib): 74.59
5522.TW, Close: 98.60, RSI(talib): 76.87
4720.TW, Close: 18.80, RSI(talib): 61.89
6442.TW, Close: 190.50, RSI(talib): 65.60
1532.TW, Close: 52.40, RSI(talib): 62.52
1442.TW, Close: 61.70, RSI(talib): 63.75
3030.TW, Close: 171.00, RSI(talib): 78.43
6768.TW, Close: 96.80, RSI(talib): 60.35
3312.TW, Close: 69.70, RSI(talib): 79.13
2495.TW, Close: 30.60, RSI(talib): 66.00
6782.TW, Close: 260.00, RSI(talib): 63.83
2451.TW, Close: 113.50, RSI(talib): 63.94
2464.TW, Close: 67.90, RSI(talib): 73.52
2539.TW, Close: 73.50, RSI(talib): 61.79
3705.TW, Close: 55.30, RSI(talib): 73.34
6691.TW, Close: 409.50, RSI(talib): 62.91
2393.TW, Close: 72.00, RSI(talib): 68.18
2427.TW, Close: 30.20, RSI(talib): 65.30
3056.TW, Close: 34.70, RSI(talib): 61.10
