--------------
Wed Jun  5 22:37:53 2024 TW Stock List
--------------
9958.TW, Close: 284.00, RSI(talib): 61.37
2882.TW, Close: 56.50, RSI(talib): 62.63
6176.TW, Close: 215.00, RSI(talib): 69.23
2867.TW, Close: 7.22, RSI(talib): 68.76
2374.TW, Close: 61.00, RSI(talib): 66.80
2359.TW, Close: 164.00, RSI(talib): 64.27
4938.TW, Close: 111.00, RSI(talib): 69.72
2476.TW, Close: 91.80, RSI(talib): 67.02
2605.TW, Close: 32.10, RSI(talib): 60.41
2351.TW, Close: 145.00, RSI(talib): 78.86
2609.TW, Close: 80.40, RSI(talib): 64.75
2615.TW, Close: 88.00, RSI(talib): 65.23
2545.TW, Close: 61.70, RSI(talib): 64.40
8163.TW, Close: 71.80, RSI(talib): 65.43
2812.TW, Close: 18.55, RSI(talib): 60.46
4915.TW, Close: 110.00, RSI(talib): 75.71
2442.TW, Close: 33.45, RSI(talib): 62.65
1440.TW, Close: 18.25, RSI(talib): 64.49
6285.TW, Close: 161.50, RSI(talib): 60.16
2024.TW, Close: 23.65, RSI(talib): 62.52
8028.TW, Close: 63.20, RSI(talib): 61.40
2331.TW, Close: 34.35, RSI(talib): 63.11
2611.TW, Close: 34.20, RSI(talib): 65.71
2613.TW, Close: 41.10, RSI(talib): 65.31
2608.TW, Close: 44.65, RSI(talib): 65.28
3669.TW, Close: 54.70, RSI(talib): 76.00
9945.TW, Close: 45.15, RSI(talib): 60.52
1453.TW, Close: 28.30, RSI(talib): 67.34
2327.TW, Close: 671.00, RSI(talib): 61.48
2367.TW, Close: 36.85, RSI(talib): 62.67
8114.TW, Close: 139.50, RSI(talib): 75.65
6257.TW, Close: 80.00, RSI(talib): 60.37
2105.TW, Close: nan, RSI(talib): 74.09
4952.TW, Close: 65.50, RSI(talib): 60.93
1522.TW, Close: 66.10, RSI(talib): 60.57
6591.TW, Close: 63.50, RSI(talib): 65.57
2489.TW, Close: 19.70, RSI(talib): 62.05
2538.TW, Close: 19.15, RSI(talib): 75.74
2101.TW, Close: 63.40, RSI(talib): 75.87
9914.TW, Close: 237.50, RSI(talib): 61.49
3015.TW, Close: 65.30, RSI(talib): 61.41
2520.TW, Close: 60.90, RSI(talib): 66.74
8996.TW, Close: 468.00, RSI(talib): 69.07
3013.TW, Close: 91.60, RSI(talib): 60.55
3356.TW, Close: 73.40, RSI(talib): 75.55
3406.TW, Close: 551.00, RSI(talib): 62.58
6164.TW, Close: 15.80, RSI(talib): 67.10
3607.TW, Close: 18.30, RSI(talib): 62.90
3047.TW, Close: 24.10, RSI(talib): 74.08
6670.TW, Close: 303.00, RSI(talib): 65.60
6206.TW, Close: 100.00, RSI(talib): 69.49
2486.TW, Close: 103.00, RSI(talib): 71.18
2392.TW, Close: 69.60, RSI(talib): 72.76
2534.TW, Close: 27.50, RSI(talib): 63.26
6117.TW, Close: 147.50, RSI(talib): 82.31
1447.TW, Close: 9.46, RSI(talib): 69.08
1736.TW, Close: 91.10, RSI(talib): 63.21
3024.TW, Close: 21.75, RSI(talib): 60.51
9105.TW, Close: 4.25, RSI(talib): 72.42
4967.TW, Close: 130.00, RSI(talib): 74.59
5522.TW, Close: 93.20, RSI(talib): 79.59
6442.TW, Close: 209.50, RSI(talib): 66.39
1532.TW, Close: 52.20, RSI(talib): 64.01
1442.TW, Close: 60.50, RSI(talib): 65.09
3030.TW, Close: 178.50, RSI(talib): 63.32
6768.TW, Close: 97.80, RSI(talib): 63.25
3312.TW, Close: 67.40, RSI(talib): 70.47
2495.TW, Close: 29.55, RSI(talib): 73.12
6782.TW, Close: 280.00, RSI(talib): 63.41
2451.TW, Close: 114.00, RSI(talib): 64.70
2464.TW, Close: 65.60, RSI(talib): 64.11
2539.TW, Close: 74.60, RSI(talib): 60.47
3705.TW, Close: 55.90, RSI(talib): 73.34
6691.TW, Close: 405.50, RSI(talib): 67.63
2393.TW, Close: 73.10, RSI(talib): 68.78
4976.TW, Close: 47.45, RSI(talib): 60.57
2453.TW, Close: 65.20, RSI(talib): 63.39
2427.TW, Close: 30.70, RSI(talib): 65.51
3056.TW, Close: 34.35, RSI(talib): 63.01
3338.TW, Close: 85.30, RSI(talib): 64.14
6177.TW, Close: 60.00, RSI(talib): 62.15
3376.TW, Close: 216.50, RSI(talib): 66.95
6863.TW, Close: 219.00, RSI(talib): 67.03
9934.TW, Close: 19.65, RSI(talib): 66.38
6698.TW, Close: 37.70, RSI(talib): 72.14
6215.TW, Close: 56.20, RSI(talib): 63.95
3055.TW, Close: 85.60, RSI(talib): 65.00
4526.TW, Close: 23.95, RSI(talib): 61.63
