--------------
Thu Jun  6 22:35:41 2024 TW Stock List
--------------
9958.TW, Close: 295.00, RSI(talib): 60.16
2882.TW, Close: 57.50, RSI(talib): 63.05
2603.TW, Close: 222.00, RSI(talib): 60.12
2881.TW, Close: 75.20, RSI(talib): 60.04
2637.TW, Close: 77.30, RSI(talib): 61.44
5608.TW, Close: 24.20, RSI(talib): 69.01
6176.TW, Close: 215.00, RSI(talib): 71.80
2867.TW, Close: 7.26, RSI(talib): 63.75
3532.TW, Close: 170.50, RSI(talib): 60.55
2374.TW, Close: 61.70, RSI(talib): 68.97
2359.TW, Close: 170.00, RSI(talib): 62.61
4938.TW, Close: 111.50, RSI(talib): 69.72
2476.TW, Close: 91.80, RSI(talib): 60.18
2605.TW, Close: 31.85, RSI(talib): 64.25
2351.TW, Close: 142.50, RSI(talib): 77.19
2609.TW, Close: 83.70, RSI(talib): 69.74
2615.TW, Close: 96.80, RSI(talib): 71.84
2545.TW, Close: 62.40, RSI(talib): 61.18
8163.TW, Close: 71.50, RSI(talib): 68.89
2812.TW, Close: 18.55, RSI(talib): 61.40
4915.TW, Close: 108.00, RSI(talib): 78.57
2542.TW, Close: 47.35, RSI(talib): 61.71
2024.TW, Close: 23.45, RSI(talib): 66.71
2611.TW, Close: 33.45, RSI(talib): 73.95
2613.TW, Close: 45.20, RSI(talib): 70.99
2608.TW, Close: 45.10, RSI(talib): 61.98
1731.TW, Close: 25.50, RSI(talib): 62.73
9945.TW, Close: 45.05, RSI(talib): 61.43
1453.TW, Close: 28.00, RSI(talib): 60.43
2327.TW, Close: 674.00, RSI(talib): 61.48
3062.TW, Close: 24.50, RSI(talib): 63.00
2367.TW, Close: 37.50, RSI(talib): 63.37
8114.TW, Close: 137.00, RSI(talib): 78.87
1522.TW, Close: 65.50, RSI(talib): 64.02
2538.TW, Close: 19.00, RSI(talib): 66.81
2101.TW, Close: 60.10, RSI(talib): 71.11
3015.TW, Close: 67.20, RSI(talib): 63.85
2520.TW, Close: 61.20, RSI(talib): 66.94
3013.TW, Close: 91.10, RSI(talib): 61.15
3356.TW, Close: 72.50, RSI(talib): 69.09
3406.TW, Close: 549.00, RSI(talib): 67.15
6164.TW, Close: 16.20, RSI(talib): 61.75
3047.TW, Close: 23.55, RSI(talib): 70.18
6670.TW, Close: 298.00, RSI(talib): 62.45
6206.TW, Close: 98.00, RSI(talib): 69.79
2486.TW, Close: 103.50, RSI(talib): 69.56
2392.TW, Close: 66.60, RSI(talib): 67.48
3022.TW, Close: 85.00, RSI(talib): 60.85
2534.TW, Close: 27.40, RSI(talib): 60.92
6117.TW, Close: 142.00, RSI(talib): 71.56
1447.TW, Close: 9.58, RSI(talib): 63.93
6197.TW, Close: 172.50, RSI(talib): 61.21
3024.TW, Close: 21.75, RSI(talib): 62.00
9105.TW, Close: 4.36, RSI(talib): 72.75
4967.TW, Close: 130.50, RSI(talib): 72.89
5522.TW, Close: 91.30, RSI(talib): 67.45
6442.TW, Close: 230.00, RSI(talib): 74.45
1532.TW, Close: 51.60, RSI(talib): 62.93
1442.TW, Close: 61.10, RSI(talib): 60.29
3030.TW, Close: 168.50, RSI(talib): 66.16
6768.TW, Close: 97.00, RSI(talib): 65.08
3312.TW, Close: 67.00, RSI(talib): 66.39
2495.TW, Close: 28.10, RSI(talib): 66.68
6782.TW, Close: 279.00, RSI(talib): 71.49
2451.TW, Close: 115.00, RSI(talib): 65.49
2539.TW, Close: 75.00, RSI(talib): 63.55
3705.TW, Close: 54.70, RSI(talib): 75.91
6691.TW, Close: 404.50, RSI(talib): 64.11
2393.TW, Close: 72.00, RSI(talib): 71.93
2427.TW, Close: 30.80, RSI(talib): 67.58
3376.TW, Close: 226.50, RSI(talib): 64.62
6863.TW, Close: 240.50, RSI(talib): 60.17
9934.TW, Close: 19.55, RSI(talib): 64.43
6698.TW, Close: 37.20, RSI(talib): 69.36
4526.TW, Close: 23.20, RSI(talib): 60.75
2855.TW, Close: 28.45, RSI(talib): 63.37
6757.TW, Close: 48.75, RSI(talib): 72.36
2537.TW, Close: 21.75, RSI(talib): 65.76
2905.TW, Close: 17.55, RSI(talib): 67.82
2852.TW, Close: 25.05, RSI(talib): 65.16
2365.TW, Close: 32.90, RSI(talib): 61.32
1582.TW, Close: 110.50, RSI(talib): 68.66
6024.TW, Close: 61.00, RSI(talib): 65.24
6579.TW, Close: 188.00, RSI(talib): 64.28
5519.TW, Close: 51.00, RSI(talib): 64.43
2348.TW, Close: 235.00, RSI(talib): 69.64
2850.TW, Close: 96.40, RSI(talib): 63.01
2540.TW, Close: 183.50, RSI(talib): 75.72
1615.TW, Close: 71.40, RSI(talib): 62.58
2109.TW, Close: 19.05, RSI(talib): 60.26
6446.TW, Close: 456.00, RSI(talib): 79.18
2514.TW, Close: 23.50, RSI(talib): 64.07
3048.TW, Close: 34.45, RSI(talib): 74.67
1786.TW, Close: 119.00, RSI(talib): 60.20
8374.TW, Close: 65.60, RSI(talib): 80.07
--------------
2412.TW failed ('NoneType' object has no attribute 'text').
2457.TW failed ('NoneType' object has no attribute 'text').
3043.TW failed ('NoneType' object has no attribute 'text').
2211.TW failed ('NoneType' object has no attribute 'text').
