--------------
Fri Jun  7 20:49:02 2024 TW Stock List
--------------
2883.TW, Close: 15.40, RSI(talib): 70.70
9958.TW, Close: 324.50, RSI(talib): 64.31
2330.TW, Close: 879.00, RSI(talib): 66.22
2882.TW, Close: 58.20, RSI(talib): 67.08
2603.TW, Close: 218.00, RSI(talib): 63.01
2881.TW, Close: 76.00, RSI(talib): 64.78
2637.TW, Close: 76.90, RSI(talib): 63.77
5608.TW, Close: 24.20, RSI(talib): 69.24
6176.TW, Close: 216.00, RSI(talib): 71.80
2867.TW, Close: 7.53, RSI(talib): 64.41
2374.TW, Close: 61.70, RSI(talib): 69.96
2359.TW, Close: 166.50, RSI(talib): 65.49
4938.TW, Close: 111.50, RSI(talib): 70.62
2476.TW, Close: 93.20, RSI(talib): 60.18
2605.TW, Close: 31.60, RSI(talib): 62.69
2351.TW, Close: 149.00, RSI(talib): 73.05
2609.TW, Close: 82.90, RSI(talib): 72.67
2615.TW, Close: 96.20, RSI(talib): 77.02
2617.TW, Close: 39.20, RSI(talib): 62.32
2545.TW, Close: 62.60, RSI(talib): 62.93
8163.TW, Close: 68.00, RSI(talib): 67.08
2812.TW, Close: 18.60, RSI(talib): 61.40
2454.TW, Close: 1275.00, RSI(talib): 62.22
4915.TW, Close: 107.50, RSI(talib): 72.45
2542.TW, Close: 48.45, RSI(talib): 65.61
2024.TW, Close: 23.30, RSI(talib): 62.92
2611.TW, Close: 33.70, RSI(talib): 67.95
2613.TW, Close: 46.45, RSI(talib): 75.73
2608.TW, Close: 45.50, RSI(talib): 64.46
9945.TW, Close: 47.55, RSI(talib): 60.83
2327.TW, Close: 678.00, RSI(talib): 62.68
2367.TW, Close: 36.95, RSI(talib): 65.62
8114.TW, Close: 149.50, RSI(talib): 70.50
2915.TW, Close: 71.90, RSI(talib): 61.71
4952.TW, Close: 66.80, RSI(talib): 61.69
1522.TW, Close: 66.20, RSI(talib): 61.84
6591.TW, Close: 63.10, RSI(talib): 60.87
2538.TW, Close: 19.45, RSI(talib): 64.57
8464.TW, Close: 375.00, RSI(talib): 60.54
3015.TW, Close: 67.00, RSI(talib): 68.90
2520.TW, Close: 61.00, RSI(talib): 67.55
3013.TW, Close: 91.80, RSI(talib): 60.17
3356.TW, Close: 73.00, RSI(talib): 66.34
3406.TW, Close: 553.00, RSI(talib): 66.06
6164.TW, Close: 16.20, RSI(talib): 67.35
3047.TW, Close: 25.90, RSI(talib): 66.06
6206.TW, Close: 96.00, RSI(talib): 63.25
2486.TW, Close: 108.50, RSI(talib): 70.00
6117.TW, Close: 133.50, RSI(talib): 66.42
1447.TW, Close: 10.20, RSI(talib): 66.25
6197.TW, Close: 170.50, RSI(talib): 62.42
3024.TW, Close: 22.45, RSI(talib): 62.00
9105.TW, Close: 4.68, RSI(talib): 76.09
4967.TW, Close: 143.50, RSI(talib): 73.22
5522.TW, Close: 93.60, RSI(talib): 63.76
6442.TW, Close: 246.50, RSI(talib): 80.02
1442.TW, Close: 64.00, RSI(talib): 61.80
6768.TW, Close: 96.70, RSI(talib): 62.40
3312.TW, Close: 66.90, RSI(talib): 65.67
6782.TW, Close: 274.50, RSI(talib): 70.65
2451.TW, Close: 122.00, RSI(talib): 67.07
2539.TW, Close: 74.50, RSI(talib): 64.62
3705.TW, Close: 55.30, RSI(talib): 62.87
6691.TW, Close: 405.00, RSI(talib): 63.23
2393.TW, Close: 72.20, RSI(talib): 64.88
2427.TW, Close: 31.00, RSI(talib): 67.99
3056.TW, Close: 35.65, RSI(talib): 60.15
3376.TW, Close: 233.50, RSI(talib): 68.56
6863.TW, Close: 243.00, RSI(talib): 67.51
2548.TW, Close: 172.50, RSI(talib): 60.54
9934.TW, Close: 19.70, RSI(talib): 62.44
6698.TW, Close: 38.00, RSI(talib): 64.88
6215.TW, Close: 60.30, RSI(talib): 63.84
2211.TW, Close: 149.00, RSI(talib): 63.15
2855.TW, Close: 27.80, RSI(talib): 66.87
6757.TW, Close: 48.10, RSI(talib): 70.67
2537.TW, Close: 23.90, RSI(talib): 66.99
2905.TW, Close: 18.00, RSI(talib): 60.30
2852.TW, Close: 25.45, RSI(talib): 63.23
2365.TW, Close: 33.85, RSI(talib): 60.86
6216.TW, Close: 42.30, RSI(talib): 60.64
4956.TW, Close: 23.90, RSI(talib): 62.44
1582.TW, Close: 111.00, RSI(talib): 63.17
6024.TW, Close: 61.40, RSI(talib): 63.31
6449.TW, Close: 124.00, RSI(talib): 60.75
5519.TW, Close: 52.40, RSI(talib): 68.21
2348.TW, Close: 231.50, RSI(talib): 63.95
2850.TW, Close: 95.60, RSI(talib): 64.71
2540.TW, Close: 182.00, RSI(talib): 72.66
1615.TW, Close: 75.50, RSI(talib): 64.20
6446.TW, Close: 484.00, RSI(talib): 72.79
2514.TW, Close: 24.70, RSI(talib): 64.72
3048.TW, Close: 32.30, RSI(talib): 73.65
1786.TW, Close: 116.50, RSI(talib): 67.72
8374.TW, Close: 67.00, RSI(talib): 79.16
9946.TW, Close: 49.55, RSI(talib): 65.51
--------------
