--------------
Fri Jun 14 21:51:11 2024 TW Stock List
--------------
2883.TW, Close: 15.25, RSI(talib): 63.90
2890.TW, Close: 24.10, RSI(talib): 64.51
9958.TW, Close: 355.00, RSI(talib): 80.53
2330.TW, Close: 922.00, RSI(talib): 67.64
2882.TW, Close: 58.20, RSI(talib): 65.87
2881.TW, Close: 76.90, RSI(talib): 64.77
2317.TW, Close: 198.00, RSI(talib): 69.88
3042.TW, Close: 118.50, RSI(talib): 62.83
2303.TW, Close: 56.30, RSI(talib): 63.19
2312.TW, Close: 18.40, RSI(talib): 60.90
6176.TW, Close: 219.00, RSI(talib): 68.99
2867.TW, Close: 7.52, RSI(talib): 61.53
4938.TW, Close: 115.50, RSI(talib): 79.03
2476.TW, Close: 105.00, RSI(talib): 79.81
2351.TW, Close: 135.50, RSI(talib): 66.62
2454.TW, Close: 1395.00, RSI(talib): 70.03
4915.TW, Close: 110.00, RSI(talib): 74.55
2542.TW, Close: 51.60, RSI(talib): 70.24
2024.TW, Close: 22.75, RSI(talib): 60.52
6239.TW, Close: 190.50, RSI(talib): 61.07
1560.TW, Close: 305.50, RSI(talib): 65.92
2611.TW, Close: 34.15, RSI(talib): 61.94
2613.TW, Close: 46.80, RSI(talib): 68.30
2608.TW, Close: 45.15, RSI(talib): 62.67
2327.TW, Close: 696.00, RSI(talib): 63.15
3653.TW, Close: 1080.00, RSI(talib): 62.24
8114.TW, Close: 159.00, RSI(talib): 86.91
3535.TW, Close: 31.45, RSI(talib): 67.55
1522.TW, Close: 68.30, RSI(talib): 60.28
6515.TW, Close: 1010.00, RSI(talib): 67.96
8464.TW, Close: 362.00, RSI(talib): 61.95
6415.TW, Close: 526.00, RSI(talib): 64.17
3013.TW, Close: 95.10, RSI(talib): 61.97
6605.TW, Close: 237.00, RSI(talib): 60.54
3406.TW, Close: 630.00, RSI(talib): 74.90
4961.TW, Close: 270.00, RSI(talib): 60.31
6164.TW, Close: 16.45, RSI(talib): 74.14
3047.TW, Close: 25.70, RSI(talib): 72.41
2486.TW, Close: 122.00, RSI(talib): 80.82
2392.TW, Close: 79.70, RSI(talib): 70.45
1447.TW, Close: 10.10, RSI(talib): 68.68
3029.TW, Close: 85.00, RSI(talib): 72.32
2420.TW, Close: 67.70, RSI(talib): 70.15
6197.TW, Close: 195.00, RSI(talib): 64.06
9105.TW, Close: 5.41, RSI(talib): 79.85
4967.TW, Close: 179.00, RSI(talib): 86.95
1519.TW, Close: 920.00, RSI(talib): 62.88
4720.TW, Close: 20.40, RSI(talib): 75.16
6442.TW, Close: 282.50, RSI(talib): 85.17
1442.TW, Close: 63.70, RSI(talib): 60.30
3030.TW, Close: nan, RSI(talib): 63.52
3312.TW, Close: 70.60, RSI(talib): 67.51
6416.TW, Close: 126.00, RSI(talib): 65.85
6409.TW, Close: 1805.00, RSI(talib): 61.85
6782.TW, Close: 268.00, RSI(talib): 64.76
2451.TW, Close: 121.50, RSI(talib): 69.69
1618.TW, Close: 60.10, RSI(talib): 60.86
6715.TW, Close: 189.50, RSI(talib): 62.86
2472.TW, Close: 80.30, RSI(talib): 62.62
6691.TW, Close: 423.00, RSI(talib): 71.93
2393.TW, Close: 75.20, RSI(talib): 73.94
2427.TW, Close: 31.35, RSI(talib): 68.52
3652.TW, Close: 34.90, RSI(talib): 64.62
5203.TW, Close: 104.50, RSI(talib): 63.83
5434.TW, Close: 284.50, RSI(talib): 71.47
3376.TW, Close: 266.00, RSI(talib): 80.53
4306.TW, Close: 21.00, RSI(talib): 60.92
2548.TW, Close: 185.50, RSI(talib): 67.78
9934.TW, Close: 19.65, RSI(talib): 60.13
6214.TW, Close: 128.00, RSI(talib): 64.62
6215.TW, Close: 57.80, RSI(talib): 62.24
6451.TW, Close: 206.50, RSI(talib): 65.45
6757.TW, Close: 50.10, RSI(talib): 66.45
2537.TW, Close: 24.20, RSI(talib): 71.47
3622.TW, Close: 76.50, RSI(talib): 71.05
3450.TW, Close: 94.40, RSI(talib): 68.90
6526.TW, Close: 809.00, RSI(talib): 67.99
6216.TW, Close: 47.80, RSI(talib): 67.19
6805.TW, Close: 799.00, RSI(talib): 62.16
1582.TW, Close: 117.00, RSI(talib): 67.41
8039.TW, Close: 57.60, RSI(talib): 72.75
5519.TW, Close: 50.10, RSI(talib): 62.58
2348.TW, Close: 234.50, RSI(talib): 60.63
2540.TW, Close: 196.00, RSI(talib): 68.46
6446.TW, Close: 482.00, RSI(talib): 76.94
2514.TW, Close: 24.10, RSI(talib): 65.34
3048.TW, Close: 37.50, RSI(talib): 69.46
1786.TW, Close: 124.00, RSI(talib): 62.42
8374.TW, Close: 72.00, RSI(talib): 72.19
1617.TW, Close: 27.55, RSI(talib): 67.57
6890.TW, Close: 240.00, RSI(talib): nan
--------------
3356.TW failed ('NoneType' object has no attribute 'text').
2375.TW failed ('NoneType' object has no attribute 'text').
