--------------
Mon Jun 17 20:44:11 2024 TW Stock List
--------------
2883.TW, Close: 15.15, RSI(talib): 65.20
2890.TW, Close: 24.05, RSI(talib): 66.43
2891.TW, Close: 37.25, RSI(talib): 60.32
9958.TW, Close: 365.00, RSI(talib): 75.87
1402.TW, Close: 35.25, RSI(talib): 67.70
2330.TW, Close: 921.00, RSI(talib): 67.99
2882.TW, Close: 57.50, RSI(talib): 67.11
2382.TW, Close: 288.50, RSI(talib): 60.48
2881.TW, Close: 76.00, RSI(talib): 68.35
1513.TW, Close: 184.00, RSI(talib): 63.59
2317.TW, Close: 200.00, RSI(talib): 73.69
3042.TW, Close: 119.00, RSI(talib): 61.56
3533.TW, Close: 1730.00, RSI(talib): 67.39
3711.TW, Close: 167.00, RSI(talib): 63.47
2880.TW, Close: 25.65, RSI(talib): 61.30
2303.TW, Close: 56.70, RSI(talib): 63.80
2312.TW, Close: 18.25, RSI(talib): 69.44
6176.TW, Close: 216.50, RSI(talib): 70.80
2867.TW, Close: 7.33, RSI(talib): 62.01
2359.TW, Close: 168.00, RSI(talib): 60.52
4938.TW, Close: 116.50, RSI(talib): 75.63
2476.TW, Close: 107.50, RSI(talib): 74.79
2615.TW, Close: 89.10, RSI(talib): 65.49
2454.TW, Close: 1380.00, RSI(talib): 71.69
4915.TW, Close: 112.50, RSI(talib): 72.66
2542.TW, Close: 52.10, RSI(talib): 77.56
6239.TW, Close: 188.50, RSI(talib): 63.03
1560.TW, Close: 288.50, RSI(talib): 67.69
2611.TW, Close: 33.60, RSI(talib): 67.27
2613.TW, Close: 45.05, RSI(talib): 71.50
2608.TW, Close: 45.40, RSI(talib): 60.97
3016.TW, Close: 66.80, RSI(talib): 67.08
2474.TW, Close: 228.00, RSI(talib): 61.11
2031.TW, Close: 69.60, RSI(talib): 65.73
3712.TW, Close: 50.60, RSI(talib): 62.22
2327.TW, Close: 705.00, RSI(talib): 70.73
3062.TW, Close: 26.50, RSI(talib): 68.89
3653.TW, Close: 1065.00, RSI(talib): 65.38
2449.TW, Close: 99.50, RSI(talib): 60.09
1808.TW, Close: 115.00, RSI(talib): 70.88
8114.TW, Close: 155.50, RSI(talib): 80.83
6257.TW, Close: 80.50, RSI(talib): 60.19
4952.TW, Close: 68.50, RSI(talib): 60.17
3535.TW, Close: 33.00, RSI(talib): 64.90
1522.TW, Close: 67.90, RSI(talib): 63.77
6515.TW, Close: 997.00, RSI(talib): 72.20
2538.TW, Close: 18.95, RSI(talib): 62.02
5269.TW, Close: 2210.00, RSI(talib): 62.42
6669.TW, Close: 2660.00, RSI(talib): 61.39
6415.TW, Close: 525.00, RSI(talib): 70.00
3015.TW, Close: 67.20, RSI(talib): 62.96
8996.TW, Close: 504.00, RSI(talib): 63.41
3013.TW, Close: 94.50, RSI(talib): 64.74
6605.TW, Close: 232.50, RSI(talib): 63.14
3406.TW, Close: 628.00, RSI(talib): 80.12
2428.TW, Close: 183.00, RSI(talib): 68.30
6196.TW, Close: 164.00, RSI(talib): 61.68
6164.TW, Close: 16.35, RSI(talib): 69.62
3047.TW, Close: 25.20, RSI(talib): 68.62
2486.TW, Close: 125.00, RSI(talib): 79.50
2392.TW, Close: 78.70, RSI(talib): 74.47
1447.TW, Close: 10.30, RSI(talib): 64.92
2439.TW, Close: 127.50, RSI(talib): 61.47
3029.TW, Close: 83.10, RSI(talib): 75.29
2420.TW, Close: 67.90, RSI(talib): 71.12
6197.TW, Close: 193.50, RSI(talib): 74.68
9105.TW, Close: 5.95, RSI(talib): 85.85
4967.TW, Close: 161.50, RSI(talib): 89.98
1519.TW, Close: 905.00, RSI(talib): 69.39
4720.TW, Close: 20.65, RSI(talib): 65.37
6442.TW, Close: 309.00, RSI(talib): 88.57
1442.TW, Close: 62.10, RSI(talib): 64.21
3030.TW, Close: 172.50, RSI(talib): 61.30
3312.TW, Close: 73.50, RSI(talib): 67.90
3010.TW, Close: 133.00, RSI(talib): 60.42
6409.TW, Close: 1760.00, RSI(talib): 65.61
2451.TW, Close: 127.00, RSI(talib): 69.37
1618.TW, Close: 58.70, RSI(talib): 66.44
6715.TW, Close: 186.00, RSI(talib): 71.04
2472.TW, Close: 80.20, RSI(talib): 60.12
6691.TW, Close: 422.50, RSI(talib): 68.86
2393.TW, Close: 77.50, RSI(talib): 69.71
4976.TW, Close: 48.50, RSI(talib): 66.38
2427.TW, Close: 29.95, RSI(talib): 62.09
3652.TW, Close: 35.00, RSI(talib): 70.48
5203.TW, Close: 108.00, RSI(talib): 68.16
5434.TW, Close: 276.50, RSI(talib): 68.02
3376.TW, Close: 257.50, RSI(talib): 78.62
4306.TW, Close: 20.50, RSI(talib): 64.48
6863.TW, Close: 239.00, RSI(talib): 61.44
2535.TW, Close: 56.50, RSI(talib): 60.21
2548.TW, Close: 186.00, RSI(talib): 73.07
9934.TW, Close: 19.60, RSI(talib): 61.91
3014.TW, Close: 177.00, RSI(talib): 60.56
6214.TW, Close: 127.00, RSI(talib): 65.31
1603.TW, Close: 48.85, RSI(talib): 63.38
6451.TW, Close: 227.00, RSI(talib): 61.94
2316.TW, Close: 48.55, RSI(talib): 65.27
6757.TW, Close: 49.30, RSI(talib): 69.48
2537.TW, Close: 22.90, RSI(talib): 67.54
3622.TW, Close: 84.10, RSI(talib): 79.81
2025.TW, Close: 13.70, RSI(talib): 66.13
3450.TW, Close: 94.80, RSI(talib): 68.01
6526.TW, Close: 805.00, RSI(talib): 69.30
6216.TW, Close: 46.80, RSI(talib): 69.46
6805.TW, Close: 812.00, RSI(talib): 61.10
1582.TW, Close: 118.00, RSI(talib): 68.49
8039.TW, Close: 58.60, RSI(talib): 66.49
6449.TW, Close: 150.00, RSI(talib): 66.93
5519.TW, Close: 49.20, RSI(talib): 62.09
2540.TW, Close: 182.00, RSI(talib): 74.52
6446.TW, Close: 487.50, RSI(talib): 74.21
2514.TW, Close: 24.45, RSI(talib): 63.07
3048.TW, Close: 37.90, RSI(talib): 70.79
1786.TW, Close: 126.00, RSI(talib): 70.26
8374.TW, Close: 79.20, RSI(talib): 74.65
1617.TW, Close: 26.55, RSI(talib): 60.84
4562.TW, Close: 51.50, RSI(talib): 66.99
--------------
