--------------
Tue Jun 18 20:32:36 2024 TW Stock List
--------------
2883.TW, Close: 15.45, RSI(talib): 63.87
2890.TW, Close: 24.70, RSI(talib): 66.78
2891.TW, Close: 37.90, RSI(talib): 61.24
9958.TW, Close: 354.50, RSI(talib): 77.75
1402.TW, Close: 35.90, RSI(talib): 64.83
2330.TW, Close: 943.00, RSI(talib): 70.75
2882.TW, Close: 58.90, RSI(talib): 62.74
2382.TW, Close: 291.00, RSI(talib): 60.00
2881.TW, Close: 77.00, RSI(talib): 63.90
2317.TW, Close: 198.50, RSI(talib): 75.85
3042.TW, Close: 118.50, RSI(talib): 65.06
3533.TW, Close: 1725.00, RSI(talib): 66.87
3711.TW, Close: 171.00, RSI(talib): 66.18
2880.TW, Close: 26.00, RSI(talib): 64.14
2303.TW, Close: 56.80, RSI(talib): 66.96
2312.TW, Close: 18.10, RSI(talib): 68.07
6176.TW, Close: 219.50, RSI(talib): 67.56
2834.TW, Close: 17.55, RSI(talib): 61.54
2359.TW, Close: 165.50, RSI(talib): 60.23
4938.TW, Close: 116.50, RSI(talib): 78.12
2476.TW, Close: 114.00, RSI(talib): 77.71
6806.TW, Close: 137.50, RSI(talib): 60.88
2615.TW, Close: 88.80, RSI(talib): 61.10
2454.TW, Close: 1405.00, RSI(talib): 70.40
4915.TW, Close: 114.00, RSI(talib): 76.36
2542.TW, Close: 51.60, RSI(talib): 78.72
6239.TW, Close: 190.50, RSI(talib): 60.88
2611.TW, Close: 33.85, RSI(talib): 63.66
2613.TW, Close: 44.50, RSI(talib): 66.48
1731.TW, Close: 25.75, RSI(talib): 63.09
1514.TW, Close: 144.00, RSI(talib): 62.93
3016.TW, Close: 68.00, RSI(talib): 64.58
2031.TW, Close: 65.30, RSI(talib): 78.12
3712.TW, Close: 50.60, RSI(talib): 61.00
2327.TW, Close: 712.00, RSI(talib): 73.63
3062.TW, Close: 29.15, RSI(talib): 73.67
3653.TW, Close: 1015.00, RSI(talib): 62.84
2449.TW, Close: 104.50, RSI(talib): 66.54
1808.TW, Close: 114.00, RSI(talib): 65.39
8114.TW, Close: 156.00, RSI(talib): 74.67
6278.TW, Close: 122.50, RSI(talib): 65.38
3535.TW, Close: 34.50, RSI(talib): 69.59
4583.TW, Close: 297.00, RSI(talib): 61.83
1522.TW, Close: 68.80, RSI(talib): 63.10
6515.TW, Close: 1025.00, RSI(talib): 68.72
2538.TW, Close: 18.45, RSI(talib): 60.20
5269.TW, Close: 2250.00, RSI(talib): 63.65
6415.TW, Close: 510.00, RSI(talib): 71.88
8996.TW, Close: 474.50, RSI(talib): 63.83
3013.TW, Close: 91.80, RSI(talib): 63.59
3406.TW, Close: 630.00, RSI(talib): 80.33
2428.TW, Close: 183.00, RSI(talib): 77.47
6196.TW, Close: 165.00, RSI(talib): 65.45
6164.TW, Close: 16.30, RSI(talib): 68.45
6414.TW, Close: 330.50, RSI(talib): 60.23
3047.TW, Close: 24.95, RSI(talib): 65.45
2486.TW, Close: 119.50, RSI(talib): 81.32
2392.TW, Close: 77.40, RSI(talib): 72.61
1447.TW, Close: 10.45, RSI(talib): 67.84
3029.TW, Close: 84.20, RSI(talib): 68.11
2420.TW, Close: 68.70, RSI(talib): 71.87
6197.TW, Close: 194.00, RSI(talib): 75.43
9105.TW, Close: 5.93, RSI(talib): 89.44
4967.TW, Close: 149.50, RSI(talib): 71.41
1519.TW, Close: 945.00, RSI(talib): 67.28
4720.TW, Close: 20.40, RSI(talib): 67.27
6442.TW, Close: 297.50, RSI(talib): 91.68
3312.TW, Close: 77.80, RSI(talib): 71.88
6782.TW, Close: 287.00, RSI(talib): 60.98
2451.TW, Close: 133.00, RSI(talib): 75.92
1618.TW, Close: 60.00, RSI(talib): 60.56
6715.TW, Close: 186.00, RSI(talib): 67.22
2472.TW, Close: 79.80, RSI(talib): 60.98
6691.TW, Close: 421.00, RSI(talib): 70.78
2393.TW, Close: 79.70, RSI(talib): 76.57
3652.TW, Close: 34.35, RSI(talib): 71.67
5203.TW, Close: 106.00, RSI(talib): 73.73
6753.TW, Close: 128.50, RSI(talib): 62.81
3376.TW, Close: 232.00, RSI(talib): 72.60
6863.TW, Close: 243.00, RSI(talib): 63.62
2535.TW, Close: 56.20, RSI(talib): 61.28
2548.TW, Close: 186.50, RSI(talib): 73.04
3014.TW, Close: 176.00, RSI(talib): 63.47
6214.TW, Close: 130.00, RSI(talib): 60.98
6451.TW, Close: 249.50, RSI(talib): 69.31
3090.TW, Close: 68.50, RSI(talib): 61.40
2316.TW, Close: 49.10, RSI(talib): 61.21
6757.TW, Close: 50.10, RSI(talib): 65.72
2537.TW, Close: 22.70, RSI(talib): 60.89
3622.TW, Close: 83.00, RSI(talib): 86.37
2025.TW, Close: 12.40, RSI(talib): 68.62
3450.TW, Close: 104.00, RSI(talib): 69.60
2365.TW, Close: 38.50, RSI(talib): 61.71
1463.TW, Close: 20.45, RSI(talib): 61.47
6526.TW, Close: 810.00, RSI(talib): 69.20
6216.TW, Close: 47.05, RSI(talib): 66.20
2488.TW, Close: 47.80, RSI(talib): 60.75
6805.TW, Close: 796.00, RSI(talib): 63.36
1582.TW, Close: 117.00, RSI(talib): 70.15
8467.TW, Close: 181.00, RSI(talib): 60.81
2423.TW, Close: 43.20, RSI(talib): 60.69
8039.TW, Close: 57.70, RSI(talib): 69.69
6449.TW, Close: 148.00, RSI(talib): 73.15
2540.TW, Close: 188.00, RSI(talib): 61.06
6446.TW, Close: 493.00, RSI(talib): 76.64
2514.TW, Close: 24.50, RSI(talib): 65.40
3048.TW, Close: 39.15, RSI(talib): 71.65
1786.TW, Close: 127.50, RSI(talib): 72.54
8374.TW, Close: 87.10, RSI(talib): 78.94
4562.TW, Close: 50.00, RSI(talib): 71.10
--------------
6770.TW failed (index 0 is out of bounds for axis 0 with size 0).
