--------------
Wed Jun 19 23:48:37 2024 TW Stock List
--------------
2883.TW, Close: 15.50, RSI(talib): 67.21
2890.TW, Close: 24.80, RSI(talib): 72.25
2618.TW, Close: 37.90, RSI(talib): 63.33
2891.TW, Close: 37.90, RSI(talib): 65.58
2885.TW, Close: 33.75, RSI(talib): 63.25
9958.TW, Close: 341.50, RSI(talib): 72.86
1402.TW, Close: 35.80, RSI(talib): 68.17
2330.TW, Close: 981.00, RSI(talib): 74.81
2882.TW, Close: 59.00, RSI(talib): 68.23
2382.TW, Close: 316.00, RSI(talib): 63.33
2881.TW, Close: 77.80, RSI(talib): 66.85
1513.TW, Close: 188.00, RSI(talib): 61.37
2317.TW, Close: 203.00, RSI(talib): 73.56
3042.TW, Close: 115.50, RSI(talib): 64.87
3533.TW, Close: 1735.00, RSI(talib): 67.82
3711.TW, Close: 179.00, RSI(talib): 70.89
2880.TW, Close: 26.30, RSI(talib): 67.45
2303.TW, Close: 56.80, RSI(talib): 67.74
2312.TW, Close: 18.10, RSI(talib): 65.61
6176.TW, Close: 213.50, RSI(talib): 70.88
2834.TW, Close: 17.80, RSI(talib): 67.63
4938.TW, Close: 116.50, RSI(talib): 78.21
2476.TW, Close: 109.50, RSI(talib): 82.96
6806.TW, Close: 133.00, RSI(talib): 60.20
2615.TW, Close: 90.00, RSI(talib): 60.83
9933.TW, Close: 52.40, RSI(talib): 65.40
2809.TW, Close: 67.00, RSI(talib): 63.77
2812.TW, Close: 18.65, RSI(talib): 60.09
4958.TW, Close: 132.50, RSI(talib): 67.62
2454.TW, Close: 1485.00, RSI(talib): 73.15
4915.TW, Close: 110.00, RSI(talib): 77.71
2542.TW, Close: 51.70, RSI(talib): 74.41
6239.TW, Close: 197.50, RSI(talib): 64.08
2611.TW, Close: 34.15, RSI(talib): 64.85
2613.TW, Close: 44.00, RSI(talib): 64.73
1731.TW, Close: 25.85, RSI(talib): 63.61
1514.TW, Close: 145.00, RSI(talib): 67.83
3016.TW, Close: 66.80, RSI(talib): 66.75
2031.TW, Close: 64.70, RSI(talib): 60.59
3712.TW, Close: 49.90, RSI(talib): 61.89
2327.TW, Close: 717.00, RSI(talib): 74.83
3062.TW, Close: 28.20, RSI(talib): 82.60
2449.TW, Close: 109.00, RSI(talib): 73.24
1808.TW, Close: 113.00, RSI(talib): 61.89
8114.TW, Close: 153.50, RSI(talib): 75.05
6278.TW, Close: 123.00, RSI(talib): 66.82
3535.TW, Close: 33.90, RSI(talib): 72.28
4583.TW, Close: 295.00, RSI(talib): 68.35
1522.TW, Close: 70.40, RSI(talib): 65.72
6515.TW, Close: 1040.00, RSI(talib): 72.67
3673.TW, Close: 40.15, RSI(talib): 64.55
5269.TW, Close: 2365.00, RSI(talib): 66.74
6415.TW, Close: 505.00, RSI(talib): 66.00
3015.TW, Close: 66.50, RSI(talib): 63.96
6605.TW, Close: 248.00, RSI(talib): 63.02
3406.TW, Close: 626.00, RSI(talib): 81.21
2428.TW, Close: 183.50, RSI(talib): 77.82
6196.TW, Close: 167.00, RSI(talib): 69.32
6164.TW, Close: 15.95, RSI(talib): 67.49
3047.TW, Close: 24.50, RSI(talib): 63.64
2486.TW, Close: 118.50, RSI(talib): 72.46
