--------------
Thu Jun 20 21:18:37 2024 TW Stock List
--------------
2883.TW, Close: 15.55, RSI(talib): 67.83
2890.TW, Close: 25.15, RSI(talib): 73.07
2618.TW, Close: 37.65, RSI(talib): 66.41
2891.TW, Close: 38.00, RSI(talib): 65.58
2885.TW, Close: 34.35, RSI(talib): 69.20
9958.TW, Close: 351.00, RSI(talib): 66.11
1402.TW, Close: 36.20, RSI(talib): 66.73
2347.TW, Close: 85.90, RSI(talib): 60.38
2330.TW, Close: 981.00, RSI(talib): 79.52
2882.TW, Close: 60.10, RSI(talib): 68.60
2382.TW, Close: 330.00, RSI(talib): 74.10
2881.TW, Close: 78.00, RSI(talib): 69.31
1513.TW, Close: 188.00, RSI(talib): 61.37
2317.TW, Close: 217.50, RSI(talib): 75.94
3533.TW, Close: 1750.00, RSI(talib): 68.63
3711.TW, Close: 178.00, RSI(talib): 77.16
2880.TW, Close: 26.35, RSI(talib): 70.39
2303.TW, Close: 57.50, RSI(talib): 67.74
2312.TW, Close: 18.35, RSI(talib): 65.61
6176.TW, Close: 213.50, RSI(talib): 60.49
2834.TW, Close: 17.90, RSI(talib): 71.98
4938.TW, Close: 120.00, RSI(talib): 78.21
2476.TW, Close: 110.00, RSI(talib): 72.20
2615.TW, Close: 92.10, RSI(talib): 61.80
9933.TW, Close: 52.80, RSI(talib): 71.50
2809.TW, Close: 67.40, RSI(talib): 65.75
2845.TW, Close: 16.15, RSI(talib): 63.77
2812.TW, Close: 18.50, RSI(talib): 64.24
4958.TW, Close: 132.00, RSI(talib): 70.01
2454.TW, Close: 1500.00, RSI(talib): 78.16
4915.TW, Close: nan, RSI(talib): 65.42
2542.TW, Close: 52.50, RSI(talib): 74.67
2611.TW, Close: 34.65, RSI(talib): 66.01
2613.TW, Close: 43.50, RSI(talib): 63.28
1731.TW, Close: 25.85, RSI(talib): 65.15
1514.TW, Close: 147.00, RSI(talib): 68.41
3016.TW, Close: 68.00, RSI(talib): 62.09
2327.TW, Close: 715.00, RSI(talib): 76.01
3062.TW, Close: 31.00, RSI(talib): 73.27
3034.TW, Close: 619.00, RSI(talib): 62.10
2449.TW, Close: 112.00, RSI(talib): 77.22
8114.TW, Close: 155.00, RSI(talib): 70.08
6278.TW, Close: 124.50, RSI(talib): 67.60
3535.TW, Close: 36.55, RSI(talib): 68.93
4583.TW, Close: 289.00, RSI(talib): 66.53
1522.TW, Close: 70.80, RSI(talib): 68.52
6515.TW, Close: 1030.00, RSI(talib): 74.10
3673.TW, Close: 40.85, RSI(talib): 67.89
5269.TW, Close: 2310.00, RSI(talib): 71.44
