--------------
Wed Jul  3 22:40:06 2024 TW Stock List
--------------
2890.TW, Close: 26.40, RSI(talib): 72.23
2891.TW, Close: 39.20, RSI(talib): 63.81
1402.TW, Close: 36.75, RSI(talib): 60.12
2330.TW, Close: 979.00, RSI(talib): 66.13
4904.TW, Close: 89.70, RSI(talib): 72.00
2881.TW, Close: 83.30, RSI(talib): 75.17
2610.TW, Close: 24.75, RSI(talib): 68.09
2880.TW, Close: 26.90, RSI(talib): 62.15
1795.TW, Close: 310.00, RSI(talib): 61.53
2834.TW, Close: 18.75, RSI(talib): 65.61
6213.TW, Close: 125.00, RSI(talib): 62.46
2359.TW, Close: 172.00, RSI(talib): 60.81
2476.TW, Close: 109.50, RSI(talib): 66.74
6806.TW, Close: 155.50, RSI(talib): 73.53
9933.TW, Close: 53.40, RSI(talib): 67.48
2617.TW, Close: 40.10, RSI(talib): 62.17
2845.TW, Close: 17.10, RSI(talib): 74.06
2838.TW, Close: 16.70, RSI(talib): 69.56
2454.TW, Close: 1405.00, RSI(talib): 61.85
2406.TW, Close: 27.60, RSI(talib): 72.00
2542.TW, Close: 53.20, RSI(talib): 63.74
2383.TW, Close: 492.50, RSI(talib): 63.40
8028.TW, Close: 100.50, RSI(talib): 77.32
1560.TW, Close: 336.50, RSI(talib): 69.04
1514.TW, Close: 147.00, RSI(talib): 63.34
1714.TW, Close: 10.40, RSI(talib): 63.81
3050.TW, Close: 24.90, RSI(talib): 69.07
2906.TW, Close: 23.15, RSI(talib): 68.56
2474.TW, Close: 233.50, RSI(talib): 64.62
3712.TW, Close: 55.20, RSI(talib): 63.55
3653.TW, Close: 1170.00, RSI(talib): 63.38
2449.TW, Close: 117.50, RSI(talib): 63.85
6191.TW, Close: 75.90, RSI(talib): 63.95
8114.TW, Close: 184.50, RSI(talib): 86.35
6278.TW, Close: 139.00, RSI(talib): 75.71
2915.TW, Close: 72.00, RSI(talib): 64.75
3535.TW, Close: 49.10, RSI(talib): 79.77
1522.TW, Close: 71.10, RSI(talib): 62.83
2489.TW, Close: 20.30, RSI(talib): 60.85
1104.TW, Close: 36.75, RSI(talib): 72.87
3673.TW, Close: 42.70, RSI(talib): 60.64
4770.TW, Close: 414.00, RSI(talib): 61.91
6605.TW, Close: 245.00, RSI(talib): 60.74
3406.TW, Close: 662.00, RSI(talib): 75.44
6196.TW, Close: 171.50, RSI(talib): 66.20
6164.TW, Close: 16.80, RSI(talib): 67.94
3167.TW, Close: 76.80, RSI(talib): 73.47
3607.TW, Close: 19.25, RSI(talib): 62.35
2889.TW, Close: 16.90, RSI(talib): 73.20
3047.TW, Close: 36.10, RSI(talib): 80.25
6206.TW, Close: 97.60, RSI(talib): 64.77
2486.TW, Close: 136.50, RSI(talib): 66.76
2392.TW, Close: 76.50, RSI(talib): 60.83
8105.TW, Close: 16.55, RSI(talib): 65.09
