--------------
Fri Jul  5 07:28:32 2024 TW Stock List
--------------
2883.TW, Close: 16.00, RSI(talib): 71.11
2890.TW, Close: 26.60, RSI(talib): 74.36
2891.TW, Close: 39.75, RSI(talib): 69.12
1402.TW, Close: 38.00, RSI(talib): 63.08
2606.TW, Close: 59.00, RSI(talib): 61.35
2330.TW, Close: 1005.00, RSI(talib): 70.05
4904.TW, Close: 91.10, RSI(talib): 69.70
2881.TW, Close: 83.70, RSI(talib): 80.23
2610.TW, Close: 24.70, RSI(talib): 68.09
2880.TW, Close: 27.10, RSI(talib): 68.21
2312.TW, Close: nan, RSI(talib): 62.03
4960.TW, Close: 14.55, RSI(talib): 60.01
2417.TW, Close: 53.20, RSI(talib): 68.88
1795.TW, Close: 303.50, RSI(talib): 60.15
2323.TW, Close: 13.75, RSI(talib): 67.02
2834.TW, Close: 18.75, RSI(talib): 74.64
2867.TW, Close: 7.56, RSI(talib): 62.11
6213.TW, Close: 127.00, RSI(talib): 67.41
2359.TW, Close: 175.00, RSI(talib): 62.81
2476.TW, Close: 109.50, RSI(talib): 66.74
2605.TW, Close: 31.30, RSI(talib): 61.64
6806.TW, Close: 159.50, RSI(talib): 63.34
9933.TW, Close: 53.60, RSI(talib): 68.42
2617.TW, Close: 38.90, RSI(talib): 69.06
2401.TW, Close: 36.30, RSI(talib): 60.94
2845.TW, Close: 17.25, RSI(talib): 77.09
2838.TW, Close: 16.60, RSI(talib): 75.45
4958.TW, Close: 139.00, RSI(talib): 63.63
2454.TW, Close: nan, RSI(talib): 60.91
2404.TW, Close: 388.50, RSI(talib): 60.13
2406.TW, Close: 27.50, RSI(talib): 70.56
2542.TW, Close: 55.20, RSI(talib): 64.13
2383.TW, Close: 494.00, RSI(talib): 65.70
8028.TW, Close: 110.50, RSI(talib): 83.02
1560.TW, Close: 342.00, RSI(talib): 68.03
1514.TW, Close: 154.50, RSI(talib): 60.83
1714.TW, Close: 10.35, RSI(talib): 70.54
3050.TW, Close: 23.55, RSI(talib): 79.50
9955.TW, Close: 34.75, RSI(talib): 62.29
3712.TW, Close: 56.80, RSI(talib): 63.55
3653.TW, Close: 1215.00, RSI(talib): 66.20
2367.TW, Close: 37.70, RSI(talib): 61.70
2449.TW, Close: 119.50, RSI(talib): 70.27
6191.TW, Close: 76.80, RSI(talib): 64.78
8114.TW, Close: 189.50, RSI(talib): 86.35
6278.TW, Close: 133.50, RSI(talib): 78.40
2915.TW, Close: 71.20, RSI(talib): 65.02
2059.TW, Close: 1355.00, RSI(talib): 62.06
3535.TW, Close: 54.00, RSI(talib): 76.85
1522.TW, Close: 71.40, RSI(talib): 63.81
1104.TW, Close: 36.90, RSI(talib): 76.88
3673.TW, Close: 43.60, RSI(talib): 69.06
8464.TW, Close: 395.00, RSI(talib): 73.03
2405.TW, Close: 23.10, RSI(talib): 65.77
3406.TW, Close: 632.00, RSI(talib): 75.44
6196.TW, Close: 174.50, RSI(talib): 66.20
6164.TW, Close: 17.05, RSI(talib): 62.87
3167.TW, Close: 73.60, RSI(talib): 80.83
3607.TW, Close: 19.60, RSI(talib): 60.86
2889.TW, Close: 16.95, RSI(talib): 74.32
3047.TW, Close: 35.65, RSI(talib): 82.24
2486.TW, Close: 138.00, RSI(talib): 70.71
8105.TW, Close: 16.55, RSI(talib): 63.65
3686.TW, Close: 30.25, RSI(talib): 76.67
1447.TW, Close: 10.25, RSI(talib): 61.08
3591.TW, Close: 32.00, RSI(talib): 70.61
2439.TW, Close: 144.00, RSI(talib): 67.11
3029.TW, Close: 104.00, RSI(talib): 82.91
1519.TW, Close: 1015.00, RSI(talib): 67.82
4720.TW, Close: 24.20, RSI(talib): 79.60
6442.TW, Close: 399.00, RSI(talib): 75.83
6789.TW, Close: 353.00, RSI(talib): 60.58
3312.TW, Close: 92.20, RSI(talib): 76.79
3413.TW, Close: 387.50, RSI(talib): 71.83
2495.TW, Close: 35.65, RSI(talib): 78.30
6416.TW, Close: 144.00, RSI(talib): 73.73
3010.TW, Close: 146.00, RSI(talib): 72.48
2464.TW, Close: 82.50, RSI(talib): 70.37
1720.TW, Close: 72.80, RSI(talib): 70.44
2903.TW, Close: 35.45, RSI(talib): 63.25
2539.TW, Close: 77.20, RSI(talib): 60.97
6691.TW, Close: 434.00, RSI(talib): 60.47
2393.TW, Close: 79.30, RSI(talib): 70.17
4976.TW, Close: 52.70, RSI(talib): 67.04
3652.TW, Close: 50.50, RSI(talib): 75.27
6753.TW, Close: 146.00, RSI(talib): 63.35
6863.TW, Close: 249.00, RSI(talib): 60.70
6698.TW, Close: 55.90, RSI(talib): 88.53
2349.TW, Close: 16.50, RSI(talib): 90.96
6215.TW, Close: 64.60, RSI(talib): 60.90
1806.TW, Close: 12.75, RSI(talib): 78.97
6166.TW, Close: 83.70, RSI(talib): 60.31
4526.TW, Close: 32.45, RSI(talib): 66.87
6451.TW, Close: 275.00, RSI(talib): 64.19
2855.TW, Close: 30.05, RSI(talib): 62.49
1540.TW, Close: 22.55, RSI(talib): 66.40
6189.TW, Close: 111.00, RSI(talib): 75.11
6757.TW, Close: 65.20, RSI(talib): 84.97
3622.TW, Close: 77.50, RSI(talib): 63.66
3450.TW, Close: 141.00, RSI(talib): 76.21
2543.TW, Close: 56.40, RSI(talib): 61.23
2365.TW, Close: 49.25, RSI(talib): 71.70
1463.TW, Close: 22.50, RSI(talib): 83.31
6216.TW, Close: 49.35, RSI(talib): 61.75
2467.TW, Close: 207.50, RSI(talib): 83.02
4956.TW, Close: 27.45, RSI(talib): 70.62
6869.TW, Close: 256.50, RSI(talib): 75.77
8039.TW, Close: 59.10, RSI(talib): 61.93
6579.TW, Close: 186.00, RSI(talib): 61.05
6790.TW, Close: 54.80, RSI(talib): 62.51
6449.TW, Close: 159.50, RSI(talib): 65.02
2540.TW, Close: 206.50, RSI(talib): 62.14
6446.TW, Close: 554.00, RSI(talib): 81.65
3048.TW, Close: 49.70, RSI(talib): 73.30
8374.TW, Close: 119.50, RSI(talib): 77.10
6706.TW, Close: 117.00, RSI(talib): 67.70
4562.TW, Close: 66.30, RSI(talib): 71.00
6152.TW, Close: 16.25, RSI(talib): 74.22
--------------
2906.TW failed ('NoneType' object has no attribute 'text').
6605.TW failed (('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))).
4572.TW failed ('NoneType' object has no attribute 'text').
2535.TW failed (inputs are all NaN).
3583.TW failed (inputs are all NaN).
6689.TW failed (inputs are all NaN).
2015.TW failed (index 0 is out of bounds for axis 0 with size 0).
6108.TW failed (('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))).
1563.TW failed (("Connection broken: InvalidChunkLength(got length b'', 0 bytes read)", InvalidChunkLength(got length b'', 0 bytes read))).
