--------------
Mon Jul  8 20:53:09 2024 TW Stock List
--------------
2883.TW, Close: 16.10, RSI(talib): 65.14
2890.TW, Close: 26.70, RSI(talib): 72.15
2891.TW, Close: 40.10, RSI(talib): 73.85
1402.TW, Close: 37.55, RSI(talib): 62.48
2330.TW, Close: 1035.00, RSI(talib): 74.63
4904.TW, Close: 90.50, RSI(talib): 71.87
1216.TW, Close: 83.70, RSI(talib): 67.09
2881.TW, Close: 86.00, RSI(talib): 82.67
1513.TW, Close: 202.50, RSI(talib): 70.15
2313.TW, Close: 86.30, RSI(talib): 61.38
2317.TW, Close: 226.50, RSI(talib): 63.77
2610.TW, Close: 24.30, RSI(talib): 60.69
2880.TW, Close: 27.50, RSI(talib): 69.96
2312.TW, Close: 23.80, RSI(talib): 81.94
4960.TW, Close: 17.45, RSI(talib): 73.34
2417.TW, Close: 53.00, RSI(talib): 76.63
2323.TW, Close: 13.80, RSI(talib): 75.16
2834.TW, Close: 19.20, RSI(talib): 79.02
2867.TW, Close: 7.49, RSI(talib): 65.34
6213.TW, Close: 121.50, RSI(talib): 75.73
3532.TW, Close: 182.00, RSI(talib): 64.74
2338.TW, Close: 79.90, RSI(talib): 67.24
2374.TW, Close: 59.60, RSI(talib): 63.21
2359.TW, Close: 165.00, RSI(talib): 64.92
2476.TW, Close: 111.00, RSI(talib): 75.09
6806.TW, Close: 152.50, RSI(talib): 65.43
4968.TW, Close: 230.50, RSI(talib): 62.84
9933.TW, Close: 54.50, RSI(talib): 74.37
2401.TW, Close: 37.70, RSI(talib): 67.98
4755.TW, Close: 153.00, RSI(talib): 62.10
2006.TW, Close: 71.40, RSI(talib): 63.80
2845.TW, Close: 17.40, RSI(talib): 78.22
2838.TW, Close: 16.70, RSI(talib): 60.47
4958.TW, Close: 140.50, RSI(talib): 72.01
2404.TW, Close: 382.00, RSI(talib): 61.69
2406.TW, Close: 26.50, RSI(talib): 70.84
2542.TW, Close: 55.50, RSI(talib): 72.65
2383.TW, Close: 501.00, RSI(talib): 70.01
8028.TW, Close: 116.50, RSI(talib): 90.13
2331.TW, Close: 34.30, RSI(talib): 61.42
1560.TW, Close: 345.00, RSI(talib): 74.10
1514.TW, Close: 147.50, RSI(talib): 62.91
1714.TW, Close: 10.45, RSI(talib): 71.40
3050.TW, Close: 27.55, RSI(talib): 69.42
2906.TW, Close: 22.30, RSI(talib): 68.63
9955.TW, Close: 35.80, RSI(talib): 64.52
3712.TW, Close: 56.10, RSI(talib): 68.05
2327.TW, Close: 755.00, RSI(talib): 66.25
3062.TW, Close: 33.60, RSI(talib): 63.06
3653.TW, Close: 1320.00, RSI(talib): 75.74
2367.TW, Close: 42.50, RSI(talib): 67.79
2449.TW, Close: 133.00, RSI(talib): 73.92
8114.TW, Close: 182.50, RSI(talib): 84.68
6278.TW, Close: 138.00, RSI(talib): 68.86
3665.TW, Close: 383.50, RSI(talib): 75.33
2915.TW, Close: 71.00, RSI(talib): 60.63
2363.TW, Close: 62.30, RSI(talib): 66.09
2059.TW, Close: 1375.00, RSI(talib): 70.29
3535.TW, Close: 59.80, RSI(talib): 84.22
4583.TW, Close: 288.00, RSI(talib): 60.17
1522.TW, Close: 68.10, RSI(talib): 64.26
2489.TW, Close: 20.60, RSI(talib): 62.11
1104.TW, Close: 36.50, RSI(talib): 75.48
6515.TW, Close: 1055.00, RSI(talib): 68.35
3673.TW, Close: 49.05, RSI(talib): 75.35
2360.TW, Close: 317.50, RSI(talib): 61.43
2405.TW, Close: 27.90, RSI(talib): 77.84
6605.TW, Close: 249.00, RSI(talib): 61.78
6196.TW, Close: 175.00, RSI(talib): 74.86
2233.TW, Close: 142.50, RSI(talib): 66.05
6164.TW, Close: 17.30, RSI(talib): 70.10
3167.TW, Close: 69.70, RSI(talib): 71.77
3607.TW, Close: 20.15, RSI(talib): 65.85
2889.TW, Close: 17.15, RSI(talib): 76.70
6133.TW, Close: 20.90, RSI(talib): 82.59
3047.TW, Close: 43.10, RSI(talib): 83.70
1727.TW, Close: 32.75, RSI(talib): 75.39
6206.TW, Close: 99.10, RSI(talib): 66.14
2486.TW, Close: 141.00, RSI(talib): 74.37
2392.TW, Close: 81.00, RSI(talib): 65.69
8105.TW, Close: 17.25, RSI(talib): 68.52
3686.TW, Close: 29.35, RSI(talib): 76.82
1517.TW, Close: 17.75, RSI(talib): 64.14
1447.TW, Close: 10.70, RSI(talib): 67.86
3591.TW, Close: 31.10, RSI(talib): 70.84
2439.TW, Close: 144.50, RSI(talib): 73.22
6581.TW, Close: 114.00, RSI(talib): 63.15
3029.TW, Close: 105.50, RSI(talib): 85.77
2420.TW, Close: 68.00, RSI(talib): 61.61
6438.TW, Close: 128.50, RSI(talib): 66.14
9105.TW, Close: 7.26, RSI(talib): 61.45
5225.TW, Close: 129.50, RSI(talib): 61.36
4720.TW, Close: 23.05, RSI(talib): 82.11
6442.TW, Close: 395.00, RSI(talib): 84.11
6789.TW, Close: 373.00, RSI(talib): 68.97
3312.TW, Close: 90.00, RSI(talib): 78.37
3413.TW, Close: 396.50, RSI(talib): 78.64
2495.TW, Close: 35.10, RSI(talib): 83.96
6416.TW, Close: 145.00, RSI(talib): 72.90
3010.TW, Close: 142.50, RSI(talib): 74.59
6782.TW, Close: 294.50, RSI(talib): 62.61
2464.TW, Close: 86.90, RSI(talib): 81.76
1618.TW, Close: 57.90, RSI(talib): 60.66
2539.TW, Close: 77.00, RSI(talib): 63.60
6715.TW, Close: 196.00, RSI(talib): 73.14
2472.TW, Close: 84.00, RSI(talib): 60.82
6691.TW, Close: 455.00, RSI(talib): 63.62
4976.TW, Close: 60.00, RSI(talib): 76.03
8110.TW, Close: 21.25, RSI(talib): 64.56
2453.TW, Close: 69.60, RSI(talib): 69.41
3652.TW, Close: 46.00, RSI(talib): 73.17
5203.TW, Close: 107.50, RSI(talib): 65.33
3338.TW, Close: 87.40, RSI(talib): 60.53
6209.TW, Close: 32.00, RSI(talib): 64.27
4306.TW, Close: 21.80, RSI(talib): 62.72
6863.TW, Close: 237.00, RSI(talib): 64.76
3149.TW, Close: 31.75, RSI(talib): 66.72
2535.TW, Close: 56.90, RSI(talib): 63.91
3583.TW, Close: 443.00, RSI(talib): 72.96
6698.TW, Close: 50.80, RSI(talib): 78.44
2349.TW, Close: 19.95, RSI(talib): 94.23
6215.TW, Close: 64.60, RSI(talib): 70.67
