--------------
Tue Jul  9 20:42:25 2024 TW Stock List
--------------
2883.TW, Close: 16.20, RSI(talib): 65.48
2890.TW, Close: 26.60, RSI(talib): 73.43
2891.TW, Close: 39.95, RSI(talib): 72.52
1402.TW, Close: 37.55, RSI(talib): 63.18
2330.TW, Close: 1040.00, RSI(talib): 78.66
2382.TW, Close: 336.00, RSI(talib): 64.16
1216.TW, Close: 84.70, RSI(talib): 62.92
2881.TW, Close: 86.00, RSI(talib): 83.65
1513.TW, Close: 207.50, RSI(talib): 69.42
2317.TW, Close: 225.50, RSI(talib): 70.31
2880.TW, Close: 27.20, RSI(talib): 72.86
2312.TW, Close: 23.55, RSI(talib): 86.65
4960.TW, Close: 16.00, RSI(talib): 81.02
2417.TW, Close: 50.80, RSI(talib): 61.86
2834.TW, Close: 18.40, RSI(talib): 80.32
2867.TW, Close: 7.62, RSI(talib): 60.70
2374.TW, Close: 54.70, RSI(talib): 66.34
3059.TW, Close: 42.15, RSI(talib): 61.95
2476.TW, Close: 110.00, RSI(talib): 61.51
9933.TW, Close: 53.20, RSI(talib): 72.36
2845.TW, Close: 17.05, RSI(talib): 80.21
2812.TW, Close: 19.00, RSI(talib): 67.66
2838.TW, Close: 16.55, RSI(talib): 67.43
4958.TW, Close: 142.00, RSI(talib): 71.09
2454.TW, Close: 1460.00, RSI(talib): 60.15
2406.TW, Close: 26.60, RSI(talib): 60.87
2542.TW, Close: 54.60, RSI(talib): 73.52
2383.TW, Close: 506.00, RSI(talib): 66.44
8028.TW, Close: 112.00, RSI(talib): 81.59
6239.TW, Close: 199.50, RSI(talib): 62.81
1560.TW, Close: 350.00, RSI(talib): 66.79
3050.TW, Close: 24.80, RSI(talib): 77.08
9955.TW, Close: 34.60, RSI(talib): 65.87
3712.TW, Close: 60.10, RSI(talib): 64.36
2327.TW, Close: 745.00, RSI(talib): 67.48
3062.TW, Close: 31.85, RSI(talib): 70.13
3653.TW, Close: 1275.00, RSI(talib): 76.62
2367.TW, Close: 39.90, RSI(talib): 77.24
