--------------
Wed Jul 10 22:49:26 2024 TW Stock List
--------------
2883.TW, Close: 16.65, RSI(talib): 66.54
2890.TW, Close: 26.40, RSI(talib): 70.99
2891.TW, Close: 40.85, RSI(talib): 71.62
1402.TW, Close: 36.95, RSI(talib): 62.89
2330.TW, Close: 1045.00, RSI(talib): 78.86
2382.TW, Close: 341.00, RSI(talib): 70.60
1216.TW, Close: 84.70, RSI(talib): 65.94
2881.TW, Close: 89.10, RSI(talib): 83.66
1513.TW, Close: 228.00, RSI(talib): 74.94
2313.TW, Close: 86.00, RSI(talib): 70.86
2317.TW, Close: 223.50, RSI(talib): 69.15
3711.TW, Close: 179.50, RSI(talib): 66.57
2880.TW, Close: 27.15, RSI(talib): 65.09
2312.TW, Close: 23.50, RSI(talib): 83.73
4960.TW, Close: 16.65, RSI(talib): 61.50
2867.TW, Close: 8.10, RSI(talib): 63.64
6806.TW, Close: 178.00, RSI(talib): 67.61
9933.TW, Close: 52.20, RSI(talib): 61.02
2845.TW, Close: 16.75, RSI(talib): 65.69
2812.TW, Close: 19.15, RSI(talib): 67.50
2838.TW, Close: 16.55, RSI(talib): 61.20
4958.TW, Close: 148.50, RSI(talib): 72.15
2454.TW, Close: 1435.00, RSI(talib): 64.02
2404.TW, Close: 376.50, RSI(talib): 60.01
2406.TW, Close: 26.65, RSI(talib): 60.81
2542.TW, Close: 59.40, RSI(talib): 66.01
2383.TW, Close: 509.00, RSI(talib): 67.99
8028.TW, Close: 123.00, RSI(talib): 74.75
6239.TW, Close: 198.00, RSI(talib): 64.00
1560.TW, Close: 354.50, RSI(talib): 68.66
1514.TW, Close: 160.00, RSI(talib): 60.00
3712.TW, Close: 59.70, RSI(talib): 71.88
2327.TW, Close: 764.00, RSI(talib): 62.10
3062.TW, Close: 32.40, RSI(talib): 60.09
3653.TW, Close: nan, RSI(talib): 69.64
2379.TW, Close: 570.00, RSI(talib): 62.53
2367.TW, Close: 38.45, RSI(talib): 63.30
2449.TW, Close: 135.00, RSI(talib): 78.36
8114.TW, Close: 191.50, RSI(talib): 76.92
6278.TW, Close: 131.00, RSI(talib): 63.70
3665.TW, Close: 386.00, RSI(talib): 71.15
2059.TW, Close: 1365.00, RSI(talib): 66.60
1733.TW, Close: 35.85, RSI(talib): 63.13
3535.TW, Close: 62.30, RSI(talib): 75.89
2489.TW, Close: 22.20, RSI(talib): 62.60
1104.TW, Close: 35.80, RSI(talib): 65.95
6515.TW, Close: 1060.00, RSI(talib): 61.78
3673.TW, Close: 48.80, RSI(talib): 80.24
2360.TW, Close: 325.00, RSI(talib): 64.51
2405.TW, Close: 26.65, RSI(talib): 71.46
6196.TW, Close: 174.00, RSI(talib): 69.08
6414.TW, Close: 345.50, RSI(talib): 62.06
2889.TW, Close: 17.10, RSI(talib): 71.95
6133.TW, Close: 24.00, RSI(talib): 88.45
3047.TW, Close: 42.25, RSI(talib): 73.92
2486.TW, Close: 132.50, RSI(talib): 65.80
2392.TW, Close: 90.00, RSI(talib): 77.34
8105.TW, Close: 18.10, RSI(talib): 78.99
6456.TW, Close: 73.20, RSI(talib): 63.41
3686.TW, Close: 30.00, RSI(talib): 76.46
1447.TW, Close: 10.95, RSI(talib): 66.97
3591.TW, Close: 30.35, RSI(talib): 60.43
2439.TW, Close: 142.00, RSI(talib): 63.96
6581.TW, Close: 112.00, RSI(talib): 63.45
3029.TW, Close: 115.50, RSI(talib): 89.09
2420.TW, Close: 69.00, RSI(talib): 60.64
1736.TW, Close: 105.50, RSI(talib): 68.31
9105.TW, Close: 6.86, RSI(talib): 60.48
5225.TW, Close: 135.00, RSI(talib): 78.19
6442.TW, Close: 432.00, RSI(talib): 68.41
2530.TW, Close: 53.00, RSI(talib): 66.16
3033.TW, Close: 39.80, RSI(talib): 60.98
6789.TW, Close: 369.50, RSI(talib): 65.73
3312.TW, Close: 104.50, RSI(talib): 75.77
3413.TW, Close: 384.00, RSI(talib): 73.35
2495.TW, Close: 34.80, RSI(talib): 64.21
6416.TW, Close: 147.50, RSI(talib): 67.00
3010.TW, Close: 145.00, RSI(talib): 60.84
6409.TW, Close: 2000.00, RSI(talib): 62.43
2464.TW, Close: 94.00, RSI(talib): 72.82
1618.TW, Close: 59.00, RSI(talib): 66.18
6142.TW, Close: 11.55, RSI(talib): 66.67
1809.TW, Close: 27.20, RSI(talib): 64.41
6691.TW, Close: 450.00, RSI(talib): 65.14
2453.TW, Close: 68.20, RSI(talib): 64.98
2243.TW, Close: 20.95, RSI(talib): 61.72
5434.TW, Close: 287.50, RSI(talib): 61.00
4306.TW, Close: 21.90, RSI(talib): 63.96
1608.TW, Close: nan, RSI(talib): 60.45
1616.TW, Close: 26.50, RSI(talib): 62.77
3583.TW, Close: 434.00, RSI(talib): 72.47
6698.TW, Close: 51.80, RSI(talib): 70.43
6215.TW, Close: 63.30, RSI(talib): 62.07
4526.TW, Close: 33.50, RSI(talib): 67.19
2855.TW, Close: 30.05, RSI(talib): 60.89
1540.TW, Close: 23.60, RSI(talib): 67.96
6757.TW, Close: 74.00, RSI(talib): 90.79
3450.TW, Close: 145.00, RSI(talib): 65.63
2543.TW, Close: 59.20, RSI(talib): 72.44
2365.TW, Close: 55.50, RSI(talib): 69.50
1463.TW, Close: 22.15, RSI(talib): 70.50
6216.TW, Close: 49.75, RSI(talib): 60.62
6805.TW, Close: 767.00, RSI(talib): 64.81
2467.TW, Close: 204.00, RSI(talib): 73.54
6472.TW, Close: 866.00, RSI(talib): 65.02
8467.TW, Close: 191.50, RSI(talib): 68.44
6869.TW, Close: 264.00, RSI(talib): 73.09
8039.TW, Close: 60.60, RSI(talib): 64.16
6449.TW, Close: 162.50, RSI(talib): 62.19
2109.TW, Close: 19.30, RSI(talib): 69.91
6446.TW, Close: 578.00, RSI(talib): 71.36
2514.TW, Close: 26.10, RSI(talib): 68.75
3048.TW, Close: 51.90, RSI(talib): 65.14
8374.TW, Close: 115.50, RSI(talib): 63.84
6706.TW, Close: 135.50, RSI(talib): 74.06
6890.TW, Close: 303.00, RSI(talib): 72.56
4562.TW, Close: 70.90, RSI(talib): 64.99
6152.TW, Close: 18.65, RSI(talib): 79.52
1436.TW, Close: 200.50, RSI(talib): 78.49
--------------
2342.TW failed ('NoneType' object has no attribute 'text').
1907.TW failed ('NoneType' object has no attribute 'text').
