--------------
Thu Jul 11 23:09:19 2024 TW Stock List
--------------
2883.TW, Close: 16.80, RSI(talib): 71.35
2890.TW, Close: 26.55, RSI(talib): 67.08
2891.TW, Close: 40.25, RSI(talib): 76.73
2330.TW, Close: 1080.00, RSI(talib): 79.49
2882.TW, Close: 65.50, RSI(talib): 71.02
2382.TW, Close: 332.50, RSI(talib): 72.29
1216.TW, Close: 85.50, RSI(talib): 65.94
2881.TW, Close: 92.40, RSI(talib): 87.48
1513.TW, Close: 228.00, RSI(talib): 83.22
2354.TW, Close: 73.00, RSI(talib): 61.84
2313.TW, Close: 90.30, RSI(talib): 70.51
2317.TW, Close: 225.50, RSI(talib): 66.91
3711.TW, Close: 193.50, RSI(talib): 65.81
2880.TW, Close: 27.50, RSI(talib): 63.91
2312.TW, Close: 25.85, RSI(talib): 83.16
2884.TW, Close: 29.85, RSI(talib): 65.94
4960.TW, Close: 16.60, RSI(talib): 65.57
2417.TW, Close: 51.70, RSI(talib): 60.34
2867.TW, Close: 8.30, RSI(talib): 72.58
3532.TW, Close: 182.50, RSI(talib): 61.30
6806.TW, Close: 181.50, RSI(talib): 72.55
2545.TW, Close: 63.50, RSI(talib): 61.97
2812.TW, Close: 19.75, RSI(talib): 70.44
2838.TW, Close: 16.80, RSI(talib): 61.20
4958.TW, Close: 153.00, RSI(talib): 77.27
2442.TW, Close: 33.85, RSI(talib): 65.48
2406.TW, Close: 27.20, RSI(talib): 61.05
2542.TW, Close: 60.00, RSI(talib): 77.93
2383.TW, Close: 500.00, RSI(talib): 68.83
2024.TW, Close: 22.70, RSI(talib): 62.66
8028.TW, Close: 125.00, RSI(talib): 79.32
6239.TW, Close: 194.50, RSI(talib): 61.94
1560.TW, Close: nan, RSI(talib): 69.98
1514.TW, Close: 159.00, RSI(talib): 67.25
3712.TW, Close: 65.60, RSI(talib): 70.24
2327.TW, Close: 797.00, RSI(talib): 67.35
3062.TW, Close: 32.25, RSI(talib): 61.87
3653.TW, Close: 1285.00, RSI(talib): 68.04
2379.TW, Close: 581.00, RSI(talib): 60.90
2449.TW, Close: 131.00, RSI(talib): 80.19
8114.TW, Close: nan, RSI(talib): 79.15
3665.TW, Close: 402.00, RSI(talib): 73.02
2915.TW, Close: 75.30, RSI(talib): 62.16
2731.TW, Close: 159.00, RSI(talib): 60.64
2059.TW, Close: 1310.00, RSI(talib): 67.68
1733.TW, Close: 35.20, RSI(talib): 61.50
3535.TW, Close: 68.50, RSI(talib): 79.86
2489.TW, Close: 22.30, RSI(talib): 68.56
3673.TW, Close: 48.80, RSI(talib): 80.63
2360.TW, Close: 338.00, RSI(talib): 64.08
2405.TW, Close: 25.85, RSI(talib): 72.47
2428.TW, Close: 184.50, RSI(talib): 62.97
6196.TW, Close: 171.50, RSI(talib): 65.94
3167.TW, Close: nan, RSI(talib): 61.10
3607.TW, Close: 22.05, RSI(talib): 65.87
2889.TW, Close: 17.10, RSI(talib): 73.32
6133.TW, Close: 23.45, RSI(talib): 89.77
3047.TW, Close: 46.45, RSI(talib): 76.67
2486.TW, Close: 138.00, RSI(talib): 60.05
2392.TW, Close: 89.60, RSI(talib): 78.06
8105.TW, Close: 18.30, RSI(talib): 68.10
6456.TW, Close: 72.10, RSI(talib): 68.80
3686.TW, Close: 30.65, RSI(talib): 71.49
1447.TW, Close: 9.86, RSI(talib): 68.75
2439.TW, Close: 138.50, RSI(talib): 65.24
6581.TW, Close: 112.00, RSI(talib): 64.38
3029.TW, Close: 113.00, RSI(talib): 87.67
6438.TW, Close: 129.00, RSI(talib): 60.53
1736.TW, Close: 107.50, RSI(talib): 78.73
9105.TW, Close: 7.18, RSI(talib): 61.01
5225.TW, Close: 135.50, RSI(talib): 79.49
6442.TW, Close: 475.00, RSI(talib): 73.29
2530.TW, Close: 54.00, RSI(talib): 71.51
1442.TW, Close: 65.80, RSI(talib): 67.27
3033.TW, Close: 40.10, RSI(talib): 64.33
6789.TW, Close: 374.50, RSI(talib): 67.57
3312.TW, Close: 108.00, RSI(talib): 80.98
3413.TW, Close: 377.00, RSI(talib): 69.56
2495.TW, Close: 34.30, RSI(talib): 64.60
6416.TW, Close: 151.00, RSI(talib): 71.09
3010.TW, Close: 149.50, RSI(talib): 62.96
6409.TW, Close: 1965.00, RSI(talib): 68.58
2464.TW, Close: 89.60, RSI(talib): 77.78
2539.TW, Close: 77.20, RSI(talib): 62.27
1503.TW, Close: 292.50, RSI(talib): 60.92
2472.TW, Close: 88.70, RSI(talib): 62.13
6691.TW, Close: 447.00, RSI(talib): 64.32
3056.TW, Close: 35.85, RSI(talib): 61.24
2243.TW, Close: 23.00, RSI(talib): 72.85
3652.TW, Close: nan, RSI(talib): 64.67
5203.TW, Close: 107.00, RSI(talib): 60.71
5434.TW, Close: 295.00, RSI(talib): 63.12
6177.TW, Close: 63.70, RSI(talib): 61.24
4306.TW, Close: 22.75, RSI(talib): 64.96
1616.TW, Close: 25.40, RSI(talib): 63.28
3583.TW, Close: 438.00, RSI(talib): 67.40
6698.TW, Close: 49.75, RSI(talib): 68.59
6215.TW, Close: 62.80, RSI(talib): 62.58
4526.TW, Close: 32.50, RSI(talib): 67.19
2855.TW, Close: 30.20, RSI(talib): 61.69
1540.TW, Close: 25.95, RSI(talib): 67.96
2316.TW, Close: 55.30, RSI(talib): 69.64
6757.TW, Close: 70.00, RSI(talib): 91.02
2905.TW, Close: 17.30, RSI(talib): 62.92
3450.TW, Close: 143.50, RSI(talib): 71.76
2543.TW, Close: 59.30, RSI(talib): 69.23
2365.TW, Close: 57.80, RSI(talib): 73.90
1463.TW, Close: 22.00, RSI(talib): 71.13
2467.TW, Close: 204.50, RSI(talib): 71.64
4956.TW, Close: 28.15, RSI(talib): 60.10
2362.TW, Close: 56.50, RSI(talib): 60.83
6472.TW, Close: 855.00, RSI(talib): 61.75
8467.TW, Close: 203.00, RSI(talib): 65.27
6869.TW, Close: 259.50, RSI(talib): 74.95
8039.TW, Close: 61.50, RSI(talib): 60.71
6449.TW, Close: 168.00, RSI(talib): 63.46
2348.TW, Close: 264.00, RSI(talib): 63.71
6446.TW, Close: 584.00, RSI(talib): 72.76
2514.TW, Close: 25.70, RSI(talib): 69.25
3048.TW, Close: 50.10, RSI(talib): 70.80
8374.TW, Close: nan, RSI(talib): 66.56
6706.TW, Close: 122.00, RSI(talib): 79.41
4562.TW, Close: 66.50, RSI(talib): 69.16
6152.TW, Close: 18.75, RSI(talib): 72.25
1436.TW, Close: 201.50, RSI(talib): 79.14
--------------
2476.TW failed ('NoneType' object has no attribute 'text').
1313.TW failed (HTTPSConnectionPool(host='finance.yahoo.com', port=443): Read timed out. (read timeout=None)).
1104.TW failed ('NoneType' object has no attribute 'text').
2102.TW failed (('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))).
8131.TW failed (('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))).
