--------------
Fri Jul 19 21:09:04 2024 TW Stock List
--------------
2890.TW, Close: 26.60, RSI(talib): 65.14
2882.TW, Close: 62.60, RSI(talib): 63.87
1216.TW, Close: 86.90, RSI(talib): 69.40
2881.TW, Close: nan, RSI(talib): 71.75
1513.TW, Close: 220.50, RSI(talib): 68.73
2880.TW, Close: 27.40, RSI(talib): 64.20
2312.TW, Close: 25.50, RSI(talib): 75.77
2884.TW, Close: 30.25, RSI(talib): 74.42
2867.TW, Close: 8.06, RSI(talib): 66.81
3037.TW, Close: 192.50, RSI(talib): 64.41
6806.TW, Close: 174.50, RSI(talib): 62.72
2545.TW, Close: 63.70, RSI(talib): 66.94
2812.TW, Close: 19.60, RSI(talib): 76.42
1609.TW, Close: 59.00, RSI(talib): 66.08
2542.TW, Close: 63.80, RSI(talib): 87.13
1440.TW, Close: 17.80, RSI(talib): 66.90
2024.TW, Close: 23.05, RSI(talib): 60.92
1514.TW, Close: 156.00, RSI(talib): 61.04
9945.TW, Close: 48.05, RSI(talib): 70.81
3712.TW, Close: 61.40, RSI(talib): 64.56
2327.TW, Close: 766.00, RSI(talib): 66.43
3062.TW, Close: 31.30, RSI(talib): 60.67
2888.TW, Close: 10.85, RSI(talib): 64.17
1808.TW, Close: 115.00, RSI(talib): 64.02
3665.TW, Close: 392.00, RSI(talib): 60.53
2915.TW, Close: 78.80, RSI(talib): 75.80
2731.TW, Close: 162.00, RSI(talib): 66.12
3535.TW, Close: 68.50, RSI(talib): 72.37
2489.TW, Close: 23.50, RSI(talib): 65.35
3673.TW, Close: 49.80, RSI(talib): 72.79
2538.TW, Close: 21.50, RSI(talib): 70.74
2520.TW, Close: 63.20, RSI(talib): 72.27
3013.TW, Close: 120.50, RSI(talib): 73.65
6605.TW, Close: 272.00, RSI(talib): 62.88
3008.TW, Close: 2900.00, RSI(talib): 61.45
3607.TW, Close: 19.80, RSI(talib): 61.29
6133.TW, Close: 22.20, RSI(talib): 69.01
3047.TW, Close: 40.45, RSI(talib): 63.52
1727.TW, Close: 35.75, RSI(talib): 80.02
8105.TW, Close: 22.00, RSI(talib): 81.02
2534.TW, Close: 29.50, RSI(talib): 71.13
3029.TW, Close: 114.00, RSI(talib): 69.81
1736.TW, Close: 119.00, RSI(talib): 84.06
5225.TW, Close: 136.50, RSI(talib): 69.08
4720.TW, Close: 24.35, RSI(talib): 72.50
6442.TW, Close: 535.00, RSI(talib): 81.50
2102.TW, Close: 21.75, RSI(talib): 81.40
2530.TW, Close: 53.80, RSI(talib): 68.13
1442.TW, Close: 65.90, RSI(talib): 67.91
3010.TW, Close: 150.00, RSI(talib): 62.77
2464.TW, Close: 86.10, RSI(talib): 64.69
1720.TW, Close: 73.50, RSI(talib): 64.77
9938.TW, Close: 67.60, RSI(talib): 66.80
2539.TW, Close: 75.40, RSI(talib): 67.95
6142.TW, Close: 11.45, RSI(talib): 65.69
2472.TW, Close: 86.60, RSI(talib): 63.81
2393.TW, Close: 79.60, RSI(talib): 61.27
2739.TW, Close: 64.70, RSI(talib): 60.76
3056.TW, Close: 37.40, RSI(talib): 73.64
2243.TW, Close: 31.35, RSI(talib): 84.09
3652.TW, Close: 45.95, RSI(talib): 60.58
5203.TW, Close: 108.00, RSI(talib): 60.63
6177.TW, Close: 67.20, RSI(talib): 68.70
2547.TW, Close: 11.45, RSI(talib): 63.58
4566.TW, Close: 112.00, RSI(talib): 62.12
2535.TW, Close: 58.40, RSI(talib): 64.86
2548.TW, Close: 165.00, RSI(talib): 68.10
2015.TW, Close: 78.80, RSI(talib): 63.39
2349.TW, Close: 16.45, RSI(talib): 63.91
1806.TW, Close: 12.85, RSI(talib): 62.65
1540.TW, Close: 33.35, RSI(talib): 91.65
8021.TW, Close: 35.15, RSI(talib): 64.43
3021.TW, Close: 27.05, RSI(talib): 60.09
2537.TW, Close: 26.05, RSI(talib): 73.45
2905.TW, Close: 18.35, RSI(talib): 67.78
2025.TW, Close: 12.80, RSI(talib): 62.98
3450.TW, Close: 137.00, RSI(talib): 69.27
2543.TW, Close: 60.50, RSI(talib): 67.78
2365.TW, Close: 63.80, RSI(talib): 81.67
1463.TW, Close: 23.15, RSI(talib): 73.45
2467.TW, Close: 215.00, RSI(talib): 68.13
4956.TW, Close: 28.35, RSI(talib): 60.42
2362.TW, Close: 57.30, RSI(talib): 61.36
6472.TW, Close: 900.00, RSI(talib): 61.44
8467.TW, Close: 229.00, RSI(talib): 82.95
2528.TW, Close: 49.95, RSI(talib): 78.98
6869.TW, Close: 300.00, RSI(talib): 72.87
8039.TW, Close: 60.30, RSI(talib): 65.17
5534.TW, Close: 132.00, RSI(talib): 68.01
2506.TW, Close: 12.20, RSI(talib): 61.34
2511.TW, Close: 12.75, RSI(talib): 63.53
5519.TW, Close: 52.00, RSI(talib): 68.76
2348.TW, Close: 333.50, RSI(talib): 78.39
2540.TW, Close: 217.00, RSI(talib): 67.40
6446.TW, Close: 648.00, RSI(talib): 79.32
2514.TW, Close: 25.75, RSI(talib): 60.30
3048.TW, Close: 47.20, RSI(talib): 60.21
8374.TW, Close: 114.00, RSI(talib): 62.77
6706.TW, Close: 122.00, RSI(talib): 63.99
1436.TW, Close: 180.00, RSI(talib): 65.79
1597.TW, Close: 101.50, RSI(talib): 74.70
2524.TW, Close: 75.20, RSI(talib): 82.52
8473.TW, Close: 56.90, RSI(talib): 69.98
1456.TW, Close: 23.95, RSI(talib): 64.72
--------------
2495.TW failed (index 0 is out of bounds for axis 0 with size 0).
2461.TW failed ('NoneType' object has no attribute 'text').
3014.TW failed ('NoneType' object has no attribute 'text').
