--------------
Mon Jul 22 22:14:07 2024 TW Stock List
--------------
2890.TW, Close: 26.30, RSI(talib): 61.91
1216.TW, Close: 88.30, RSI(talib): 64.65
1513.TW, Close: 209.50, RSI(talib): 66.17
2880.TW, Close: 27.25, RSI(talib): 60.29
2312.TW, Close: 23.95, RSI(talib): 70.76
6806.TW, Close: 176.00, RSI(talib): 64.18
2545.TW, Close: 62.10, RSI(talib): 64.18
2812.TW, Close: 19.55, RSI(talib): 64.79
1609.TW, Close: 56.00, RSI(talib): 69.22
2542.TW, Close: 60.60, RSI(talib): 75.93
8028.TW, Close: 107.50, RSI(talib): 63.34
2504.TW, Close: 48.05, RSI(talib): 60.69
1514.TW, Close: 148.00, RSI(talib): 63.23
9945.TW, Close: 46.55, RSI(talib): 62.87
3712.TW, Close: nan, RSI(talib): 60.25
8114.TW, Close: 189.50, RSI(talib): 63.01
3665.TW, Close: 388.00, RSI(talib): 60.36
2915.TW, Close: 77.60, RSI(talib): 66.21
3535.TW, Close: 66.60, RSI(talib): 66.06
3673.TW, Close: 47.05, RSI(talib): 63.98
2538.TW, Close: 20.75, RSI(talib): 66.71
2520.TW, Close: 61.50, RSI(talib): 62.22
3013.TW, Close: 116.50, RSI(talib): 66.83
6605.TW, Close: 264.50, RSI(talib): 67.61
6133.TW, Close: 20.60, RSI(talib): 69.71
3047.TW, Close: 37.25, RSI(talib): 61.41
1727.TW, Close: 32.80, RSI(talib): 67.55
8105.TW, Close: 20.45, RSI(talib): 70.85
3686.TW, Close: 33.10, RSI(talib): 60.84
2534.TW, Close: 29.20, RSI(talib): 76.07
1447.TW, Close: 10.20, RSI(talib): 60.42
9939.TW, Close: 165.50, RSI(talib): 60.73
3029.TW, Close: 112.00, RSI(talib): 74.80
1736.TW, Close: 123.00, RSI(talib): 86.01
5225.TW, Close: 127.00, RSI(talib): 61.48
4720.TW, Close: 23.80, RSI(talib): 67.12
6442.TW, Close: 481.50, RSI(talib): 79.52
2530.TW, Close: 53.30, RSI(talib): 67.95
1529.TW, Close: 39.00, RSI(talib): 66.24
3010.TW, Close: 144.00, RSI(talib): 63.15
2464.TW, Close: 83.60, RSI(talib): 61.13
9938.TW, Close: 68.10, RSI(talib): 60.62
3056.TW, Close: 37.00, RSI(talib): 67.06
2243.TW, Close: 28.25, RSI(talib): 88.04
6177.TW, Close: 66.70, RSI(talib): 64.54
2547.TW, Close: 11.25, RSI(talib): 66.53
4566.TW, Close: 101.00, RSI(talib): 68.92
2535.TW, Close: 58.50, RSI(talib): 73.82
2548.TW, Close: 160.00, RSI(talib): 64.41
8011.TW, Close: 27.20, RSI(talib): 65.12
2349.TW, Close: 16.90, RSI(talib): 64.45
1806.TW, Close: 12.75, RSI(talib): 65.10
1540.TW, Close: 31.50, RSI(talib): 80.79
2537.TW, Close: 24.35, RSI(talib): 65.14
2905.TW, Close: 18.30, RSI(talib): 62.19
2025.TW, Close: 12.60, RSI(talib): 60.13
2543.TW, Close: 61.10, RSI(talib): 63.85
2365.TW, Close: 63.50, RSI(talib): 73.29
1463.TW, Close: 23.30, RSI(talib): 75.63
2467.TW, Close: 215.00, RSI(talib): 72.45
8467.TW, Close: 237.50, RSI(talib): 70.42
2528.TW, Close: 48.40, RSI(talib): 60.08
6869.TW, Close: 330.00, RSI(talib): 78.10
5534.TW, Close: 129.50, RSI(talib): 69.60
2511.TW, Close: 12.50, RSI(talib): 64.68
5519.TW, Close: 52.00, RSI(talib): 60.75
2348.TW, Close: 331.50, RSI(talib): 79.55
2540.TW, Close: 213.00, RSI(talib): 64.85
6446.TW, Close: 624.00, RSI(talib): 80.76
3052.TW, Close: 13.90, RSI(talib): 70.19
8374.TW, Close: 125.00, RSI(talib): 62.67
1597.TW, Close: 98.00, RSI(talib): 68.71
2524.TW, Close: 72.00, RSI(talib): 75.57
8473.TW, Close: 51.30, RSI(talib): 78.23
1456.TW, Close: 21.60, RSI(talib): 77.27
--------------
3711.TW failed ('NoneType' object has no attribute 'text').
1313.TW failed (('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))).
2363.TW failed (index 0 is out of bounds for axis 0 with size 0).
4770.TW failed ('NoneType' object has no attribute 'text').
6715.TW failed (inputs are all NaN).
6214.TW failed (inputs are all NaN).
