--------------
Wed Aug 28 01:24:18 2024 TW Stock List
--------------
2881.TW, Close: 92.20, RSI(talib): 62.79
2357.TW, Close: 554.00, RSI(talib): 69.68
2867.TW, Close: 8.12, RSI(talib): 63.00
3645.TW, Close: 59.20, RSI(talib): 67.96
1220.TW, Close: 17.05, RSI(talib): 70.17
8028.TW, Close: 135.50, RSI(talib): 63.15
2504.TW, Close: 52.20, RSI(talib): 60.42
2474.TW, Close: 237.50, RSI(talib): 63.16
1711.TW, Close: 24.60, RSI(talib): 69.03
2888.TW, Close: 12.90, RSI(talib): 77.72
3665.TW, Close: 469.50, RSI(talib): 71.48   !
2915.TW, Close: 80.60, RSI(talib): 60.45
3535.TW, Close: 78.70, RSI(talib): 60.66
4583.TW, Close: 457.50, RSI(talib): 76.88   !
3019.TW, Close: 120.50, RSI(talib): 65.71
8070.TW, Close: 59.90, RSI(talib): 85.74    !
6515.TW, Close: 1145.00, RSI(talib): 65.14
8464.TW, Close: 467.50, RSI(talib): 63.31
3003.TW, Close: 86.00, RSI(talib): 66.76
6415.TW, Close: 482.00, RSI(talib): 61.97
3167.TW, Close: 94.90, RSI(talib): 65.31
3607.TW, Close: 21.70, RSI(talib): 62.52
6133.TW, Close: 23.00, RSI(talib): 61.46
1727.TW, Close: 33.80, RSI(talib): 64.43
6197.TW, Close: 183.00, RSI(talib): 60.62
6438.TW, Close: 126.00, RSI(talib): 65.32
1736.TW, Close: 122.50, RSI(talib): 60.73
5225.TW, Close: 146.00, RSI(talib): 63.73
6416.TW, Close: 139.50, RSI(talib): 67.15
6409.TW, Close: 2065.00, RSI(talib): 63.51
6753.TW, Close: 142.00, RSI(talib): 64.36
5234.TW, Close: 166.50, RSI(talib): 68.12
3149.TW, Close: 28.00, RSI(talib): 67.54
2015.TW, Close: 83.00, RSI(talib): 63.26
4526.TW, Close: 31.95, RSI(talib): 63.74
1540.TW, Close: 42.20, RSI(talib): 69.07
8021.TW, Close: 40.00, RSI(talib): 65.73
9927.TW, Close: 77.60, RSI(talib): 60.32
3450.TW, Close: 145.50, RSI(talib): 62.28
2543.TW, Close: 75.50, RSI(talib): 69.53
2488.TW, Close: 48.30, RSI(talib): 62.05
6805.TW, Close: 835.00, RSI(talib): 62.69
2467.TW, Close: 249.00, RSI(talib): 71.51
8039.TW, Close: 72.70, RSI(talib): 82.88    !
3605.TW, Close: 53.80, RSI(talib): 65.12
2062.TW, Close: 40.25, RSI(talib): 66.83
5306.TW, Close: 156.50, RSI(talib): 69.51
1786.TW, Close: 131.00, RSI(talib): 60.81
8374.TW, Close: 148.50, RSI(talib): 60.94
4540.TW, Close: 47.50, RSI(talib): 63.42
8438.TW, Close: 48.95, RSI(talib): 63.41
9906.TW, Close: 209.50, RSI(talib): 63.46
--------------
1701.TW failed (index 0 is out of bounds for axis 0 with size 0).
