--------------
Tue Nov  5 20:48:02 2024 TW Stock List
--------------

--------------
2634.TW failed (unsupported format string passed to NoneType.__format__)
3189.TW failed (unsupported format string passed to NoneType.__format__)
5608.TW failed (unsupported format string passed to NoneType.__format__)
3545.TW failed (unsupported format string passed to NoneType.__format__)
2515.TW failed (unsupported format string passed to NoneType.__format__)
5388.TW failed (unsupported format string passed to NoneType.__format__)
6269.TW failed (unsupported format string passed to NoneType.__format__)
2404.TW failed (unsupported format string passed to NoneType.__format__)
3653.TW failed (unsupported format string passed to NoneType.__format__)
2379.TW failed (unsupported format string passed to NoneType.__format__)
8478.TW failed (unsupported format string passed to NoneType.__format__)
3034.TW failed (unsupported format string passed to NoneType.__format__)
2489.TW failed (unsupported format string passed to NoneType.__format__)
1712.TW failed (unsupported format string passed to NoneType.__format__)
1476.TW failed (unsupported format string passed to NoneType.__format__)
8070.TW failed (unsupported format string passed to NoneType.__format__)
8454.TW failed (unsupported format string passed to NoneType.__format__)
1471.TW failed (unsupported format string passed to NoneType.__format__)
3494.TW failed (unsupported format string passed to NoneType.__format__)
1727.TW failed (unsupported format string passed to NoneType.__format__)
2395.TW failed (unsupported format string passed to NoneType.__format__)
3033.TW failed (unsupported format string passed to NoneType.__format__)
2402.TW failed (unsupported format string passed to NoneType.__format__)
1467.TW failed (unsupported format string passed to NoneType.__format__)
9942.TW failed (unsupported format string passed to NoneType.__format__)
5203.TW failed (unsupported format string passed to NoneType.__format__)
3338.TW failed (unsupported format string passed to NoneType.__format__)
5521.TW failed (unsupported format string passed to NoneType.__format__)
3715.TW failed (unsupported format string passed to NoneType.__format__)
2706.TW failed (unsupported format string passed to NoneType.__format__)
2905.TW failed (unsupported format string passed to NoneType.__format__)
3622.TW failed (unsupported format string passed to NoneType.__format__)
2852.TW failed (unsupported format string passed to NoneType.__format__)
6165.TW failed (unsupported format string passed to NoneType.__format__)
6790.TW failed (unsupported format string passed to NoneType.__format__)
2506.TW failed (unsupported format string passed to NoneType.__format__)
3060.TW failed (unsupported format string passed to NoneType.__format__)
2511.TW failed (unsupported format string passed to NoneType.__format__)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
