--------------
Wed Dec 25 22:14:31 2024 TW Stock List
--------------

--------------
1734.TW (Close: 29.40) failed (unsupported format string passed to NoneType.__format__)
2801.TW (Close: 17.75) failed (unsupported format string passed to NoneType.__format__)
1605.TW (Close: 24.70) failed (unsupported format string passed to NoneType.__format__)
1709.TW (Close: 20.70) failed (unsupported format string passed to NoneType.__format__)
3035.TW (Close: 235.00) failed (unsupported format string passed to NoneType.__format__)
1789.TW (Close: 22.35) failed (unsupported format string passed to NoneType.__format__)
1217.TW (Close: 11.75) failed (unsupported format string passed to NoneType.__format__)
5243.TW (Close: 70.50) failed (unsupported format string passed to NoneType.__format__)
6781.TW (Close: 1075.00) failed (unsupported format string passed to NoneType.__format__)
6278.TW (Close: 108.50) failed (unsupported format string passed to NoneType.__format__)
2233.TW (Close: 265.00) failed (unsupported format string passed to NoneType.__format__)
2723.TW (Close: 98.10) failed (unsupported format string passed to NoneType.__format__)
2395.TW (Close: 351.50) failed (unsupported format string passed to NoneType.__format__)
2102.TW (Close: 18.80) failed (unsupported format string passed to NoneType.__format__)
2530.TW (Close: 39.00) failed (unsupported format string passed to NoneType.__format__)
3305.TW (Close: 64.20) failed (unsupported format string passed to NoneType.__format__)
5203.TW (Close: 92.70) failed (unsupported format string passed to NoneType.__format__)
3338.TW (Close: 64.10) failed (unsupported format string passed to NoneType.__format__)
2365.TW (Close: 51.40) failed (unsupported format string passed to NoneType.__format__)
1339.TW (Close: 55.10) failed (unsupported format string passed to NoneType.__format__)
2762.TW (Close: 95.80) failed (unsupported format string passed to NoneType.__format__)
6283.TW (Close: 28.20) failed (unsupported format string passed to NoneType.__format__)
4912.TW (Close: 148.00) failed (Page.goto: net::ERR_CONNECTION_RESET at https://finance.yahoo.com/quote/4912.TW/key-statistics
Call log:
navigating to "https://finance.yahoo.com/quote/4912.TW/key-statistics", waiting until "domcontentloaded"
)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
