--------------
Thu Dec 26 21:00:43 2024 TW Stock List
--------------

--------------
1708.TW (Close: 37.95) failed (unsupported format string passed to NoneType.__format__)
3576.TW (Close: 10.55) failed (unsupported format string passed to NoneType.__format__)
2886.TW (Close: 38.75) failed (unsupported format string passed to NoneType.__format__)
2312.TW (Close: 26.90) failed (unsupported format string passed to NoneType.__format__)
2884.TW (Close: 27.40) failed (unsupported format string passed to NoneType.__format__)
4960.TW (Close: 13.35) failed (unsupported format string passed to NoneType.__format__)
4958.TW (Close: 124.00) failed (unsupported format string passed to NoneType.__format__)
2371.TW (Close: 46.30) failed (unsupported format string passed to NoneType.__format__)
2379.TW (Close: 553.00) failed (unsupported format string passed to NoneType.__format__)
8478.TW (Close: 209.50) failed (unsupported format string passed to NoneType.__format__)
3011.TW (Close: 22.75) failed (unsupported format string passed to NoneType.__format__)
2069.TW (Close: 16.35) failed (unsupported format string passed to NoneType.__format__)
1471.TW (Close: 13.55) failed (unsupported format string passed to NoneType.__format__)
3494.TW (Close: 17.45) failed (unsupported format string passed to NoneType.__format__)
9942.TW (Close: 113.50) failed (unsupported format string passed to NoneType.__format__)
2413.TW (Close: 26.75) failed (unsupported format string passed to NoneType.__format__)
2468.TW (Close: 28.55) failed (unsupported format string passed to NoneType.__format__)
3032.TW (Close: 103.00) failed (unsupported format string passed to NoneType.__format__)
5469.TW (Close: 52.00) failed (unsupported format string passed to NoneType.__format__)
6672.TW (Close: 63.40) failed (unsupported format string passed to NoneType.__format__)
2543.TW (Close: 71.80) failed (unsupported format string passed to NoneType.__format__)
3694.TW (Close: 57.00) failed (unsupported format string passed to NoneType.__format__)
1725.TW (Close: 36.80) failed (unsupported format string passed to NoneType.__format__)
2477.TW (Close: 28.75) failed (unsupported format string passed to NoneType.__format__)
9935.TW (Close: 29.50) failed (unsupported format string passed to NoneType.__format__)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
