--------------
Thu Jan  2 23:25:13 2025 TW Stock List
--------------

--------------
2006.TW (Close: 67.00) failed (unsupported format string passed to NoneType.__format__)
1760.TW (Close: 82.70) failed (unsupported format string passed to NoneType.__format__)
2454.TW (Close: 1350.00) failed (unsupported format string passed to NoneType.__format__)
2542.TW (Close: 43.75) failed (unsupported format string passed to NoneType.__format__)
6239.TW (Close: 119.00) failed (unsupported format string passed to NoneType.__format__)
1560.TW (Close: 282.00) failed (unsupported format string passed to NoneType.__format__)
1717.TW (Close: 27.70) failed (unsupported format string passed to NoneType.__format__)
2611.TW (Close: 21.85) failed (unsupported format string passed to NoneType.__format__)
2613.TW (Close: 35.40) failed (unsupported format string passed to NoneType.__format__)
2608.TW (Close: 38.70) failed (unsupported format string passed to NoneType.__format__)
1733.TW (Close: 29.90) failed (unsupported format string passed to NoneType.__format__)
2032.TW (Close: 13.30) failed (unsupported format string passed to NoneType.__format__)
3011.TW (Close: 21.25) failed (unsupported format string passed to NoneType.__format__)
2069.TW (Close: 15.65) failed (unsupported format string passed to NoneType.__format__)
5269.TW (Close: 1910.00) failed (unsupported format string passed to NoneType.__format__)
5285.TW (Close: 50.00) failed (unsupported format string passed to NoneType.__format__)
2395.TW (Close: 344.00) failed (unsupported format string passed to NoneType.__format__)
6670.TW (Close: 320.50) failed (unsupported format string passed to NoneType.__format__)
6206.TW (Close: 87.00) failed (unsupported format string passed to NoneType.__format__)
4763.TW (Close: 872.00) failed (unsupported format string passed to NoneType.__format__)
3413.TW (Close: 305.00) failed (unsupported format string passed to NoneType.__format__)
2495.TW (Close: 31.65) failed (unsupported format string passed to NoneType.__format__)
6416.TW (Close: 112.50) failed (unsupported format string passed to NoneType.__format__)
3094.TW (Close: 29.00) failed (unsupported format string passed to NoneType.__format__)
4306.TW (Close: 17.25) failed (unsupported format string passed to NoneType.__format__)
3058.TW (Close: 16.15) failed (unsupported format string passed to NoneType.__format__)
4566.TW (Close: 78.50) failed (unsupported format string passed to NoneType.__format__)
1608.TW (Close: 25.95) failed (unsupported format string passed to NoneType.__format__)
6215.TW (Close: 94.00) failed (unsupported format string passed to NoneType.__format__)
8467.TW (Close: 280.00) failed (unsupported format string passed to NoneType.__format__)
2423.TW (Close: 41.80) failed (unsupported format string passed to NoneType.__format__)
2528.TW (Close: 42.65) failed (unsupported format string passed to NoneType.__format__)
8039.TW (Close: 45.00) failed (unsupported format string passed to NoneType.__format__)
3296.TW (Close: 29.75) failed (unsupported format string passed to NoneType.__format__)
4912.TW (Close: 156.00) failed (unsupported format string passed to NoneType.__format__)
2597.TW (Close: 151.50) failed (unsupported format string passed to NoneType.__format__)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
