--------------
Wed Jan  8 22:51:18 2025 TW Stock List
--------------

--------------
2892.TW (Close: 27.70) failed (unsupported format string passed to NoneType.__format__)
2882.TW (Close: 68.80) failed (unsupported format string passed to NoneType.__format__)
2024.TW (Close: 19.00) failed (unsupported format string passed to NoneType.__format__)
2702.TW (Close: 16.05) failed (unsupported format string passed to NoneType.__format__)
2614.TW (Close: 16.60) failed (unsupported format string passed to NoneType.__format__)
3443.TW (Close: 1290.00) failed (unsupported format string passed to NoneType.__format__)
8215.TW (Close: 30.10) failed (unsupported format string passed to NoneType.__format__)
2484.TW (Close: 25.25) failed (unsupported format string passed to NoneType.__format__)
3706.TW (Close: 70.80) failed (unsupported format string passed to NoneType.__format__)
2363.TW (Close: 67.50) failed (unsupported format string passed to NoneType.__format__)
6120.TW (Close: 12.50) failed (unsupported format string passed to NoneType.__format__)
3038.TW (Close: 27.25) failed (unsupported format string passed to NoneType.__format__)
3047.TW (Close: 30.05) failed (unsupported format string passed to NoneType.__format__)
5284.TW (Close: 177.00) failed (unsupported format string passed to NoneType.__format__)
5607.TW (Close: 42.30) failed (unsupported format string passed to NoneType.__format__)
3413.TW (Close: 315.00) failed (unsupported format string passed to NoneType.__format__)
4306.TW (Close: 16.95) failed (unsupported format string passed to NoneType.__format__)
3058.TW (Close: 15.60) failed (unsupported format string passed to NoneType.__format__)
4566.TW (Close: 81.50) failed (unsupported format string passed to NoneType.__format__)
1608.TW (Close: 25.40) failed (unsupported format string passed to NoneType.__format__)
5515.TW (Close: 26.00) failed (unsupported format string passed to NoneType.__format__)
2501.TW (Close: 23.65) failed (unsupported format string passed to NoneType.__format__)
2362.TW (Close: 51.60) failed (unsupported format string passed to NoneType.__format__)
6024.TW (Close: 58.80) failed (unsupported format string passed to NoneType.__format__)
9924.TW (Close: 51.10) failed (unsupported format string passed to NoneType.__format__)
6558.TW (Close: 45.20) failed (unsupported format string passed to NoneType.__format__)
5244.TW (Close: 44.10) failed (unsupported format string passed to NoneType.__format__)
4414.TW (Close: 3.12) failed (unsupported format string passed to NoneType.__format__)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
