--------------
Wed Feb 26 23:15:42 2025 TW Stock List
--------------
2883.TW, Close: 18.15, RSI(talib): 62.12
2357.TW, Close: 698.00, RSI(talib): 62.06
2545.TW, Close: 74.20, RSI(talib): 84.02
6541.TW, Close: 77.20, RSI(talib): 63.64
8028.TW, Close: 170.00, RSI(talib): 74.77
2023.TW, Close: 16.90, RSI(talib): 69.04
2888.TW, Close: 12.50, RSI(talib): 67.39
2059.TW, Close: 2050.00, RSI(talib): 77.32
3019.TW, Close: 209.50, RSI(talib): 60.60
1712.TW, Close: 47.60, RSI(talib): 75.04      !
6515.TW, Close: 1425.00, RSI(talib): 61.05
3013.TW, Close: 148.50, RSI(talib): 62.97
1536.TW, Close: 85.70, RSI(talib): 76.10
6768.TW, Close: 159.00, RSI(talib): 68.81
3032.TW, Close: 97.70, RSI(talib): 61.13
2480.TW, Close: 161.50, RSI(talib): 64.23
2516.TW, Close: 22.65, RSI(talib): 65.94
1307.TW, Close: 53.50, RSI(talib): 84.08
2543.TW, Close: 108.00, RSI(talib): 68.02
3605.TW, Close: 63.00, RSI(talib): 61.76
8404.TW, Close: 29.25, RSI(talib): 64.23
1464.TW, Close: 18.60, RSI(talib): 64.78
6558.TW, Close: 62.80, RSI(talib): 68.38
4414.TW, Close: 3.84, RSI(talib): 78.53
2597.TW, Close: 178.00, RSI(talib): 74.70
7722.TW, Close: 780.00, RSI(talib): 61.91
2429.TW, Close: 38.30, RSI(talib): 74.45
4722.TW, Close: 63.30, RSI(talib): 65.05
--------------
3704.TW (Close: 40.849998474121094) failed (Can't get stock info: 3704.TW, Current Price: 40.849998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 38.49854027963903, 200 Day Average: None, RSI: 50.34086760345239)
4104.TW (Close: 86.69999694824219) failed (Can't get stock info: 4104.TW, Current Price: 86.69999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 86.65199897933181, 200 Day Average: None, RSI: 58.66380534741595)
6164.TW (Close: None) failed (Can't get stock info: 6164.TW, Current Price: None, 52 Week High: 22.31, 52 Week Low: 12.6, 50 Day Average: 13.3, 150 Day Average: nan, 200 Day Average: 16.69, RSI: None)
6698.TW (Close: 36.25) failed (Can't get stock info: 6698.TW, Current Price: 36.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 39.36934302671112, 200 Day Average: None, RSI: 46.86876972036702)
3530.TW (Close: 86.5999984741211) failed (Can't get stock info: 3530.TW, Current Price: 86.5999984741211, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 90.26131389088874, 200 Day Average: None, RSI: 48.76671716072169)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
