--------------
Thu Feb 27 21:36:51 2025 TW Stock List
--------------
2324.TW, Close: 38.80, RSI(talib): 66.58
2883.TW, Close: 18.25, RSI(talib): 63.16
2885.TW, Close: 36.65, RSI(talib): 61.85
2606.TW, Close: 73.70, RSI(talib): 67.90      !
2357.TW, Close: 682.00, RSI(talib): 64.23
3645.TW, Close: 76.20, RSI(talib): 62.29
2545.TW, Close: 73.10, RSI(talib): 67.98
6541.TW, Close: 78.00, RSI(talib): 61.65
8028.TW, Close: 168.00, RSI(talib): 73.41
3712.TW, Close: 66.00, RSI(talib): 61.94
2023.TW, Close: 17.10, RSI(talib): 63.49
2888.TW, Close: 12.45, RSI(talib): 69.37
2059.TW, Close: 1990.00, RSI(talib): 80.93
3019.TW, Close: 203.00, RSI(talib): 64.35
1712.TW, Close: 47.95, RSI(talib): 75.90      !
6515.TW, Close: 1375.00, RSI(talib): 65.22
3013.TW, Close: 136.00, RSI(talib): 61.55
3494.TW, Close: 18.95, RSI(talib): 60.87
6670.TW, Close: 344.00, RSI(talib): 61.02
1536.TW, Close: 83.70, RSI(talib): 73.87
2387.TW, Close: 69.50, RSI(talib): 66.80      !
6768.TW, Close: 157.50, RSI(talib): 64.78
3032.TW, Close: 95.80, RSI(talib): 67.79
6215.TW, Close: 126.50, RSI(talib): 61.88
2480.TW, Close: 157.50, RSI(talib): 67.80
2516.TW, Close: 22.85, RSI(talib): 69.01
1307.TW, Close: 51.20, RSI(talib): 82.38
2543.TW, Close: 104.00, RSI(talib): 66.44
1463.TW, Close: 27.60, RSI(talib): 74.27      !
1464.TW, Close: 18.45, RSI(talib): 63.55
6558.TW, Close: 61.60, RSI(talib): 66.37
4414.TW, Close: 3.86, RSI(talib): 76.21
2597.TW, Close: 177.50, RSI(talib): 65.11
2429.TW, Close: 37.60, RSI(talib): 69.85
4722.TW, Close: 62.30, RSI(talib): 65.55
--------------
6164.TW (Close: None) failed (Can't get stock info: 6164.TW, Current Price: None, 52 Week High: 22.31, 52 Week Low: 12.6, 50 Day Average: 13.28, 150 Day Average: nan, 200 Day Average: 16.67, RSI: None)
1736.TW (Close: 180.5) failed (Page.goto: net::ERR_TIMED_OUT at https://finance.yahoo.com/quote/1736.TW/key-statistics
Call log:
  - navigating to "https://finance.yahoo.com/quote/1736.TW/key-statistics", waiting until "domcontentloaded"
)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
