--------------
Mon Mar  3 21:11:36 2025 TW Stock List
--------------
2883.TW, Close: 18.30, RSI(talib): 68.19
2606.TW, Close: 71.40, RSI(talib): 70.87
2545.TW, Close: 72.70, RSI(talib): 62.90
2812.TW, Close: 19.95, RSI(talib): 69.61
6541.TW, Close: 76.90, RSI(talib): 62.49
8028.TW, Close: 151.50, RSI(talib): 69.70
2023.TW, Close: 16.95, RSI(talib): 65.76
2888.TW, Close: 12.50, RSI(talib): 65.67
2059.TW, Close: 2000.00, RSI(talib): 74.44
1712.TW, Close: 47.70, RSI(talib): 77.83
3494.TW, Close: 19.10, RSI(talib): 61.17
6206.TW, Close: 149.50, RSI(talib): 67.04
1536.TW, Close: 79.50, RSI(talib): 67.87
2387.TW, Close: 70.60, RSI(talib): 77.72
4763.TW, Close: 928.00, RSI(talib): 60.80
1442.TW, Close: 82.80, RSI(talib): 60.83
6768.TW, Close: 154.50, RSI(talib): 62.34
1783.TW, Close: 53.00, RSI(talib): 63.53
3032.TW, Close: 95.80, RSI(talib): 60.81
2516.TW, Close: 24.65, RSI(talib): 69.24      !
1307.TW, Close: 51.20, RSI(talib): 70.62
1463.TW, Close: 29.50, RSI(talib): 81.61      !
8249.TW, Close: 58.90, RSI(talib): 60.16
6558.TW, Close: 60.40, RSI(talib): 64.04
4414.TW, Close: 3.85, RSI(talib): 76.58
2597.TW, Close: 176.50, RSI(talib): 64.95
6919.TW, Close: 958.00, RSI(talib): 67.64
2429.TW, Close: 37.80, RSI(talib): 66.25
4722.TW, Close: 60.70, RSI(talib): 61.81
--------------
3481.TW (Close: None) failed (Can't get stock info: 3481.TW, Current Price: None, 52 Week High: 18.86, 52 Week Low: 13.3, 50 Day Average: 14.22, 150 Day Average: nan, 200 Day Average: 15.53, RSI: None)
2610.TW (Close: 23.450000762939453) failed (Page.goto: net::ERR_CONNECTION_RESET at https://finance.yahoo.com/quote/2610.TW/key-statistics
Call log:
  - navigating to "https://finance.yahoo.com/quote/2610.TW/key-statistics", waiting until "domcontentloaded"
)
9802.TW (Close: None) failed (Can't get stock info: 9802.TW, Current Price: None, 52 Week High: 161.0, 52 Week Low: 101.0, 50 Day Average: 131.55, 150 Day Average: nan, 200 Day Average: 121.4, RSI: None)
6579.TW (Close: None) failed (Can't get stock info: 6579.TW, Current Price: None, 52 Week High: 193.38, 52 Week Low: 113.0, 50 Day Average: 125.36, 150 Day Average: nan, 200 Day Average: 144.13, RSI: None)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
