--------------
Tue Mar  4 21:24:18 2025 TW Stock List
--------------
2883.TW, Close: 18.20, RSI(talib): 66.77
2606.TW, Close: 75.20, RSI(talib): 64.40
3596.TW, Close: 206.00, RSI(talib): 61.93
2545.TW, Close: 73.90, RSI(talib): 61.85
2812.TW, Close: 20.35, RSI(talib): 84.16
6541.TW, Close: 77.90, RSI(talib): 60.93
2023.TW, Close: 16.90, RSI(talib): 62.94
2888.TW, Close: 12.40, RSI(talib): 67.41
2059.TW, Close: 2005.00, RSI(talib): 74.98
1712.TW, Close: 47.80, RSI(talib): 73.33
1736.TW, Close: 205.50, RSI(talib): 61.80
2387.TW, Close: 73.40, RSI(talib): 79.88
4763.TW, Close: 946.00, RSI(talib): 61.25
1783.TW, Close: 53.70, RSI(talib): 63.42
3032.TW, Close: 98.00, RSI(talib): 60.60
2480.TW, Close: 163.50, RSI(talib): 65.59
2516.TW, Close: 24.80, RSI(talib): 74.51
1307.TW, Close: 50.70, RSI(talib): 70.30
1463.TW, Close: 29.60, RSI(talib): 87.39
1464.TW, Close: 19.00, RSI(talib): 67.50
6558.TW, Close: 60.40, RSI(talib): 62.43
2597.TW, Close: 178.00, RSI(talib): 62.95
7722.TW, Close: 814.00, RSI(talib): 64.86
2429.TW, Close: 38.15, RSI(talib): 64.89
--------------
2607.TW (Close: 30.450000762939453) failed (Can't get stock info: 2607.TW, Current Price: 30.450000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 30.77499995512121, 200 Day Average: None, RSI: 45.26199410226386)
1220.TW (Close: 17.049999237060547) failed (Can't get stock info: 1220.TW, Current Price: 17.049999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 16.78308819322025, 200 Day Average: None, RSI: 50.63348949499484)
8070.TW (Close: None) failed (Can't get stock info: 8070.TW, Current Price: None, 52 Week High: 72.0, 52 Week Low: 36.9, 50 Day Average: 43.32, 150 Day Average: nan, 200 Day Average: 49.92, RSI: None)
1108.TW (Close: 15.0) failed (Can't get stock info: 1108.TW, Current Price: 15.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 14.655622180770425, 200 Day Average: None, RSI: 62.86175390118813)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
