--------------
Wed Mar  5 23:18:43 2025 TW Stock List
--------------
2883.TW, Close: 18.30, RSI(talib): 61.31
2606.TW, Close: 73.80, RSI(talib): 69.23
3596.TW, Close: 209.00, RSI(talib): 67.06
2545.TW, Close: 74.70, RSI(talib): 65.26
2812.TW, Close: 20.20, RSI(talib): 86.64
6541.TW, Close: 79.10, RSI(talib): 62.05
2023.TW, Close: 17.10, RSI(talib): 62.00
2059.TW, Close: 1960.00, RSI(talib): 74.36
1712.TW, Close: 47.80, RSI(talib): 73.92
6515.TW, Close: 1465.00, RSI(talib): 64.58
2723.TW, Close: 105.00, RSI(talib): 60.16
6206.TW, Close: 146.50, RSI(talib): 61.96
2302.TW, Close: 21.50, RSI(talib): 64.94
1736.TW, Close: 217.00, RSI(talib): 69.73
2387.TW, Close: 71.40, RSI(talib): 83.27
4763.TW, Close: 983.00, RSI(talib): 65.56
4916.TW, Close: 52.40, RSI(talib): 77.58
1783.TW, Close: 49.60, RSI(talib): 65.02
3032.TW, Close: 99.00, RSI(talib): 64.02
2480.TW, Close: 162.50, RSI(talib): 66.01
6657.TW, Close: 79.40, RSI(talib): 66.58
2516.TW, Close: 25.50, RSI(talib): 74.47
1307.TW, Close: 50.90, RSI(talib): 67.05
1463.TW, Close: 29.00, RSI(talib): 87.12
3447.TW, Close: 76.70, RSI(talib): 60.42
1464.TW, Close: 18.95, RSI(talib): 66.77
6558.TW, Close: 61.10, RSI(talib): 61.48
2597.TW, Close: 179.00, RSI(talib): 64.42
6919.TW, Close: 962.00, RSI(talib): 71.45
2429.TW, Close: 41.95, RSI(talib): 66.09
4722.TW, Close: 66.50, RSI(talib): 65.98
--------------
2032.TW (Close: 21.200000762939453) failed (Can't get stock info: 2032.TW, Current Price: 21.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.141176455161151, 200 Day Average: None, RSI: 71.16469945211065)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
