--------------
Thu Mar  6 22:16:55 2025 TW Stock List
--------------
2883.TW, Close: 18.35, RSI(talib): 63.71
2606.TW, Close: 72.30, RSI(talib): 65.46
3596.TW, Close: 212.00, RSI(talib): 68.95
2545.TW, Close: 74.10, RSI(talib): 67.36
2812.TW, Close: 20.30, RSI(talib): 80.77
6541.TW, Close: 75.00, RSI(talib): 63.85
2023.TW, Close: 17.15, RSI(talib): 64.35
2888.TW, Close: 12.55, RSI(talib): 61.63
2059.TW, Close: 1970.00, RSI(talib): 68.30
1712.TW, Close: 47.10, RSI(talib): 73.92
6515.TW, Close: 1470.00, RSI(talib): 64.05
2723.TW, Close: 105.00, RSI(talib): 60.16
6206.TW, Close: 141.50, RSI(talib): 60.33
2302.TW, Close: 21.25, RSI(talib): 62.12
1736.TW, Close: 208.00, RSI(talib): 73.96
2387.TW, Close: 70.50, RSI(talib): 72.34
4763.TW, Close: 1080.00, RSI(talib): 73.79
4916.TW, Close: 52.50, RSI(talib): 77.85
3032.TW, Close: 97.50, RSI(talib): 65.64
2480.TW, Close: 157.50, RSI(talib): 63.98
6657.TW, Close: 81.50, RSI(talib): 73.95
2516.TW, Close: 23.10, RSI(talib): 76.31
1307.TW, Close: 52.40, RSI(talib): 67.53
1463.TW, Close: 29.00, RSI(talib): 77.86
1464.TW, Close: 18.85, RSI(talib): 65.47
6558.TW, Close: 61.10, RSI(talib): 62.79
2597.TW, Close: 178.50, RSI(talib): 65.50
6919.TW, Close: 931.00, RSI(talib): 67.44
7722.TW, Close: 797.00, RSI(talib): 61.25
2429.TW, Close: 46.10, RSI(talib): 75.91
4722.TW, Close: 69.80, RSI(talib): 67.74
--------------
2845.TW (Close: None) failed (Can't get stock info: 2845.TW, Current Price: None, 52 Week High: 16.61, 52 Week Low: 12.95, 50 Day Average: 13.44, 150 Day Average: nan, 200 Day Average: 14.07, RSI: None)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
