--------------
Sat Mar  8 00:05:16 2025 TW Stock List
--------------
2883.TW, Close: 18.35, RSI(talib): 64.89
2606.TW, Close: 72.40, RSI(talib): 61.60
3596.TW, Close: 210.50, RSI(talib): 70.75
2545.TW, Close: 67.00, RSI(talib): 64.23
2812.TW, Close: 20.55, RSI(talib): 81.67
1319.TW, Close: 122.00, RSI(talib): 68.16
3712.TW, Close: 68.20, RSI(talib): 60.62
2023.TW, Close: 16.85, RSI(talib): 64.93
2888.TW, Close: 12.60, RSI(talib): 65.93
2059.TW, Close: 1925.00, RSI(talib): 68.91
6515.TW, Close: 1385.00, RSI(talib): 64.36
3015.TW, Close: 68.50, RSI(talib): 60.15
2723.TW, Close: 103.00, RSI(talib): 60.16
1736.TW, Close: 205.00, RSI(talib): 66.17
2387.TW, Close: 69.50, RSI(talib): 68.02
4763.TW, Close: 1105.00, RSI(talib): 84.35
4916.TW, Close: 49.30, RSI(talib): 77.99
3032.TW, Close: 94.70, RSI(talib): 61.19
6657.TW, Close: 78.00, RSI(talib): 75.64
2516.TW, Close: 24.55, RSI(talib): 60.29
1307.TW, Close: 50.80, RSI(talib): 70.97
1463.TW, Close: 28.40, RSI(talib): 77.86
1464.TW, Close: 19.35, RSI(talib): 62.84
6558.TW, Close: 58.80, RSI(talib): 62.79
2597.TW, Close: 176.00, RSI(talib): 64.44
2429.TW, Close: 46.60, RSI(talib): 82.03
4722.TW, Close: 71.50, RSI(talib): 72.03
--------------
2890.TW (Close: 22.399999618530273) failed (Can't get stock info: 2890.TW, Current Price: 22.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 23.45169148725622, 200 Day Average: None, RSI: 44.73370504815557)
2409.TW (Close: 15.0) failed (Can't get stock info: 2409.TW, Current Price: 15.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.645955885157866, 200 Day Average: None, RSI: 57.16790012720537)
2892.TW (Close: 27.549999237060547) failed (Can't get stock info: 2892.TW, Current Price: 27.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 27.38492652949165, 200 Day Average: None, RSI: 49.588766977636936)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
