--------------
Mon Mar 10 22:01:36 2025 TW Stock List
--------------
2883.TW, Close: 18.65, RSI(talib): 64.03      !
2606.TW, Close: 73.80, RSI(talib): 62.70
2603.TW, Close: 224.50, RSI(talib): 64.19
3596.TW, Close: 203.00, RSI(talib): 72.22
2609.TW, Close: 74.00, RSI(talib): 62.48
2812.TW, Close: 20.55, RSI(talib): 82.20      !
1220.TW, Close: 17.45, RSI(talib): 70.58
1319.TW, Close: 122.00, RSI(talib): 70.29
3712.TW, Close: 61.40, RSI(talib): 66.53
2888.TW, Close: 12.55, RSI(talib): 67.08
2059.TW, Close: 1900.00, RSI(talib): 61.76
3029.TW, Close: 148.00, RSI(talib): 60.41
1736.TW, Close: 200.00, RSI(talib): 65.81
2387.TW, Close: 68.20, RSI(talib): 61.71
4763.TW, Close: 1150.00, RSI(talib): 85.88    !
4916.TW, Close: 48.75, RSI(talib): 65.39
6657.TW, Close: 78.90, RSI(talib): 67.53
2516.TW, Close: 23.70, RSI(talib): 65.34
1307.TW, Close: 51.50, RSI(talib): 63.52
1463.TW, Close: 28.00, RSI(talib): 69.62
1464.TW, Close: 19.35, RSI(talib): 69.87
2597.TW, Close: 177.50, RSI(talib): 60.98
2429.TW, Close: 46.75, RSI(talib): 82.01      !
4722.TW, Close: 69.40, RSI(talib): 74.48
--------------
2454.TW (Close: 1395.0) failed (Can't get stock info: 2454.TW, Current Price: 1395.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 1309.9375673181871, 200 Day Average: None, RSI: 45.18566365408037)
6491.TW (Close: 373.5) failed (Can't get stock info: 6491.TW, Current Price: 373.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 389.74632352941177, 200 Day Average: None, RSI: 40.240216118747774)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
