--------------
Tue Mar 11 21:14:05 2025 TW Stock List
--------------
2883.TW, Close: 18.45, RSI(talib): 72.67
2606.TW, Close: 73.80, RSI(talib): 63.67
3596.TW, Close: 206.00, RSI(talib): 60.55
2812.TW, Close: 20.25, RSI(talib): 82.62
1319.TW, Close: 121.00, RSI(talib): 70.61
2023.TW, Close: 17.30, RSI(talib): 61.71
2888.TW, Close: 12.50, RSI(talib): 66.01
1524.TW, Close: 39.75, RSI(talib): 65.88
2723.TW, Close: 101.00, RSI(talib): 61.27
1736.TW, Close: 201.00, RSI(talib): 60.81
4763.TW, Close: 1100.00, RSI(talib): 88.99
2468.TW, Close: 42.80, RSI(talib): 66.96
4916.TW, Close: 45.35, RSI(talib): 63.52
6657.TW, Close: 76.00, RSI(talib): 68.62
2516.TW, Close: 24.60, RSI(talib): 62.44
1307.TW, Close: 49.95, RSI(talib): 66.50
2543.TW, Close: 95.00, RSI(talib): 60.61
1463.TW, Close: 26.75, RSI(talib): 64.52
2850.TW, Close: 111.50, RSI(talib): 76.45
8249.TW, Close: 61.20, RSI(talib): 62.15
1464.TW, Close: 18.25, RSI(talib): 71.40
2597.TW, Close: 175.00, RSI(talib): 62.71
2429.TW, Close: 45.90, RSI(talib): 81.70
4722.TW, Close: 65.30, RSI(talib): 68.28
3563.TW, Close: 552.00, RSI(talib): 71.19
--------------
1808.TW (Close: None) failed (Can't get stock info: 1808.TW, Current Price: None, 52 Week High: 63.18, 52 Week Low: 35.0, 50 Day Average: 36.6, 150 Day Average: nan, 200 Day Average: 46.06, RSI: None)
2464.TW (Close: None) failed (Can't get stock info: 2464.TW, Current Price: None, 52 Week High: 98.5, 52 Week Low: 37.6, 50 Day Average: 76.68, 150 Day Average: nan, 200 Day Average: 77.73, RSI: None)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
