--------------
Wed Mar 12 21:49:47 2025 TW Stock List
--------------
2883.TW, Close: 18.55, RSI(talib): 68.07
2606.TW, Close: 70.60, RSI(talib): 63.35
2603.TW, Close: 228.50, RSI(talib): 64.55
2610.TW, Close: 25.10, RSI(talib): 60.86
3596.TW, Close: 208.50, RSI(talib): 64.40
2812.TW, Close: 20.25, RSI(talib): 72.55
1319.TW, Close: 120.50, RSI(talib): 66.46
2023.TW, Close: 17.30, RSI(talib): 65.54
2888.TW, Close: 12.50, RSI(talib): 63.98
1524.TW, Close: 39.60, RSI(talib): 67.80
1736.TW, Close: 199.50, RSI(talib): 61.74
4763.TW, Close: 1105.00, RSI(talib): 75.59
2468.TW, Close: 43.70, RSI(talib): 70.28
6657.TW, Close: 74.00, RSI(talib): 64.52
2516.TW, Close: 23.85, RSI(talib): 64.57
2423.TW, Close: 44.30, RSI(talib): 66.06
2850.TW, Close: 114.50, RSI(talib): 77.90
2429.TW, Close: 48.50, RSI(talib): 79.71
3563.TW, Close: 569.00, RSI(talib): 79.31
--------------
2845.TW (Close: None) failed (Can't get stock info: 2845.TW, Current Price: None, 52 Week High: 16.61, 52 Week Low: 12.95, 50 Day Average: 13.47, 150 Day Average: nan, 200 Day Average: 14.05, RSI: None)
2406.TW (Close: 14.5) failed (Can't get stock info: 2406.TW, Current Price: 14.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.039705795400284, 200 Day Average: None, RSI: 50.76864008783023)
1477.TW (Close: None) failed (Can't get stock info: 1477.TW, Current Price: None, 52 Week High: 458.33, 52 Week Low: 303.5, 50 Day Average: 354.63, 150 Day Average: nan, 200 Day Average: 363.79, RSI: None)
1514.TW (Close: None) failed (Can't get stock info: 1514.TW, Current Price: None, 52 Week High: 180.44, 52 Week Low: 88.6, 50 Day Average: 101.47, 150 Day Average: nan, 200 Day Average: 117.62, RSI: None)
3356.TW (Close: None) failed (Can't get stock info: 3356.TW, Current Price: None, 52 Week High: 91.01, 52 Week Low: 51.8, 50 Day Average: 56.34, 150 Day Average: nan, 200 Day Average: 66.59, RSI: None)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
