--------------
Thu Mar 13 21:24:55 2025 TW Stock List
--------------
2883.TW, Close: 18.30, RSI(talib): 69.93
2603.TW, Close: 230.50, RSI(talib): 66.48
2610.TW, Close: 24.30, RSI(talib): 60.86
3596.TW, Close: 210.00, RSI(talib): 66.23
2812.TW, Close: 20.40, RSI(talib): 72.55
2838.TW, Close: 17.20, RSI(talib): 86.19
1319.TW, Close: 124.00, RSI(talib): 64.53
2023.TW, Close: 16.85, RSI(talib): 65.54
2888.TW, Close: 12.50, RSI(talib): 63.98
1524.TW, Close: 40.00, RSI(talib): 66.13
3029.TW, Close: 150.50, RSI(talib): 62.27
1736.TW, Close: 194.50, RSI(talib): 60.46
2387.TW, Close: 68.00, RSI(talib): 60.48
4763.TW, Close: 1065.00, RSI(talib): 76.01
2468.TW, Close: 43.35, RSI(talib): 71.74
3032.TW, Close: 95.80, RSI(talib): 60.52
3090.TW, Close: 71.90, RSI(talib): 62.34
6657.TW, Close: 69.90, RSI(talib): 60.49
2516.TW, Close: 23.90, RSI(talib): 60.60
2852.TW, Close: 29.30, RSI(talib): 78.85
1463.TW, Close: 28.30, RSI(talib): 66.65
2423.TW, Close: 44.20, RSI(talib): 62.13
2850.TW, Close: 113.50, RSI(talib): 81.29
2429.TW, Close: 47.95, RSI(talib): 83.05
3563.TW, Close: 558.00, RSI(talib): 80.91
--------------
2377.TW (Close: 167.0) failed (Can't get stock info: 2377.TW, Current Price: 167.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 179.56279002918916, 200 Day Average: None, RSI: 40.89535955008834)
1806.TW (Close: 9.619999885559082) failed (Page.goto: net::ERR_CONNECTION_RESET at https://finance.yahoo.com/quote/1806.TW/key-statistics
Call log:
  - navigating to "https://finance.yahoo.com/quote/1806.TW/key-statistics", waiting until "domcontentloaded"
)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
