--------------
Wed Mar 19 21:25:36 2025 TW Stock List
--------------
2883.TW, Close: 18.40, RSI(talib): 61.68
2606.TW, Close: 72.70, RSI(talib): 60.03
2603.TW, Close: 228.50, RSI(talib): 64.91
3596.TW, Close: 212.00, RSI(talib): 64.56
2609.TW, Close: 77.10, RSI(talib): 72.88
2812.TW, Close: 20.75, RSI(talib): 76.51
1319.TW, Close: 132.50, RSI(talib): 82.19
2888.TW, Close: 12.60, RSI(talib): 63.02
1524.TW, Close: 44.15, RSI(talib): 79.30
2059.TW, Close: 1925.00, RSI(talib): 66.25
2328.TW, Close: 53.70, RSI(talib): 75.96
6670.TW, Close: 361.50, RSI(talib): 65.88
2468.TW, Close: 40.50, RSI(talib): 65.83
2929.TW, Close: 14.35, RSI(talib): 67.18
3032.TW, Close: 98.70, RSI(talib): 64.38
3090.TW, Close: 74.70, RSI(talib): 72.81
6657.TW, Close: 74.10, RSI(talib): 62.03
2852.TW, Close: 29.40, RSI(talib): 72.63
1463.TW, Close: 29.60, RSI(talib): 64.12
2423.TW, Close: 46.60, RSI(talib): 77.31
2850.TW, Close: 113.00, RSI(talib): 75.06
1466.TW, Close: 18.90, RSI(talib): 90.93
2597.TW, Close: 187.50, RSI(talib): 66.40
2429.TW, Close: 59.30, RSI(talib): 90.66
3563.TW, Close: 568.00, RSI(talib): 74.63
--------------
2002.TW (Close: 24.100000381469727) failed (Can't get stock info: 2002.TW, Current Price: 24.100000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 21.66360294117647, 200 Day Average: None, RSI: 63.37880721499768)
3059.TW (Close: None) failed (Can't get stock info: 3059.TW, Current Price: None, 52 Week High: 52.7, 52 Week Low: 29.15, 50 Day Average: 40.65, 150 Day Average: nan, 200 Day Average: 37.35, RSI: None)
1477.TW (Close: None) failed (Can't get stock info: 1477.TW, Current Price: None, 52 Week High: 458.33, 52 Week Low: 303.5, 50 Day Average: 356.16, 150 Day Average: nan, 200 Day Average: 362.74, RSI: None)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
