--------------
Thu Mar 20 21:23:45 2025 TW Stock List
--------------
2883.TW, Close: 18.45, RSI(talib): 61.68
2603.TW, Close: 229.50, RSI(talib): 60.33
3596.TW, Close: 222.00, RSI(talib): 63.90
2609.TW, Close: 78.00, RSI(talib): 70.95
2812.TW, Close: 20.80, RSI(talib): 77.14
1319.TW, Close: 140.00, RSI(talib): 80.39
2888.TW, Close: 12.65, RSI(talib): 65.94
1524.TW, Close: 44.30, RSI(talib): 82.33
2328.TW, Close: 55.10, RSI(talib): 72.25
6670.TW, Close: 369.50, RSI(talib): 68.89
2302.TW, Close: 23.85, RSI(talib): 64.13
2468.TW, Close: 44.55, RSI(talib): 60.83
2929.TW, Close: 14.35, RSI(talib): 64.55
3032.TW, Close: 98.70, RSI(talib): 60.40
3090.TW, Close: 74.90, RSI(talib): 71.33
2852.TW, Close: 29.45, RSI(talib): 74.71
1463.TW, Close: 29.60, RSI(talib): 60.43
2423.TW, Close: 46.65, RSI(talib): 70.24
3605.TW, Close: 68.80, RSI(talib): 64.35
2850.TW, Close: 113.00, RSI(talib): 70.57
1466.TW, Close: 19.20, RSI(talib): 86.44
2597.TW, Close: 189.50, RSI(talib): 64.12
2429.TW, Close: 65.20, RSI(talib): 90.92
3563.TW, Close: 585.00, RSI(talib): 75.04
--------------
4927.TW (Close: None) failed (Can't get stock info: 4927.TW, Current Price: None, 52 Week High: 61.5, 52 Week Low: 29.05, 50 Day Average: 36.89, 150 Day Average: nan, 200 Day Average: 43.82, RSI: None)
4572.TW (Close: 165.0) failed (Can't get stock info: 4572.TW, Current Price: 165.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 155.08823529411765, 200 Day Average: None, RSI: 64.00929524251312)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
